Selected images fot the Study on Human Emotional Responses in Human-Robot Interaction ,,,,
Link to the images: https://doi.org/10.3758/s13428-016-0715-3,,,,
,Theme,Category,Valence_mean,Arousal_mean
I59,Beach 1,Scene,6.366336634,4.737864078
I71,Bee 1,Animal,3.648148148,3.615384615
I72,Biking 1,Person,5.088235294,3.574257426
I75,Bird 2,Animal,5.475247525,3.699029126
I124,Car race 2,Scene,4.366336634,3.59223301
I133,Cat 4,Animal,5.843137255,3.534653465
I151,Cheerleader 1,Person,5.294117647,4.277227723
I189,Couple 7,Person,5.916666667,4.25
I203,Dancing 5,Person,5.696078431,3.544554455
I241,Dock 1,Scene,5.564356436,3.640776699
I243,Doctor 2,Person,4.055555556,3.653846154
I269,Dog 19,Animal,5.940594059,4.349514563
I278,Dog 28,Animal,5.592592593,3.557692308
I300,Exercise 2,Person,4.685185185,3.903846154
I308,Father 1,Person,6.02970297,4.398058252
I334,Fireworks 1,Scene,6.157407407,4.423076923
I351,Flowers 8,Object,5.911764706,3.702970297
I371,Galaxy 1,Scene,5.598039216,4.089108911
I378,Galaxy 8,Scene,5.519607843,4.574257426
I422,Hang gliding 1,Person,5.055555556,4.346153846
I466,Lake 12,Scene,6.376237624,4.72815534
I472,Lamb 1,Animal,5.754901961,3.95049505
I486,Massage 1,Person,5.705882353,4.168316832
I505,Mother 1,Person,6.107843137,4.089108911
I620,Picnic 1,Person,6.059405941,3.72815534
I799,Stingray 3,Animal,4.534653465,4.087378641
I814,Sunset 5,Scene,5.87962963,3.538461538
I823,Swimming 1,Person,5.059405941,3.621359223
I849,Tornado 2,Scene,3.519607843,4.722772277
I879,Wedding 6,Person,6,3.922330097
I1,Acorns 1,Object,4.68627451,2.346534653
I4,Alcohol 1,Object,4.685185185,2.865384615
I79,Birthday 1,Scene,5.784313725,3.455445545
I98,Bubble 2,Object,5,3.038834951
I129,Cardboard 3,Object,3.745098039,1.861386139
I139,Cat 10,Animal,5.450980392,3.425742574
I171,Cold 1,Object,3.99009901,3.475728155
I179,Collaboration 1,Person,5.431372549,3.346534653
I195,Cups 1,Object,4.277227723,2.029126214
I219,Dessert 2,Object,5.735294118,3.247524752
I238,Dirt 3,Scene,4.138613861,2.038834951
I315,Fence 5,Object,3.774509804,2.069306931
I358,Food 5,Object,5.470588235,3.148514851
I405,Grass 7,Scene,4.892156863,2.336633663
I447,Keyboard 1,Object,4.166666667,2.148514851
I488,Meerkat 1,Animal,4.953703704,3.346153846
I492,Miserable face 1,Person,3.524752475,3.436893204
I524,Neutral pose 1,Person,5.058823529,3.01980198
I587,Office supplies 2,Object,4.089108911,1.844660194
I593,Ornament 1,Object,5.245098039,2.881188119
I597,Paper 3,Object,4.235294118,1.821782178
I642,Police 3,Person,4.287037037,3.394230769
I647,Present 1,Object,5.509803922,2.98019802
I683,Rooster 1,Animal,4.323529412,3.455445545
I774,Snow 2,Scene,4.549019608,2.257425743
I779,Soccer 2,Object,4.594059406,2.86407767
I796,Statue 2,Object,5.039215686,3.366336634
I804,Street 2,Scene,4.611111111,3.163461538
I845,Toilet 2,Object,3.648148148,2.288461538
I890,Woods 1,Scene,3.784313725,3.168316832
I18,Angry face 4,Person,2.490196078,3.871287129
I82,Bloody knife 1,Object,1.843137255,4.544554455
I116,Car accident 1,Object,2.147058824,4.099009901
I136,Cat 7,Animal,3.323529412,4.405940594
I149,Cemetery 4,Scene,2.794117647,4.336633663
I166,Cockroach 1,Animal,2.058823529,4.346534653
I233,Destruction 10,Scene,2.099009901,3.59223301
I234,Dirt 1,Scene,1.607843137,4.98019802
I284,Dog attack 3,Animal,2.647058824,5.089108911
I303,Explosion 2,Scene,2.376237624,4.990291262
