trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,stim_id,category,trigger_sent,image_path,valence_rating,valence_rt,arousal_rating,arousal_rt,participant,session,
0,-1,-1,0,,,Dancing 5.jpg,HAHV,115,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Dancing 5.jpg,7,3.0298449993133545,6,2.8972880840301514,P01,001,
0,-1,-1,0,,,Sad pose 4.jpg,LALV,414,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Sad pose 4.jpg,3,2.1468489170074463,2,3.6169240474700928,P01,001,
0,-1,-1,0,,,Cemetery 4.jpg,HALV,223,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HALV/Cemetery 4.jpg,3,2.7108945846557617,3,1.5169031620025635,P01,001,
0,-1,-1,0,,,Bored pose 2.jpg,LALV,423,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Bored pose 2.jpg,3,2.147569417953491,3,1.9810717105865479,P01,001,
0,-1,-1,0,,,Cheerleader 1.jpg,HAHV,121,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Cheerleader 1.jpg,5,1.812821626663208,5,2.9147303104400635,P01,001,
0,-1,-1,0,,,Collaboration 1.jpg,LAHV,320,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Collaboration 1.jpg,3,3.3293943405151367,3,2.3302721977233887,P01,001,
0,-1,-1,0,,,Cardboard 3.jpg,LAHV,302,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Cardboard 3.jpg,3,1.9634621143341064,2,1.9975042343139648,P01,001,
0,-1,-1,0,,,Lamb 1.jpg,HAHV,103,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Lamb 1.jpg,6,1.4482614994049072,5,1.6797077655792236,P01,001,
0,-1,-1,0,,,Frustrated pose 2.jpg,LALV,409,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Frustrated pose 2.jpg,3,1.748457908630371,2,2.0630993843078613,P01,001,
0,-1,-1,0,,,Injury 3.jpg,HALV,203,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HALV/Injury 3.jpg,2,1.745290994644165,6,2.3148670196533203,P01,001,
0,-1,-1,0,,,Rooster 1.jpg,LAHV,330,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Rooster 1.jpg,7,1.2140271663665771,6,1.580456018447876,P01,001,
0,-1,-1,0,,,Biking 1.jpg,HAHV,117,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Biking 1.jpg,4,2.0150880813598633,1,1.44627046585083,P01,001,
0,-1,-1,0,,,Flood 1.jpg,HALV,228,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HALV/Flood 1.jpg,2,2.2979536056518555,2,1.598217248916626,P01,001,
0,-1,-1,0,,,Hangover 1.jpg,LALV,413,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Hangover 1.jpg,3,1.3310976028442383,2,1.3473262786865234,P01,001,
