participant,task,video_file,log_file,profile,sampled_frame,video_time_s,face_detected,bbox_w,bbox_h,face_width_fraction,face_height_fraction
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,1,0.0,1,160,177,0.213333,0.226923
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,11,0.333,1,162,175,0.216,0.224359
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,21,0.667,1,162,174,0.216,0.223077
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,31,1.0,1,161,176,0.214667,0.225641
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,41,1.333,1,164,179,0.218667,0.229487
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,51,1.667,1,163,180,0.217333,0.230769
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,61,2.0,1,162,179,0.216,0.229487
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,71,2.333,1,162,182,0.216,0.233333
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,81,2.667,1,161,182,0.214667,0.233333
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,91,3.0,1,161,183,0.214667,0.234615
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,101,3.333,1,161,181,0.214667,0.232051
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,111,3.667,1,161,179,0.214667,0.229487
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,121,4.0,1,159,179,0.212,0.229487
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,131,4.333,1,160,178,0.213333,0.228205
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,141,4.667,1,161,177,0.214667,0.226923
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,151,5.0,1,159,174,0.212,0.223077
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,161,5.333,1,160,176,0.213333,0.225641
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,171,5.667,1,160,175,0.213333,0.224359
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,181,6.0,1,159,176,0.212,0.225641
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,191,6.333,1,159,176,0.212,0.225641
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,201,6.667,1,159,176,0.212,0.225641
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,211,7.0,1,160,176,0.213333,0.225641
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,221,7.333,1,161,175,0.214667,0.224359
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,231,7.667,1,159,176,0.212,0.225641
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,241,8.0,1,160,175,0.213333,0.224359
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,251,8.333,1,159,175,0.212,0.224359
P01,Image Experiment,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_video_15-15-17_IMAGE_BASELINE.avi,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/data/P01_2026-05-26/Image Experiment/vision_log_15-15-17_IMAGE_BASELINE.csv,IMAGE_BASELINE,261,8.667,1,159,175,0.212,0.224359
