participant,scope,task,eeg_expected_windows,eeg_retained_valid_windows,eeg_retention_percent,eeg_status,face_expected_frames,face_detected_frames,face_detection_percent,face_status
P01,participant_total,,362,362.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,16751,16669,99.51047698644857,Available; face_detected_frames is the count of frames with valid face landmarks/features
P01,task,pick_place,43,43.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,2020,2020,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P01,task,shape_sorter_alone,15,15.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,814,814,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P01,task,shape_sorter_interaction,83,83.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,4337,4337,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P01,task,shape_sorter_observation,63,63.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,3082,3082,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P01,task,sisyphus,88,88.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,2738,2738,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P01,task,stack,70,70.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,3760,3678,97.81914893617021,Available; face_detected_frames is the count of frames with valid face landmarks/features
P15,participant_total,,417,417.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,21697,21697,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P15,task,pick_place,25,25.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,1050,1050,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P15,task,shape_sorter_alone,23,23.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,704,704,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P15,task,shape_sorter_interaction,85,85.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,4638,4638,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P15,task,shape_sorter_observation,108,108.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,6133,6133,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P15,task,sisyphus,107,107.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,5612,5612,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P15,task,stack,69,69.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,3560,3560,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P19,participant_total,,364,NA,NA,Unavailable: no processed Robot no-ICA EEG output,18468,18454,99.924193199047,Available; face_detected_frames is the count of frames with valid face landmarks/features
P19,task,pick_place,42,NA,NA,Unavailable: no processed Robot no-ICA EEG output,2004,2004,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P19,task,shape_sorter_alone,27,NA,NA,Unavailable: no processed Robot no-ICA EEG output,710,710,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P19,task,shape_sorter_interaction,77,NA,NA,Unavailable: no processed Robot no-ICA EEG output,4222,4222,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P19,task,shape_sorter_observation,59,NA,NA,Unavailable: no processed Robot no-ICA EEG output,3052,3052,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P19,task,sisyphus,91,NA,NA,Unavailable: no processed Robot no-ICA EEG output,4730,4716,99.70401691331924,Available; face_detected_frames is the count of frames with valid face landmarks/features
P19,task,stack,68,NA,NA,Unavailable: no processed Robot no-ICA EEG output,3750,3750,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P27,participant_total,,422,422.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,21682,21682,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P27,task,pick_place,41,41.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,1992,1992,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P27,task,shape_sorter_alone,29,29.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,706,706,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P27,task,shape_sorter_interaction,95,95.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,5124,5124,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P27,task,shape_sorter_observation,60,60.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,3056,3056,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P27,task,sisyphus,127,127.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,7094,7094,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
P27,task,stack,70,70.0,100.0,Available; no AutoReject stage recorded in Robot no-ICA pipeline,3710,3710,100.0,Available; face_detected_frames is the count of frames with valid face landmarks/features
