participant,run_name,run_readable,merged_table_readable,eeg_features_readable,face_features_readable,clean_epochs_readable,qc_readable,expected_files_missing,path_portability_issue,participant_identity_ok,notes,overall_integrity_status
P01,p01_final,True,True,True,True,True,True,,False,True,Windows absolute paths retained in provenance metadata; output files opened on Linux,PASS_WITH_WINDOWS_PROVENANCE
P02,p02_final,True,True,True,True,True,True,,False,True,Windows absolute paths retained in provenance metadata; output files opened on Linux,PASS_WITH_WINDOWS_PROVENANCE
P03,p03_final,True,True,True,True,True,True,,False,True,Windows absolute paths retained in provenance metadata; output files opened on Linux,PASS_WITH_WINDOWS_PROVENANCE
P08,p08_final,True,True,True,True,True,True,,False,True,Windows absolute paths retained in provenance metadata; output files opened on Linux,PASS_WITH_WINDOWS_PROVENANCE
P10,p10_final,True,True,True,True,True,True,,False,True,Windows absolute paths retained in provenance metadata; output files opened on Linux,PASS_WITH_WINDOWS_PROVENANCE
P11,p11_final,True,True,True,True,True,True,,False,True,Windows absolute paths retained in provenance metadata; output files opened on Linux,PASS_WITH_WINDOWS_PROVENANCE
P14,p14_final,True,True,True,True,True,True,,False,True,Windows absolute paths retained in provenance metadata; output files opened on Linux,PASS_WITH_WINDOWS_PROVENANCE
P15,p15_final,True,True,True,True,True,True,,False,True,Windows absolute paths retained in provenance metadata; output files opened on Linux,PASS_WITH_WINDOWS_PROVENANCE
P16,p16_final,True,True,True,True,True,True,,False,True,Windows absolute paths retained in provenance metadata; output files opened on Linux,PASS_WITH_WINDOWS_PROVENANCE
P17,p17_final,True,True,True,True,True,True,,False,True,Windows absolute paths retained in provenance metadata; output files opened on Linux,PASS_WITH_WINDOWS_PROVENANCE
P18,p18_final,True,True,True,True,True,True,,False,True,Windows absolute paths retained in provenance metadata; output files opened on Linux,PASS_WITH_WINDOWS_PROVENANCE
P19,p19_final,True,True,True,True,True,True,,False,True,Windows absolute paths retained in provenance metadata; output files opened on Linux,PASS_WITH_WINDOWS_PROVENANCE
P20,p20_final,True,True,True,True,True,True,,False,True,Windows absolute paths retained in provenance metadata; output files opened on Linux,PASS_WITH_WINDOWS_PROVENANCE
