participant,matched_trials,eeg_retained,eeg_rejected,eeg_retention_percent,rejected_trigger_ids,post_car_rank,ica_components,ica_convergence_warnings,motion_corrected_trials,motion_corrected_sources,motion_corrected_trial_percent,face_detection_percent,missing_eeg_trial_rows,missing_face_trial_rows,missing_valence_ratings,missing_arousal_ratings,merged_rows,nan_cells,inf_cells,status,notes
P01,120,114,6,95.0,203; 326; 202; 114; 110; 216,7,7,0,27,31,22.5,100.0,6,0,0,2,120,770,0,full session,
P02,120,110,10,91.66666666666667,119; 413; 411; 426; 419; 402; 206; 212; 326; 301,7,7,0,27,30,22.5,99.95833333333333,10,0,27,10,120,1317,0,full session,
P03,54,53,0,100.0,,7,7,0,8,9,15.09433962264151,100.0,1,0,0,0,54,128,0,approved incomplete,53 EEG epochs before cleaning; 54 image events recorded.
P08,120,109,11,90.83333333333333,109; 421; 129; 306; 106; 326; 419; 417; 230; 317; 224,7,7,0,32,34,26.666666666666668,99.09734759061242,11,1,0,0,120,1418,0,full session,
P10,120,120,0,100.0,,7,7,0,21,24,17.5,100.0,0,0,0,0,120,0,0,full session,
P11,120,120,0,100.0,,7,7,0,25,29,20.833333333333332,100.0,0,0,0,0,120,0,0,full session,
P14,120,116,4,96.66666666666667,130; 301; 223; 219,7,7,0,32,33,26.666666666666668,99.98611111111111,4,0,0,0,120,512,0,full session,
P15,120,116,4,96.66666666666667,313; 421; 215; 418,7,7,0,22,23,18.333333333333332,100.0,4,0,0,0,120,512,0,full session,
P16,120,117,3,97.5,106; 127; 316,7,7,0,38,44,31.666666666666668,100.0,3,0,0,0,120,384,0,full session,
P17,120,118,2,98.33333333333333,110; 201,7,7,0,22,22,18.333333333333332,99.81944444444444,2,0,0,0,120,256,0,full session,
P18,120,116,4,96.66666666666667,114; 215; 415; 322,7,7,0,41,48,34.166666666666664,99.09722222222223,4,0,0,0,120,512,0,full session,
P19,120,120,0,100.0,,7,7,0,33,36,27.5,100.0,0,0,0,0,120,0,0,full session,
P20,120,117,3,97.5,426; 107; 101,7,7,0,34,38,28.333333333333332,100.0,3,0,0,0,120,384,0,full session,
P21,120,111,9,92.5,324; 201; 406; 203; 226; 230; 220; 208; 416,7,7,0,34,37,28.333333333333332,98.70851270656853,9,0,0,0,120,1152,0,full session,
P22,120,120,0,100.0,,7,7,0,29,29,24.166666666666668,100.0,0,0,0,0,120,0,0,full session,
P23,120,117,3,97.5,101; 301; 123,7,7,0,31,34,25.833333333333332,100.0,3,0,0,0,120,384,0,full session,
P24,120,117,3,97.5,128; 119; 111,7,7,0,35,39,29.166666666666668,100.0,3,0,0,0,120,384,0,full session,
P25,120,120,0,100.0,,7,7,0,26,26,21.666666666666668,100.0,0,0,0,0,120,0,0,full session,
P26,120,117,3,97.5,102; 428; 413,7,7,0,23,26,19.166666666666668,99.98611111111111,3,0,0,0,120,384,0,full session,
P27,120,116,4,96.66666666666667,104; 101; 226; 415,7,7,0,28,32,23.333333333333332,100.0,4,0,0,0,120,512,0,full session,
P29,120,110,10,91.66666666666667,314; 120; 428; 208; 305; 109; 218; 223; 410; 115,7,7,0,34,38,28.333333333333332,100.0,10,0,0,0,120,1280,0,full session,
P30,120,116,4,96.66666666666667,418; 429; 109; 423,7,7,0,26,30,21.666666666666668,100.0,4,0,0,0,120,512,0,full session,
P32,120,120,0,100.0,,7,7,0,32,35,26.666666666666668,100.0,0,0,0,0,120,0,0,full session,
P33,120,117,3,97.5,310; 119; 113,7,7,0,28,29,23.333333333333332,100.0,3,0,0,0,120,384,0,full session,
P34,120,118,2,98.33333333333333,202; 311,7,7,0,29,31,24.166666666666668,100.0,2,0,0,0,120,256,0,full session,
P35,120,114,6,95.0,322; 208; 219; 321; 210; 425,7,7,0,28,31,23.333333333333332,99.98611111111111,6,0,0,0,120,768,0,full session,
P36,120,102,18,85.0,102; 401; 203; 416; 103; 126; 214; 314; 108; 407; 430; 429; 106; 212; 322; 110; 328; 324,7,7,0,41,44,34.166666666666664,100.0,18,0,0,0,120,2304,0,full session,
P37,120,108,12,90.0,305; 301; 314; 416; 203; 223; 424; 213; 430; 211; 308; 216,7,7,0,32,33,26.666666666666668,100.0,12,0,0,0,120,1536,0,full session,
P38,120,117,3,97.5,115; 314; 122,7,7,0,26,29,21.666666666666668,100.0,3,0,0,0,120,384,0,full session,
P39,120,117,3,97.5,301; 214; 227,7,7,0,31,36,25.833333333333332,100.0,3,0,0,0,120,384,0,full session,
P40,120,120,0,100.0,,7,7,0,20,22,16.666666666666668,100.0,0,0,0,0,120,0,0,full session,
P41,120,117,3,97.5,310; 325; 206,7,7,0,36,40,30.0,100.0,3,0,0,0,120,384,0,full session,
P42,120,120,0,100.0,,7,7,0,26,28,21.666666666666668,100.0,0,0,0,0,120,0,0,full session,
P43,120,120,0,100.0,,7,7,0,23,27,19.166666666666668,100.0,0,0,0,0,120,0,0,full session,
P44,120,119,1,99.16666666666667,321,7,7,0,23,25,19.166666666666668,100.0,1,0,0,0,120,128,0,full session,
P45,120,120,0,100.0,,7,7,0,27,29,22.5,100.0,0,0,0,0,120,0,0,full session,
P46,120,117,3,97.5,411; 208; 217,7,7,0,25,26,20.833333333333332,100.0,3,0,0,0,120,384,0,full session,
