participant,measure,valid_ratings,missing_ratings,mean,sd,median,min,q1,q3,max,discrete_value_counts,low_count,high_count,low_percent,high_percent,class_imbalance_ratio_major_to_minor
P01,valence,120,0,3.908333333333333,1.4894352510085085,4.0,1.0,3.0,5.0,7.0,1:5; 2:17; 3:32; 4:16; 5:35; 6:10; 7:5,54,66,45.0,55.0,1.2222222222222223
P01,arousal,118,2,4.245762711864407,1.4788332238277773,5.0,1.0,3.0,5.0,7.0,1:2; 2:13; 3:32; 4:7; 5:40; 6:19; 7:5,47,71,39.83050847457627,60.16949152542373,1.5106382978723405
P02,valence,93,27,4.440860215053763,1.6316327218290982,5.0,1.0,3.0,6.0,7.0,1:3; 2:10; 3:16; 4:17; 5:16; 6:23; 7:8,29,64,31.182795698924732,68.81720430107526,2.206896551724138
P02,arousal,110,10,3.809090909090909,1.3846832814130652,4.0,1.0,3.0,5.0,7.0,1:8; 2:10; 3:26; 4:29; 5:26; 6:10; 7:1,44,66,40.0,60.0,1.5
P03,valence,54,0,4.2592592592592595,2.190762641270009,5.0,1.0,2.0,6.0,7.0,1:8; 2:8; 3:6; 4:4; 5:8; 6:8; 7:12,22,32,40.74074074074074,59.25925925925926,1.4545454545454546
P03,arousal,54,0,3.259259259259259,2.4739029219768267,1.5,1.0,1.0,5.75,7.0,1:27; 2:1; 3:2; 4:1; 5:9; 6:6; 7:8,30,24,55.55555555555556,44.44444444444444,1.25
P08,valence,120,0,3.841666666666667,1.4201185495154518,3.5,1.0,3.0,5.0,6.0,1:1; 2:22; 3:37; 4:17; 5:21; 6:22,60,60,50.0,50.0,1.0
P08,arousal,120,0,3.525,0.8595728859256132,3.5,2.0,3.0,4.0,5.0,2:13; 3:47; 4:44; 5:16,60,60,50.0,50.0,1.0
P10,valence,120,0,4.591666666666667,1.8986763781106875,4.0,1.0,3.0,7.0,7.0,1:1; 2:12; 3:37; 4:17; 5:10; 6:4; 7:39,50,70,41.666666666666664,58.333333333333336,1.4
P10,arousal,120,0,3.058333333333333,1.5300674634070979,4.0,1.0,1.0,4.0,6.0,1:36; 2:6; 3:14; 4:44; 5:19; 6:1,56,64,46.666666666666664,53.333333333333336,1.1428571428571428
P11,valence,120,0,3.9833333333333334,2.157587095073831,4.0,1.0,2.0,6.0,7.0,1:18; 2:20; 3:20; 4:13; 5:13; 6:9; 7:27,58,62,48.333333333333336,51.666666666666664,1.0689655172413792
P11,arousal,120,0,4.0,1.8920443791764265,4.0,1.0,2.0,6.0,7.0,1:13; 2:19; 3:20; 4:16; 5:20; 6:19; 7:13,52,68,43.333333333333336,56.666666666666664,1.3076923076923077
