held_out_participant,architecture,train_rows,validation_rows,test_rows,best_epoch,best_validation_mse,validation_rmse,validation_mae,test_rmse,test_mae,dummy_validation_rmse,dummy_validation_mae,dummy_test_rmse,dummy_test_mae,validation_rmse_delta,test_rmse_delta,validation_ba,test_ba,test_accuracy
P01,baseline,4025,1046,112,37,2.8613874912261963,1.691563606262207,1.4354608058929443,1.638188123703003,1.41120183467865,1.7184082802635385,1.4000199517831906,1.4943114115380982,1.3344565217391307,-0.026844674001331503,0.14387671216490472,0.49979642070586494,0.5001658374792703,0.4107142857142857
P02,baseline,4031,1052,100,75,2.958653450012207,1.7200736999511719,1.452859878540039,1.4745482206344604,1.1785385608673096,1.7471512634763673,1.4778253704889763,1.435096914739215,1.15948399900769,-0.027077563525195414,0.03945130589524548,0.5976134495105497,0.43316519546027743,0.41
P03,baseline,4118,1012,53,67,3.0224173069000244,1.7385101318359375,1.4831936359405518,2.468456745147705,2.3375911712646484,1.762608265361266,1.484447916886627,2.5356038515722723,2.3894911433467425,-0.024098133525328524,-0.06714710642456723,0.5274055516584828,0.5702898550724638,0.6226415094339622
P04,baseline,4049,1032,102,57,2.4667701721191406,1.5705955028533936,1.27362859249115,1.8157705068588257,1.5205934047698975,1.5962162432937814,1.3291685094032213,1.8562693502867234,1.5684628012726451,-0.025620740440387868,-0.04049884342789767,0.5422184193728015,0.5238095238095238,0.5686274509803921
P05,baseline,4036,1032,115,55,2.4703264236450195,1.5717271566390991,1.27236008644104,1.5364619493484497,1.3026429414749146,1.596045258462843,1.3288777936555498,1.5579597187310201,1.3489701383203345,-0.024318101823743943,-0.02149776938257042,0.5595145934346522,0.5531746031746032,0.591304347826087
P06,baseline,4048,1016,119,43,3.077293634414673,1.7542216777801514,1.4890881776809692,1.4916242361068726,1.2644959688186646,1.7775151925284027,1.4649540163704833,1.500493907607857,1.2552458730527785,-0.023293514748251365,-0.008869671500984389,0.502572601010101,0.5149253731343284,0.453781512605042
P07,baseline,4017,1049,117,80,2.6846020221710205,1.6384755373001099,1.3721898794174194,2.6480627059936523,2.4930033683776855,1.6681753962092407,1.403793648205802,2.519347601644353,2.3904750962256562,-0.02969985890913085,0.12871510434929956,0.5278696152621654,0.4847058823529412,0.452991452991453
P08,baseline,4019,1054,110,44,3.4852521419525146,1.8668830394744873,1.605332374572754,0.9450676441192627,0.7679407000541687,1.8631896772781844,1.5841571793940832,0.937904369549457,0.7352190730394265,0.003693362196302896,0.0071632745698057,0.502262443438914,0.48544973544973546,0.4909090909090909
P09,baseline,3879,1187,117,26,2.864165782928467,1.6923847198486328,1.4708784818649292,1.8536463975906372,1.6102845668792725,1.6904596740572055,1.4573610782619044,1.7427428471963127,1.5348016825201665,0.0019250457914272712,0.11090355039432453,0.49736464437648426,0.5219594594594594,0.37606837606837606
P10,baseline,4052,1011,120,34,2.7518928050994873,1.658882975578308,1.4086401462554932,1.8006256818771362,1.3592183589935303,1.679508875998464,1.4282380487881088,1.7337194513851164,1.299300756827904,-0.020625900420155885,0.06690623049201982,0.5218388613546829,0.4966517857142857,0.49166666666666664
P11,baseline,4057,1006,120,40,2.722691774368286,1.6500580310821533,1.3812742233276367,1.8562850952148438,1.6007460355758667,1.6663820751655343,1.4010433332957641,1.8892298573506658,1.6351368005915703,-0.01632404408338095,-0.03294476213582209,0.5297354689179216,0.5537330316742082,0.525
P12,baseline,4058,1005,120,38,2.9090850353240967,1.705604076385498,1.423831820487976,1.5446443557739258,1.231393814086914,1.6832834784238124,1.4194405007981286,1.620842210256614,1.3075324461968127,0.022320597961685618,-0.07619785448268823,0.5009624094202898,0.7198275862068966,0.4583333333333333
P13,baseline,4084,1004,95,47,2.70729923248291,1.6453872919082642,1.389243245124817,1.2868142127990723,0.9722199440002441,1.6620515068034432,1.4099190895575384,1.267209169463121,0.954443528016908,-0.016664214895178997,0.019605043335951367,0.5199864192914824,0.5247079964061097,0.5578947368421052
P14,baseline,4067,1004,112,43,2.712778329849243,1.6470513343811035,1.3909938335418701,2.562939405441284,2.448728322982788,1.6664785535082327,1.4174798225343033,2.550614795147864,2.4533593557905093,-0.01942721912712919,0.012324610293420246,0.5388017173579505,0.4374193548387097,0.42857142857142855
P15,baseline,4067,1004,112,44,3.297003746032715,1.815765380859375,1.5540565252304077,1.3790476322174072,0.9614807367324829,1.7891098537589527,1.5370925934814959,1.3630520410022609,0.935855667568232,0.026655527100422294,0.015995591215146376,0.4998762376237624,0.5078163165608207,0.29464285714285715
P16,baseline,4029,1038,116,63,2.7309348583221436,1.6525540351867676,1.393333911895752,1.7016372680664062,1.4914687871932983,1.7145840858205503,1.4834831862063624,1.6885863634797493,1.4713371162520006,-0.06203005063378275,0.01305090458665692,0.5385632885632886,0.49577235772357725,0.4051724137931034
P17,baseline,4080,984,119,37,3.1310410499572754,1.7694748640060425,1.5084542036056519,1.4296694993972778,1.2036280632019043,1.7622013772535579,1.491198888091822,1.404079315342913,1.1937819245345198,0.007273486752484626,0.025590184054364862,0.49336501166111674,0.5129310344827587,0.40336134453781514
P18,baseline,4042,1023,118,37,2.688403367996216,1.6396350860595703,1.3678793907165527,1.444887638092041,1.241185188293457,1.6511169463513793,1.3848191254776943,1.4303321436651075,1.1904536267496366,-0.011481860291808976,0.01455549442693349,0.5176647235470765,0.45297670405522,0.4576271186440678
P19,baseline,4059,1004,120,37,2.7237203121185303,1.6503697633743286,1.3974528312683105,1.7915780544281006,1.5389009714126587,1.663403066909462,1.4123079006958126,1.6735890724500784,1.4225548164572552,-0.013033303535133323,0.11798898197802221,0.521684007856182,0.4818181818181818,0.44166666666666665
P20,baseline,4055,1035,93,69,2.797389030456543,1.6725397109985352,1.4168000221252441,1.3979254961013794,1.1283354759216309,1.7345734785899487,1.5041643584290882,1.4812787582184317,1.1878869840764754,-0.06203376759141355,-0.0833532621170523,0.5224637681159421,0.4970366379310345,0.6451612903225806
P21,baseline,4039,1036,108,56,2.781421661376953,1.6677594184875488,1.3704954385757446,2.5182652473449707,2.267606258392334,1.6829189126271198,1.4065059205564279,2.2081184628852664,2.0691911272500527,-0.015159494139570961,0.31014678445970434,0.5114799308878256,0.5,0.39814814814814814
P22,baseline,4022,1044,117,69,2.6348142623901367,1.6232110261917114,1.3511836528778076,2.4514660835266113,2.1881930828094482,1.6244779085078855,1.3203277567249858,2.3676561037324673,2.1314713520083983,-0.0012668823161741116,0.08380997979414406,0.516380703239209,0.5152777777777777,0.4700854700854701
P23,baseline,4053,1012,118,18,3.5214664936065674,1.8765571117401123,1.580971360206604,1.8832030296325684,1.6457189321517944,1.8115960552970478,1.5208965398197207,1.7189446451389254,1.542234879373722,0.06496105644306449,0.16425838449364294,0.46609336609336605,0.49153116531165314,0.3474576271186441
P24,baseline,4022,1044,117,33,2.9614150524139404,1.7208762168884277,1.4810768365859985,2.1583633422851562,2.0214059352874756,1.7221279435620673,1.491905630145312,2.135157319376857,2.0026967065753736,-0.0012517266736395971,0.023206022908299317,0.5372862397804453,0.5215212264150944,0.48717948717948717
P25,baseline,4001,1062,120,43,2.9057605266571045,1.7046291828155518,1.4656426906585693,1.5824909210205078,1.4405596256256104,1.7009022493371717,1.4691583695413244,1.5939231761602062,1.4804632175289512,0.0037269334783800456,-0.011432255139698366,0.5096153846153846,0.5,0.5
P26,baseline,4014,1051,118,40,3.228327751159668,1.7967547178268433,1.5405467748641968,2.1490964889526367,1.9187124967575073,1.7825433583358683,1.5087467413055258,2.134483460562876,1.89397279014973,0.014211359490974962,0.01461302838976053,0.5005771407853554,0.4692874692874692,0.4152542372881356
