held_out_participant,architecture,train_rows,validation_rows,test_rows,best_epoch,best_validation_mse,validation_rmse,validation_mae,test_rmse,test_mae,dummy_validation_rmse,dummy_validation_mae,dummy_test_rmse,dummy_test_mae,validation_rmse_delta,test_rmse_delta,validation_ba,test_ba,test_accuracy
P01,baseline,3350,931,112,7,2.805330753326416,1.6749120950698853,1.3801343441009521,1.5314809083938599,1.3006662130355835,1.6730995030928377,1.3815803902079289,1.5247472553799601,1.36295842217484,0.0018125919770475285,0.006733653013899721,0.5684744735646114,0.5683250414593698,0.5446428571428571
P02,baseline,3478,815,100,30,2.926494836807251,1.7107001543045044,1.4424346685409546,1.5590342283248901,1.2254109382629395,1.7846742237611188,1.51682759642556,1.4345467906008984,1.1621391604370326,-0.07397406945661444,0.12448743772399173,0.6302750433912305,0.4985287936107608,0.58
P04,baseline,3496,795,102,39,2.904897451400757,1.704375982284546,1.420778512954712,1.9825081825256348,1.6788610219955444,1.7485629434121226,1.479583135443202,1.8521530398441444,1.5605734284560504,-0.044186961127576696,0.1303551426814904,0.6164332354797114,0.48656898656898656,0.4019607843137255
P05,baseline,3483,795,115,32,3.0068767070770264,1.734034776687622,1.4481322765350342,1.5620040893554688,1.3188923597335815,1.7484465379856484,1.4793214842261695,1.5541737854291302,1.3416295297656944,-0.014411761298026349,0.007830303926338544,0.5897795549946501,0.4920634920634921,0.5652173913043478
P06,baseline,3456,818,119,9,3.557997941970825,1.8862656354904175,1.6311362981796265,1.4678345918655396,1.2445236444473267,1.9315757412430126,1.6398793353255456,1.5025487319056285,1.2530491363211953,-0.04531010575259509,-0.03471414004008899,0.5299224610653646,0.5628587830080367,0.5126050420168067
P07,baseline,3347,929,117,39,2.605762481689453,1.6142374277114868,1.3224583864212036,2.6021711826324463,2.456575393676758,1.6073314642227698,1.3360463220280168,2.5018595549266163,2.3756291512491106,0.006905963488716971,0.10031162770583002,0.5562697519952863,0.4170588235294118,0.5042735042735043
P08,baseline,3463,820,110,12,2.8987393379211426,1.702568531036377,1.4329452514648438,1.1953866481781006,0.9943231344223022,1.7560590887873817,1.4795464950029227,0.9363618503225127,0.7351560654188435,-0.05349055775100475,0.25902479785558785,0.6258887223979626,0.5148809523809524,0.509090909090909
P09,baseline,3482,794,117,3,3.441601276397705,1.855155348777771,1.5630496740341187,1.892896294593811,1.615097999572754,1.847328482592118,1.5872323587156403,1.7739377144022772,1.5598953347373794,0.007826866185653092,0.11895858019153382,0.593816348195329,0.4513513513513514,0.358974358974359
P10,baseline,3453,820,120,11,2.942303419113159,1.7153143882751465,1.4472758769989014,1.9009255170822144,1.4566560983657837,1.7567461316869664,1.476319284044274,1.7657961015660482,1.294948836760305,-0.04143174341181988,0.1351294155161662,0.5949460754388886,0.5066964285714286,0.5166666666666667
P11,baseline,3453,820,120,11,2.9385616779327393,1.7142232656478882,1.4487351179122925,1.86415433883667,1.5973600149154663,1.7555823419248258,1.4824652299520389,1.8859260503868411,1.6275943623901918,-0.04135907627693758,-0.021771711550171213,0.5958186112190219,0.540158371040724,0.525
