held_out_participant,epoch,train_mse,validation_mse,is_best_validation,epochs_without_improvement,learning_rate
P01,1,10.995790938536325,3.845473527908325,True,0,0.001
P01,2,3.637051315219314,3.8058764934539795,True,0,0.001
P01,3,3.605820310336572,3.830656051635742,False,1,0.001
P01,4,3.5582902939231307,3.860729694366455,False,2,0.001
P01,5,3.5150367661758706,3.90401029586792,False,3,0.001
P01,6,3.470518750173074,3.909632921218872,False,4,0.001
P01,7,3.4445659341635526,3.9046247005462646,False,5,0.001
P01,8,3.408081332842509,3.928570032119751,False,6,0.001
P01,9,3.386135584778256,3.9581680297851562,False,7,0.001
P01,10,3.371232204967075,3.929180860519409,False,8,0.001
P01,11,3.352617906199561,3.9206130504608154,False,9,0.001
P01,12,3.347222061068923,3.9232935905456543,False,10,0.001
P01,13,3.326690715772134,3.9535982608795166,False,11,0.001
P01,14,3.3146817518605127,3.9347984790802,False,12,0.001
P01,15,3.297596322165595,3.9371566772460938,False,13,0.001
P01,16,3.295987559689416,3.964289665222168,False,14,0.001
P01,17,3.293447545281163,3.9455723762512207,False,15,0.001
P01,18,3.270255940931815,3.945730209350586,False,16,0.001
P01,19,3.264147866655279,4.003889560699463,False,17,0.001
P01,20,3.271609098822982,3.994859457015991,False,18,0.001
P01,21,3.2485785594692937,3.9230141639709473,False,19,0.001
P01,22,3.2240773218649403,4.00738525390625,False,20,0.001
P02,1,11.2730226062593,3.53114652633667,True,0,0.001
P02,2,3.7105357056572323,3.486321210861206,True,0,0.001
P02,3,3.6573024000440326,3.485304594039917,True,0,0.001
P02,4,3.6072665816261655,3.534213066101074,False,1,0.001
P02,5,3.5589976060958137,3.5928292274475098,False,2,0.001
P02,6,3.5158037049429756,3.6485791206359863,False,3,0.001
P02,7,3.4740692660922097,3.6512372493743896,False,4,0.001
P02,8,3.4437946921303157,3.684479236602783,False,5,0.001
P02,9,3.432267380896069,3.699984073638916,False,6,0.001
P02,10,3.408920769464402,3.707003593444824,False,7,0.001
P02,11,3.392690976460775,3.729491710662842,False,8,0.001
P02,12,3.3989268609455654,3.822277307510376,False,9,0.001
P02,13,3.3610752900441487,3.7496066093444824,False,10,0.001
P02,14,3.346841814404442,3.758091926574707,False,11,0.001
P02,15,3.339757088252476,3.807929039001465,False,12,0.001
P02,16,3.338581040927342,3.766312837600708,False,13,0.001
P02,17,3.3416361695244197,3.7504067420959473,False,14,0.001
P02,18,3.3200333152498516,3.7459566593170166,False,15,0.001
P02,19,3.311207780383882,3.7594616413116455,False,16,0.001
P02,20,3.3001458985464915,3.857433557510376,False,17,0.001
P02,21,3.287544014340355,3.7086241245269775,False,18,0.001
P02,22,3.2826220149085636,3.812096357345581,False,19,0.001
P02,23,3.279580007280622,3.799142599105835,False,20,0.001
P04,1,10.514758231463256,4.059933662414551,True,0,0.001
P04,2,3.5427035225762262,3.9469995498657227,True,0,0.001
P04,3,3.5416210017822407,3.945605516433716,True,0,0.001
P04,4,3.4686812824673123,4.121898651123047,False,1,0.001
P04,5,3.4934685914604753,3.89565110206604,True,0,0.001
P04,6,3.420016660734459,3.8791513442993164,True,0,0.001
P04,7,3.4112656304129847,3.8740413188934326,True,0,0.001
P04,8,3.397749361064699,3.891796112060547,False,1,0.001
P04,9,3.33457335057082,3.90537166595459,False,2,0.001
P04,10,3.3315180551122734,3.9516842365264893,False,3,0.001
P04,11,3.334554798073239,3.899789333343506,False,4,0.001
P04,12,3.2880911694632635,3.892850637435913,False,5,0.001
P04,13,3.2635433784237615,4.0184807777404785,False,6,0.001
P04,14,3.2617227876627886,3.9070184230804443,False,7,0.001
P04,15,3.239611166494864,3.914795398712158,False,8,0.001
P04,16,3.2314002955401384,3.9237349033355713,False,9,0.001
P04,17,3.2133036697352373,3.9565160274505615,False,10,0.001
P04,18,3.20248399398945,4.006209850311279,False,11,0.001
P04,19,3.1875556155487343,3.95869779586792,False,12,0.001
P04,20,3.181729512082206,3.951946973800659,False,13,0.001
P04,21,3.1831737469743797,3.987043857574463,False,14,0.001
P04,22,3.1773909021306923,4.00745964050293,False,15,0.001
P04,23,3.1792146916742676,4.035386085510254,False,16,0.001
P04,24,3.1511316100756326,4.072474002838135,False,17,0.001
P04,25,3.1554630045537597,4.043722629547119,False,18,0.001
P04,26,3.1466216290438616,3.9877240657806396,False,19,0.001
P04,27,3.1677892715842635,3.9959282875061035,False,20,0.001
P05,1,10.829167469784066,3.3944625854492188,True,0,0.001
P05,2,3.735215268753193,3.405083417892456,False,1,0.001
P05,3,3.694085834202943,3.181528329849243,True,0,0.001
P05,4,3.7051850336569325,3.432992935180664,False,1,0.001
P05,5,3.6561279363102384,3.1518614292144775,True,0,0.001
P05,6,3.6296498576800027,3.196840286254883,False,1,0.001
P05,7,3.607380109804648,3.174100875854492,False,2,0.001
P05,8,3.5766777727339,3.170410394668579,False,3,0.001
P05,9,3.5366346571180554,3.2051517963409424,False,4,0.001
P05,10,3.5684316445280007,3.1751794815063477,False,5,0.001
P05,11,3.513242842974486,3.1503803730010986,True,0,0.001
P05,12,3.4983035105246083,3.2106516361236572,False,1,0.001
P05,13,3.476566422868658,3.16991925239563,False,2,0.001
P05,14,3.483935715975585,3.1501526832580566,True,0,0.001
P05,15,3.437681886884901,3.2355434894561768,False,1,0.001
P05,16,3.444330021187111,3.175398826599121,False,2,0.001
P05,17,3.4321047553309687,3.166438341140747,False,3,0.001
P05,18,3.4118251579779164,3.162186861038208,False,4,0.001
P05,19,3.4035960789080018,3.176044225692749,False,5,0.001
P05,20,3.3802323186839067,3.1668291091918945,False,6,0.001
P05,21,3.3795007091981395,3.1613078117370605,False,7,0.001
P05,22,3.368915617465973,3.180577516555786,False,8,0.001
P05,23,3.3809317394539162,3.1527345180511475,False,9,0.001
P05,24,3.3602609435717263,3.174415349960327,False,10,0.001
P05,25,3.356805883072041,3.154500722885132,False,11,0.001
P05,26,3.362458689345254,3.143205404281616,True,0,0.001
P05,27,3.3722835746076374,3.1650753021240234,False,1,0.001
P05,28,3.3241257866223655,3.1871161460876465,False,2,0.001
P05,29,3.3582049210866294,3.1443095207214355,False,3,0.001
P05,30,3.3283548796618425,3.1636123657226562,False,4,0.001
P05,31,3.3543500988571733,3.15195894241333,False,5,0.001
P05,32,3.336559726132287,3.1509363651275635,False,6,0.001
P05,33,3.3176322248246937,3.147141695022583,False,7,0.001
P05,34,3.3330108523368835,3.1394503116607666,True,0,0.001
P05,35,3.321072686601568,3.130864143371582,True,0,0.001
P05,36,3.316019474356263,3.1538047790527344,False,1,0.001
P05,37,3.318016407666383,3.125988721847534,True,0,0.001
P05,38,3.316046608818902,3.2461538314819336,False,1,0.001
P05,39,3.334526945043493,3.1498847007751465,False,2,0.001
P05,40,3.3245176717087075,3.1244454383850098,True,0,0.001
P05,41,3.314640877423463,3.151568651199341,False,1,0.001
P05,42,3.3095203969213696,3.1369898319244385,False,2,0.001
P05,43,3.2982205329117953,3.2024152278900146,False,3,0.001
P05,44,3.311864309840732,3.1464576721191406,False,4,0.001
P05,45,3.29932521449195,3.1588656902313232,False,5,0.001
P05,46,3.2994121335170887,3.2012979984283447,False,6,0.001
P05,47,3.2901649839348264,3.1520910263061523,False,7,0.001
P05,48,3.2870485451486378,3.162691593170166,False,8,0.001
P05,49,3.2732342967280634,3.1416494846343994,False,9,0.001
P05,50,3.2610268614910267,3.159621000289917,False,10,0.001
P05,51,3.2754190851140907,3.163511276245117,False,11,0.001
P05,52,3.3005569356459157,3.1789400577545166,False,12,0.001
P05,53,3.2897438826384366,3.1587657928466797,False,13,0.001
P05,54,3.2588984811747514,3.1735663414001465,False,14,0.001
P05,55,3.256174608513161,3.185290575027466,False,15,0.001
P05,56,3.26497256093555,3.1852965354919434,False,16,0.001
P05,57,3.249510336805273,3.207923650741577,False,17,0.001
P05,58,3.2472018864419727,3.2012250423431396,False,18,0.001
P05,59,3.2784957190354667,3.184499979019165,False,19,0.001
P05,60,3.2573497273303844,3.2201342582702637,False,20,0.001
P06,1,10.85395962882925,4.1142144203186035,True,0,0.001
P06,2,3.5441986929487297,4.071570873260498,True,0,0.001
P06,3,3.516135265429815,4.078396320343018,False,1,0.001
P06,4,3.47488205521195,4.027934551239014,True,0,0.001
P06,5,3.451374720644068,4.0781941413879395,False,1,0.001
P06,6,3.40625516904725,4.044069766998291,False,2,0.001
P06,7,3.3918819471641823,3.9974870681762695,True,0,0.001
P06,8,3.3521363735198975,4.0063886642456055,False,1,0.001
P06,9,3.338885029157003,4.023728370666504,False,2,0.001
P06,10,3.305800923594722,3.985931634902954,True,0,0.001
P06,11,3.303416151691366,4.068517208099365,False,1,0.001
P06,12,3.2598337586279267,3.9901034832000732,False,2,0.001
P06,13,3.2431529738284923,3.9901950359344482,False,3,0.001
P06,14,3.246451194639559,4.058971881866455,False,4,0.001
P06,15,3.2129281063874564,4.050516605377197,False,5,0.001
P06,16,3.215782693138829,4.149467468261719,False,6,0.001
P06,17,3.1882941170975014,4.027327060699463,False,7,0.001
P06,18,3.186231679386563,4.087978363037109,False,8,0.001
P06,19,3.179888884226481,4.101215362548828,False,9,0.001
P06,20,3.1765640863665827,4.059873104095459,False,10,0.001
P06,21,3.1588249294846147,4.201755523681641,False,11,0.001
P06,22,3.1690948528272136,4.067531585693359,False,12,0.001
P06,23,3.1545626245163105,4.206655979156494,False,13,0.001
P06,24,3.16003656828845,4.076544761657715,False,14,0.001
P06,25,3.1429370752087347,4.068157196044922,False,15,0.001
P06,26,3.1438968777656555,4.0394110679626465,False,16,0.001
P06,27,3.1401765478981867,4.082877159118652,False,17,0.001
P06,28,3.1388941638999515,4.026244640350342,False,18,0.001
P06,29,3.127545420770292,4.035513401031494,False,19,0.001
P06,30,3.1364381688612477,4.0224785804748535,False,20,0.001
P07,1,10.728387199915373,3.9210145473480225,True,0,0.001
P07,2,3.666782491482221,4.085666656494141,False,1,0.001
P07,3,3.6354823135412655,3.8323476314544678,True,0,0.001
P07,4,3.5949424505233765,4.016951084136963,False,1,0.001
P07,5,3.585886136843608,3.837383985519409,False,2,0.001
P07,6,3.546538985692538,3.7912752628326416,True,0,0.001
P07,7,3.518959742326003,3.769477128982544,True,0,0.001
P07,8,3.4807124114953556,3.7775402069091797,False,1,0.001
P07,9,3.4626000982064467,3.820131301879883,False,2,0.001
P07,10,3.443960937169882,3.8654122352600098,False,3,0.001
P07,11,3.419964585166711,3.7943272590637207,False,4,0.001
P07,12,3.3888215869665146,3.7953503131866455,False,5,0.001
P07,13,3.3838872817846446,3.9324214458465576,False,6,0.001
P07,14,3.3533234814038644,3.9552183151245117,False,7,0.001
P07,15,3.3498458908154416,3.8306100368499756,False,8,0.001
P07,16,3.3317981648903627,3.8423540592193604,False,9,0.001
P07,17,3.3290528597740026,3.8549821376800537,False,10,0.001
P07,18,3.323029005756745,3.836991548538208,False,11,0.001
P07,19,3.2970059376496534,3.850159168243408,False,12,0.001
P07,20,3.288428023457527,3.9240753650665283,False,13,0.001
P07,21,3.2780266805337024,3.854036808013916,False,14,0.001
P07,22,3.275303996526278,3.8773558139801025,False,15,0.001
P07,23,3.2706329776690555,3.9170539379119873,False,16,0.001
P07,24,3.2830726286539664,3.896408796310425,False,17,0.001
P07,25,3.2589827214296045,3.8747270107269287,False,18,0.001
P07,26,3.2632828813332777,3.905125141143799,False,19,0.001
P07,27,3.2631618277384686,4.0310797691345215,False,20,0.001
P08,1,10.860164891790461,3.840331554412842,True,0,0.001
P08,2,3.6925914971916765,3.7839765548706055,True,0,0.001
P08,3,3.6401569269321583,3.6974036693573,True,0,0.001
P08,4,3.6020680511439287,3.6874263286590576,True,0,0.001
P08,5,3.5614838710537664,3.6902825832366943,False,1,0.001
P08,6,3.536658399634891,3.705439329147339,False,2,0.001
P08,7,3.509657049620593,3.844435691833496,False,3,0.001
P08,8,3.499863138905278,3.680683135986328,True,0,0.001
P08,9,3.4662575478906983,3.655055522918701,True,0,0.001
P08,10,3.4606901594886073,3.6746902465820312,False,1,0.001
P08,11,3.4544963008827634,3.6711628437042236,False,2,0.001
P08,12,3.4279566318900496,3.6998584270477295,False,3,0.001
P08,13,3.389839733088458,3.6892294883728027,False,4,0.001
P08,14,3.3869147543553955,3.674119234085083,False,5,0.001
P08,15,3.3610943920082517,3.6768834590911865,False,6,0.001
P08,16,3.349474413527383,3.668619394302368,False,7,0.001
P08,17,3.336012923055225,3.66385817527771,False,8,0.001
P08,18,3.3421357914253518,3.6716034412384033,False,9,0.001
P08,19,3.3243507742881775,3.6756978034973145,False,10,0.001
P08,20,3.331759577548062,3.669991970062256,False,11,0.001
P08,21,3.3449914985232883,3.6753931045532227,False,12,0.001
P08,22,3.300271431605021,3.646153450012207,True,0,0.001
P08,23,3.2960474424892,3.6558139324188232,False,1,0.001
P08,24,3.287350431636528,3.652974843978882,False,2,0.001
P08,25,3.282328142060174,3.6500134468078613,False,3,0.001
P08,26,3.2786086676297366,3.707637071609497,False,4,0.001
P08,27,3.280473275317086,3.6907496452331543,False,5,0.001
