held_out_participant,epoch,train_mse,validation_mse,is_best_validation,epochs_without_improvement,learning_rate
P01,1,7.925155864443098,3.0606021881103516,True,0,0.001
P01,2,3.3290151459830146,3.1323373317718506,False,1,0.001
P01,3,3.307841556412833,2.9591434001922607,True,0,0.001
P01,4,3.290061860992795,3.1469197273254395,False,1,0.001
P01,5,3.270455761182876,3.0894927978515625,False,2,0.001
P01,6,3.2531497478485107,3.02034592628479,False,3,0.001
P01,7,3.234547519683838,2.970567226409912,False,4,0.001
P01,8,3.2111224356151764,3.0557613372802734,False,5,0.001
P01,9,3.190141829990205,3.205528974533081,False,6,0.001
P01,10,3.1738976660228913,3.2712814807891846,False,7,0.001
P01,11,3.1741416999271936,3.0806751251220703,False,8,0.001
P01,12,3.1565228973116195,3.117525100708008,False,9,0.001
P01,13,3.137073598589216,3.0950708389282227,False,10,0.001
P01,14,3.1111295280002413,3.182451009750366,False,11,0.001
P01,15,3.119167072432382,3.018808364868164,False,12,0.001
P01,16,3.1185232344127836,2.935913324356079,True,0,0.001
P01,17,3.100976380847749,3.021484851837158,False,1,0.001
P01,18,3.0868606465203423,2.9651217460632324,False,2,0.001
P01,19,3.0710672707784745,3.095120668411255,False,3,0.001
P01,20,3.0612314246949697,3.0919501781463623,False,4,0.001
P01,21,3.03364120892116,3.006633758544922,False,5,0.001
P01,22,3.0257685388837543,2.9071640968322754,True,0,0.001
P01,23,3.030512357893444,3.1950161457061768,False,1,0.001
P01,24,3.028978404544649,3.0732457637786865,False,2,0.001
P01,25,3.0140656119301203,3.132049083709717,False,3,0.001
P01,26,3.0089317503429593,2.929412841796875,False,4,0.001
P01,27,3.024612349555606,2.9194114208221436,False,5,0.001
P01,28,3.006350953238351,3.145596504211426,False,6,0.001
P01,29,3.0188162985302154,3.035738706588745,False,7,0.001
P01,30,2.997227652867635,2.9287009239196777,False,8,0.001
P01,31,2.977085057894389,3.3107829093933105,False,9,0.001
P01,32,2.973341635295323,3.0916543006896973,False,10,0.001
P01,33,2.959202147665478,2.9280803203582764,False,11,0.001
P01,34,2.996061206999279,2.9248366355895996,False,12,0.001
P01,35,2.9543555123465404,3.0255320072174072,False,13,0.001
P01,36,2.9586165893645515,3.1841683387756348,False,14,0.001
P01,37,2.9351847807566327,2.951058864593506,False,15,0.001
P01,38,2.9326242730731056,3.094996929168701,False,16,0.001
P01,39,2.908917324883597,2.9841113090515137,False,17,0.001
P01,40,2.906045883042472,3.0567452907562256,False,18,0.001
P01,41,2.8957476343427384,2.8870365619659424,True,0,0.001
P01,42,2.900652401787894,3.0053274631500244,False,1,0.001
P01,43,2.8805897269930156,3.1169633865356445,False,2,0.001
P01,44,2.8817206870941887,3.0276527404785156,False,3,0.001
P01,45,2.8961251474562144,2.950148820877075,False,4,0.001
P01,46,2.856669175057184,3.1390023231506348,False,5,0.001
P01,47,2.8636720237277804,3.2313830852508545,False,6,0.001
P01,48,2.8664566812061127,2.9033212661743164,False,7,0.001
P01,49,2.8600456669217063,3.0359909534454346,False,8,0.001
P01,50,2.8522971709569296,3.1330454349517822,False,9,0.001
P01,51,2.8512753236861457,3.134638547897339,False,10,0.001
P01,52,2.8310066915693737,2.9960882663726807,False,11,0.001
P01,53,2.8483126958211265,2.928647041320801,False,12,0.001
P01,54,2.8263914403461277,3.0673344135284424,False,13,0.001
P01,55,2.8246480555761426,2.9085776805877686,False,14,0.001
P01,56,2.8106698967161634,2.9782204627990723,False,15,0.001
P01,57,2.8196947347550165,2.948442220687866,False,16,0.001
P01,58,2.8167599984577723,3.02536940574646,False,17,0.001
P01,59,2.804353241693406,2.9508516788482666,False,18,0.001
P01,60,2.8107536872227987,2.9196484088897705,False,19,0.001
P01,61,2.80272338503883,2.8987271785736084,False,20,0.001
P02,1,8.13727811279647,3.3868064880371094,True,0,0.001
P02,2,3.2507712403568654,3.354844570159912,True,0,0.001
P02,3,3.236094689150469,3.347546100616455,True,0,0.001
P02,4,3.209868328286967,3.362647771835327,False,1,0.001
P02,5,3.1872669009987367,3.3354148864746094,True,0,0.001
P02,6,3.171618389427115,3.3259687423706055,True,0,0.001
P02,7,3.1555687921856523,3.4098548889160156,False,1,0.001
P02,8,3.1428773818759743,3.324965238571167,True,0,0.001
P02,9,3.106986081928288,3.330448865890503,False,1,0.001
P02,10,3.1025279421325123,3.3243181705474854,True,0,0.001
P02,11,3.077285025097908,3.3146660327911377,True,0,0.001
P02,12,3.069004890021928,3.312062978744507,True,0,0.001
P02,13,3.044951235482452,3.3077962398529053,True,0,0.001
P02,14,3.0463217157836353,3.306246519088745,True,0,0.001
P02,15,3.0255170535603795,3.2979767322540283,True,0,0.001
P02,16,3.009436364567608,3.322416305541992,False,1,0.001
P02,17,3.0021743796287326,3.3726325035095215,False,2,0.001
P02,18,3.0086550996937884,3.31088924407959,False,3,0.001
P02,19,2.9872740813351553,3.293391704559326,True,0,0.001
P02,20,2.9792513584871902,3.2899234294891357,True,0,0.001
P02,21,2.9651933066341853,3.2794852256774902,True,0,0.001
P02,22,2.9515871815725205,3.26523494720459,True,0,0.001
P02,23,2.94396084601726,3.3496861457824707,False,1,0.001
P02,24,2.9568021833349807,3.267047882080078,False,2,0.001
P02,25,2.945910535821127,3.2632839679718018,True,0,0.001
P02,26,2.9411215486876463,3.260956048965454,True,0,0.001
P02,27,2.927917822785334,3.355149984359741,False,1,0.001
P02,28,2.9316841385780124,3.256695508956909,True,0,0.001
P02,29,2.9405244184196544,3.263908863067627,False,1,0.001
P02,30,2.9427648728046942,3.3307859897613525,False,2,0.001
P02,31,2.955422869516075,3.2923762798309326,False,3,0.001
P02,32,2.916722719822455,3.286900281906128,False,4,0.001
P02,33,2.9104502332319906,3.246640682220459,True,0,0.001
P02,34,2.9283985916627655,3.239058017730713,True,0,0.001
P02,35,2.9429965041099337,3.258997917175293,False,1,0.001
P02,36,2.913361997779356,3.2471413612365723,False,2,0.001
P02,37,2.8964808359058627,3.2409889698028564,False,3,0.001
P02,38,2.8776589402365027,3.252556800842285,False,4,0.001
P02,39,2.894124064970454,3.2373318672180176,True,0,0.001
P02,40,2.8878926673066725,3.287325382232666,False,1,0.001
P02,41,2.8693346900677463,3.2600154876708984,False,2,0.001
P02,42,2.8882938787477825,3.3358607292175293,False,3,0.001
P02,43,2.849242994544703,3.257749319076538,False,4,0.001
P02,44,2.841938318462547,3.2472007274627686,False,5,0.001
P02,45,2.8291767890300226,3.242061138153076,False,6,0.001
P02,46,2.8245134977025725,3.274740219116211,False,7,0.001
P02,47,2.826261170413516,3.243978977203369,False,8,0.001
P02,48,2.8126902514641436,3.277172088623047,False,9,0.001
P02,49,2.804040174965465,3.247699737548828,False,10,0.001
P02,50,2.8187634376210906,3.281179189682007,False,11,0.001
P02,51,2.807330885064711,3.2498018741607666,False,12,0.001
P02,52,2.7965493661548018,3.235003709793091,True,0,0.001
P02,53,2.8254690115604926,3.2967193126678467,False,1,0.001
P02,54,2.7972625603369616,3.399545192718506,False,2,0.001
P02,55,2.771438443332637,3.279914379119873,False,3,0.001
P02,56,2.770972094404588,3.2640063762664795,False,4,0.001
P02,57,2.7579046848717086,3.241338014602661,False,5,0.001
P02,58,2.7534812995053213,3.383873462677002,False,6,0.001
P02,59,2.7734313776733677,3.3141608238220215,False,7,0.001
P02,60,2.758330893079075,3.3866240978240967,False,8,0.001
P02,61,2.7672170236570026,3.5212574005126953,False,9,0.001
P02,62,2.7403470441835736,3.2545464038848877,False,10,0.001
P02,63,2.7460293463610728,3.237311601638794,False,11,0.001
P02,64,2.7356509637395177,3.2564892768859863,False,12,0.001
P02,65,2.74292248979621,3.253648519515991,False,13,0.001
P02,66,2.7189125730357038,3.3242955207824707,False,14,0.001
P02,67,2.7103749174590503,3.290961503982544,False,15,0.001
P02,68,2.7556433721419866,3.300365447998047,False,16,0.001
P02,69,2.708312373642528,3.283893585205078,False,17,0.001
P02,70,2.7092964255481684,3.250443696975708,False,18,0.001
P02,71,2.7212712731930093,3.268709182739258,False,19,0.001
P02,72,2.7383770931751354,3.252952814102173,False,20,0.001
P04,1,7.794292306900024,3.270878553390503,True,0,0.001
P04,2,3.244086252559315,3.2153728008270264,True,0,0.001
P04,3,3.2289443904703314,3.2504448890686035,False,1,0.001
P04,4,3.1846862890503624,3.2450573444366455,False,2,0.001
P04,5,3.1715865362774243,3.2390871047973633,False,3,0.001
P04,6,3.169025505672802,3.2411909103393555,False,4,0.001
P04,7,3.1131138693202627,3.2374985218048096,False,5,0.001
P04,8,3.1044621294195003,3.2672295570373535,False,6,0.001
