mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp,representation,source_run,low_recall
individual,P19,P19,valence,eeg,knn,all,all,1,P19,120,96,24,43,77,0.6222222222222222,0.6666666666666666,0.7058823529411765,0.8,0.75,4,5,3,12,with_ICA,p19_final,0.4444444444444444
individual,P19,P19,valence,eeg,knn,all,all,2,P19,120,96,24,43,77,0.36666666666666664,0.4583333333333333,0.55,0.7333333333333333,0.6285714285714286,0,9,4,11,with_ICA,p19_final,0.0
individual,P19,P19,valence,eeg,knn,all,all,3,P19,120,96,24,43,77,0.47777777777777775,0.5416666666666666,0.6111111111111112,0.7333333333333333,0.6666666666666666,2,7,4,11,with_ICA,p19_final,0.2222222222222222
individual,P19,P19,valence,eeg,knn,all,all,4,P19,120,96,24,43,77,0.46875,0.5833333333333334,0.65,0.8125,0.7222222222222222,1,7,3,13,with_ICA,p19_final,0.125
individual,P19,P19,valence,eeg,knn,all,all,5,P19,120,96,24,43,77,0.625,0.6666666666666666,0.75,0.75,0.75,4,4,4,12,with_ICA,p19_final,0.5
individual,P19,P19,valence,eeg,knn,5,5,1,P19,120,96,24,43,77,0.6888888888888889,0.75,0.7368421052631579,0.9333333333333333,0.8235294117647058,4,5,1,14,with_ICA,p19_final,0.4444444444444444
individual,P19,P19,valence,eeg,knn,5,5,2,P19,120,96,24,43,77,0.5666666666666667,0.625,0.6666666666666666,0.8,0.7272727272727273,3,6,3,12,with_ICA,p19_final,0.3333333333333333
individual,P19,P19,valence,eeg,knn,5,5,3,P19,120,96,24,43,77,0.5,0.5416666666666666,0.625,0.6666666666666666,0.6451612903225806,3,6,5,10,with_ICA,p19_final,0.3333333333333333
individual,P19,P19,valence,eeg,knn,5,5,4,P19,120,96,24,43,77,0.46875,0.625,0.6521739130434783,0.9375,0.7692307692307693,0,8,1,15,with_ICA,p19_final,0.0
individual,P19,P19,valence,eeg,knn,5,5,5,P19,120,96,24,43,77,0.5,0.5416666666666666,0.6666666666666666,0.625,0.6451612903225806,3,5,6,10,with_ICA,p19_final,0.375
