participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,selected_classifier,selected_feature_family,selected_channel_subset,selected_feature_count_request,selected_threshold,source_trial_index,true_label,probability_high,fixed_threshold_prediction,optimized_threshold_prediction
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,4,1,0.446748118236082,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,11,1,0.5219244916725562,1,1
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,12,0,0.34577494402111486,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,21,1,0.6044263202810435,1,1
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,22,1,0.49604638797192036,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,23,1,0.4913085372748803,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,24,0,0.3817540662844686,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,29,1,0.4107048142495655,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,35,1,0.4392512476048719,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,40,1,0.2999027563489092,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,42,1,0.5627329136504112,1,1
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,45,1,0.37429944467748205,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,48,1,0.4873289051943925,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,56,1,0.23988145690866108,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,58,0,0.37802036101996506,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,60,1,0.35194736903216556,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,62,1,0.32308956655097726,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,64,1,0.4869572550913252,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,66,1,0.3880653257909089,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,81,0,0.5253114153969607,1,1
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,100,1,0.4448592042702309,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,104,0,0.3173648347453559,0,0
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,105,1,0.5580536932567073,1,1
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,0.5,114,1,0.5556845091553023,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,1,1,0.7334679921041742,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,7,1,0.609990656814468,1,0
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,8,0,0.7902994327421861,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,16,1,0.6797300593943673,1,0
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,25,1,0.9915786124014074,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,26,0,0.818896981025787,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,31,0,0.9840434574962159,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,33,1,0.6535530219815562,1,0
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,34,1,0.7151274974892702,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,38,1,0.6308824122013262,1,0
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,47,1,0.9255640064228643,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,50,1,0.7470923346038346,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,51,1,0.9649109478325921,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,53,1,0.8899718694517454,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,57,1,0.9418511936026639,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,68,1,0.961619895476778,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,92,1,0.8346416971627749,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,93,0,0.9154106102940258,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,98,1,0.8214825772353757,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,99,1,0.7710515757369214,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,103,1,0.8000915573487828,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,106,1,0.85210346615454,1,1
P07,valence,2,5,93,23,24,92,logreg,all_eeg,all_channels,10,0.7,110,1,0.45398379585397713,0,0
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,0,1,0.9999999993848263,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,2,1,0.9764685413636993,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,9,1,0.5068491315453049,1,0
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,13,1,0.9732672317215714,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,18,0,0.8283669577664527,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,20,0,0.6973498747304886,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,27,1,0.5993194170228823,1,0
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,43,1,0.9999999898764678,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,44,1,0.37160990519960063,0,0
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,46,1,0.9578508804649497,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,54,1,0.7659367117671431,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,55,0,0.9200781483626695,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,63,1,0.900378725143159,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,73,1,0.8063985974574897,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,74,1,0.7905868019591175,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,75,1,0.3514181583425786,0,0
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,77,1,0.721454889227903,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,84,1,0.6262213464524395,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,86,1,0.560478338955781,1,0
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,91,0,0.9097510432796513,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,101,0,0.7924972344397139,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,102,1,0.6587742693286734,1,1
P07,valence,3,5,93,23,24,92,gnb,hjorth,all_channels,10,0.6,115,1,0.3014562966660233,0,0
P07,valence,4,5,93,23,24,92,gnb,hjorth,all_channels,10,0.65,3,1,0.9999981457296055,1,1
