participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,selected_classifier,selected_feature_family,selected_channel_subset,selected_feature_count_request,selected_threshold,source_trial_index,true_label,probability_high,fixed_threshold_prediction,optimized_threshold_prediction
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,1,1,0.6881902612057024,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,6,1,0.732932127970168,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,9,1,0.7332111436470675,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,10,1,0.7138980216282499,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,22,0,0.7165528305147305,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,23,0,0.7163839597351572,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,24,1,0.7194651517220751,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,26,1,0.7045262840749029,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,35,0,0.7091387891848336,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,41,1,0.7075322571554137,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,46,0,0.7147072384269266,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,54,0,0.7090804626220659,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,55,1,0.713605852210674,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,57,1,0.6955938420899062,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,61,1,0.7411225077741155,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,65,1,0.7266654564854649,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,74,1,0.720857546579114,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,76,0,0.702611953117814,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,85,1,0.6991302217671046,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,87,0,0.7115040561620877,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,97,1,0.7309756244437416,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,102,1,0.7280636840193621,1,1
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,0.5,109,1,0.723216480035823,1,1
P28,arousal,2,5,89,22,32,79,gnb,paper_compact,frontal_central,8,0.4,0,1,0.8057866502666879,1,1
P28,arousal,2,5,89,22,32,79,gnb,paper_compact,frontal_central,8,0.4,2,1,0.4369353886003057,0,1
P28,arousal,2,5,89,22,32,79,gnb,paper_compact,frontal_central,8,0.4,3,1,0.9445929335059724,1,1
P28,arousal,2,5,89,22,32,79,gnb,paper_compact,frontal_central,8,0.4,4,1,0.9382458417742969,1,1
P28,arousal,2,5,89,22,32,79,gnb,paper_compact,frontal_central,8,0.4,5,1,0.7672727155139599,1,1
P28,arousal,2,5,89,22,32,79,gnb,paper_compact,frontal_central,8,0.4,36,1,0.3278098621436345,0,0
P28,arousal,2,5,89,22,32,79,gnb,paper_compact,frontal_central,8,0.4,45,0,0.6728688490671222,1,1
P28,arousal,2,5,89,22,32,79,gnb,paper_compact,frontal_central,8,0.4,48,1,0.392548223949076,0,0
P28,arousal,2,5,89,22,32,79,gnb,paper_compact,frontal_central,8,0.4,52,1,0.9957274893658604,1,1
P28,arousal,2,5,89,22,32,79,gnb,paper_compact,frontal_central,8,0.4,58,1,0.3291491771572538,0,0
P28,arousal,2,5,89,22,32,79,gnb,paper_compact,frontal_central,8,0.4,64,0,0.9848240153260739,1,1
P28,arousal,2,5,89,22,32,79,gnb,paper_compact,frontal_central,8,0.4,67,0,0.917823875930142,1,1
P28,arousal,2,5,89,22,32,79,gnb,paper_compact,frontal_central,8,0.4,68,0,0.35785087994618076,0,0
P28,arousal,2,5,89,22,32,79,gnb,paper_compact,frontal_central,8,0.4,77,1,0.9992718812487138,1,1
P28,arousal,2,5,89,22,32,79,gnb,paper_compact,frontal_central,8,0.4,79,1,0.8114412113601829,1,1
