mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy
general,COHORT,P01,valence,eeg,knn,all,all,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5017318864266676
general,COHORT,P02,valence,eeg,knn,all,all,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5062492208391494
general,COHORT,P03,valence,eeg,knn,all,all,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.4988714732404305
general,COHORT,P04,valence,eeg,knn,all,all,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5090291038567542
general,COHORT,P05,valence,eeg,knn,all,all,5,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.510718276679733
general,COHORT,P06,valence,eeg,knn,all,all,6,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5014185354785001
general,COHORT,P07,valence,eeg,knn,all,all,7,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5146430262777087
general,COHORT,P08,valence,eeg,knn,all,all,8,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5031325963789107
general,COHORT,P09,valence,eeg,knn,all,all,9,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5088542523422884
general,COHORT,P10,valence,eeg,knn,all,all,10,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.505025496584984
general,COHORT,P11,valence,eeg,knn,all,all,11,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5066710290015124
general,COHORT,P12,valence,eeg,knn,all,all,12,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.4973787026290625
general,COHORT,P13,valence,eeg,knn,all,all,13,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5025250294390475
general,COHORT,P14,valence,eeg,knn,all,all,14,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5076850835219833
general,COHORT,P15,valence,eeg,knn,all,all,15,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5013223263808676
general,COHORT,P16,valence,eeg,knn,all,all,16,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5149252847074661
general,COHORT,P17,valence,eeg,knn,all,all,17,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5010187227546263
general,COHORT,P18,valence,eeg,knn,all,all,18,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5107827966665914
general,COHORT,P19,valence,eeg,knn,all,all,19,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5167619831644539
general,COHORT,P20,valence,eeg,knn,all,all,20,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5006247117021965
general,COHORT,P21,valence,eeg,knn,all,all,21,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5042735105349934
general,COHORT,P22,valence,eeg,knn,all,all,22,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5091037819813314
general,COHORT,P23,valence,eeg,knn,all,all,23,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5037721445737134
general,COHORT,P24,valence,eeg,knn,all,all,24,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5047523190598879
general,COHORT,P25,valence,eeg,knn,all,all,25,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5037272318183948
general,COHORT,P26,valence,eeg,knn,all,all,26,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5050574203429361
general,COHORT,P27,valence,eeg,knn,all,all,27,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.49866739748398337
general,COHORT,P28,valence,eeg,knn,all,all,28,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.509474473083672
general,COHORT,P29,valence,eeg,knn,all,all,29,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5073024463599187
general,COHORT,P30,valence,eeg,knn,all,all,30,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.497264751414684
general,COHORT,P31,valence,eeg,knn,all,all,31,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5061952004627386
general,COHORT,P32,valence,eeg,knn,all,all,32,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5002512625502618
general,COHORT,P33,valence,eeg,knn,all,all,33,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5004061334084604
general,COHORT,P34,valence,eeg,knn,all,all,34,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.49892431069887994
general,COHORT,P35,valence,eeg,knn,all,all,35,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.49874873382332086
general,COHORT,P36,valence,eeg,knn,all,all,36,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5011949894499386
general,COHORT,P37,valence,eeg,knn,all,all,37,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.502494534167627
general,COHORT,P38,valence,eeg,knn,all,all,38,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5072302632098971
general,COHORT,P39,valence,eeg,knn,all,all,39,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5038485270938223
general,COHORT,P40,valence,eeg,knn,all,all,40,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5037471704385791
general,COHORT,P41,valence,eeg,knn,all,all,41,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5058214640897797
general,COHORT,P42,valence,eeg,knn,all,all,42,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.4981899712193577
general,COHORT,P43,valence,eeg,knn,all,all,43,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5070490211798966
general,COHORT,P44,valence,eeg,knn,all,all,44,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5084294799699468
general,COHORT,P45,valence,eeg,knn,all,all,45,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5087126325220308
general,COHORT,P46,valence,eeg,knn,all,all,46,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5014812852809326
general,COHORT,P01,valence,eeg,knn,5,5,1,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5022435149902618
general,COHORT,P02,valence,eeg,knn,5,5,2,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5018707144573169
general,COHORT,P03,valence,eeg,knn,5,5,3,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.5164615718677321
general,COHORT,P04,valence,eeg,knn,5,5,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5074590141958449
general,COHORT,P05,valence,eeg,knn,5,5,5,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5030207866420067
general,COHORT,P06,valence,eeg,knn,5,5,6,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.5131150316209394
general,COHORT,P07,valence,eeg,knn,5,5,7,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5082212263964901
general,COHORT,P08,valence,eeg,knn,5,5,8,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5115378489798875
general,COHORT,P09,valence,eeg,knn,5,5,9,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5089139061956367
general,COHORT,P10,valence,eeg,knn,5,5,10,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5015591500645109
general,COHORT,P11,valence,eeg,knn,5,5,11,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.4971784753120905
general,COHORT,P12,valence,eeg,knn,5,5,12,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5061809138212073
general,COHORT,P13,valence,eeg,knn,5,5,13,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.49570670616185925
general,COHORT,P14,valence,eeg,knn,5,5,14,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.5030047842360716
general,COHORT,P15,valence,eeg,knn,5,5,15,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5015430959411232
general,COHORT,P16,valence,eeg,knn,5,5,16,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5030868144705409
general,COHORT,P17,valence,eeg,knn,5,5,17,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5081594543179959
general,COHORT,P18,valence,eeg,knn,5,5,18,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5005202844888201
general,COHORT,P19,valence,eeg,knn,5,5,19,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5183460250139597
general,COHORT,P20,valence,eeg,knn,5,5,20,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5129880965616431
general,COHORT,P21,valence,eeg,knn,5,5,21,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.4966415191674226
general,COHORT,P22,valence,eeg,knn,5,5,22,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5002959921932477
general,COHORT,P23,valence,eeg,knn,5,5,23,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5033081094333985
general,COHORT,P24,valence,eeg,knn,5,5,24,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5138340018003886
general,COHORT,P25,valence,eeg,knn,5,5,25,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.49968803316003074
general,COHORT,P26,valence,eeg,knn,5,5,26,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.49941372759419583
general,COHORT,P27,valence,eeg,knn,5,5,27,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5038096414081815
