mode,participant,held_out_participant,target,modality,classifier,feature_count_request,fold,tn,fp,fn,tp
general,COHORT,P01,valence,eeg,knn,all,1,16,36,11,51
general,COHORT,P02,valence,eeg,knn,all,2,10,15,21,38
general,COHORT,P03,valence,eeg,knn,all,3,12,9,17,15
general,COHORT,P04,valence,eeg,knn,all,4,5,34,10,53
general,COHORT,P05,valence,eeg,knn,all,5,16,46,18,37
general,COHORT,P06,valence,eeg,knn,all,6,9,38,13,59
general,COHORT,P07,valence,eeg,knn,all,7,5,19,20,72
general,COHORT,P08,valence,eeg,knn,all,8,18,38,15,39
general,COHORT,P09,valence,eeg,knn,all,9,16,31,21,49
general,COHORT,P10,valence,eeg,knn,all,10,14,36,19,51
general,COHORT,P11,valence,eeg,knn,all,11,5,53,8,54
general,COHORT,P12,valence,eeg,knn,all,12,5,31,8,76
general,COHORT,P13,valence,eeg,knn,all,13,12,19,22,42
general,COHORT,P14,valence,eeg,knn,all,14,19,40,9,44
general,COHORT,P15,valence,eeg,knn,all,15,9,29,9,65
general,COHORT,P16,valence,eeg,knn,all,16,20,34,28,34
general,COHORT,P17,valence,eeg,knn,all,17,9,43,11,56
general,COHORT,P18,valence,eeg,knn,all,18,29,28,30,31
general,COHORT,P19,valence,eeg,knn,all,19,33,10,59,18
general,COHORT,P20,valence,eeg,knn,all,20,11,36,10,36
general,COHORT,P21,valence,eeg,knn,all,21,11,14,40,43
general,COHORT,P22,valence,eeg,knn,all,22,17,51,14,35
general,COHORT,P23,valence,eeg,knn,all,23,23,46,15,34
general,COHORT,P24,valence,eeg,knn,all,24,23,39,16,39
general,COHORT,P25,valence,eeg,knn,all,25,15,39,24,42
general,COHORT,P26,valence,eeg,knn,all,26,23,43,13,39
general,COHORT,P27,valence,eeg,knn,all,27,10,19,24,36
general,COHORT,P28,valence,eeg,knn,all,28,12,27,22,50
general,COHORT,P29,valence,eeg,knn,all,29,14,31,28,36
general,COHORT,P30,valence,eeg,knn,all,30,22,37,23,38
general,COHORT,P31,valence,eeg,knn,all,31,8,50,8,53
general,COHORT,P32,valence,eeg,knn,all,32,16,42,20,42
general,COHORT,P33,valence,eeg,knn,all,33,22,38,27,30
general,COHORT,P34,valence,eeg,knn,all,34,18,49,15,33
general,COHORT,P35,valence,eeg,knn,all,35,23,39,17,35
general,COHORT,P36,valence,eeg,knn,all,36,7,39,18,38
general,COHORT,P37,valence,eeg,knn,all,37,10,36,13,48
general,COHORT,P38,valence,eeg,knn,all,38,13,36,17,54
general,COHORT,P39,valence,eeg,knn,all,39,15,18,31,54
general,COHORT,P40,valence,eeg,knn,all,40,14,40,24,42
general,COHORT,P41,valence,eeg,knn,all,41,10,42,20,45
general,COHORT,P42,valence,eeg,knn,all,42,21,31,18,50
general,COHORT,P43,valence,eeg,knn,all,43,5,38,20,57
general,COHORT,P44,valence,eeg,knn,all,44,11,24,31,53
general,COHORT,P45,valence,eeg,knn,all,45,5,37,12,66
general,COHORT,P46,valence,eeg,knn,all,46,19,31,25,43
general,COHORT,P01,valence,eeg,knn,5,1,16,36,28,34
general,COHORT,P02,valence,eeg,knn,5,2,9,16,20,39
general,COHORT,P03,valence,eeg,knn,5,3,11,10,15,17
