mode,participant,held_out_participant,target,modality,classifier,feature_count_request,fold,tn,fp,fn,tp
individual,P10,P10,valence,eeg,knn,all,1,3,7,8,6
individual,P10,P10,valence,eeg,knn,all,2,3,7,4,10
individual,P10,P10,valence,eeg,knn,all,3,3,7,1,13
individual,P10,P10,valence,eeg,knn,all,4,4,6,6,8
individual,P10,P10,valence,eeg,knn,all,5,3,7,3,11
individual,P11,P11,valence,eeg,knn,all,1,5,7,4,8
individual,P11,P11,valence,eeg,knn,all,2,6,6,7,5
individual,P11,P11,valence,eeg,knn,all,3,4,8,6,6
individual,P11,P11,valence,eeg,knn,all,4,5,6,9,4
individual,P11,P11,valence,eeg,knn,all,5,6,5,3,10
individual,P14,P14,valence,eeg,knn,all,1,4,9,3,8
individual,P14,P14,valence,eeg,knn,all,2,11,2,5,5
individual,P14,P14,valence,eeg,knn,all,3,4,8,4,7
individual,P14,P14,valence,eeg,knn,all,4,7,5,4,7
individual,P14,P14,valence,eeg,knn,all,5,7,5,5,6
individual,P15,P15,valence,eeg,knn,all,1,3,5,5,11
individual,P15,P15,valence,eeg,knn,all,2,2,6,2,13
individual,P15,P15,valence,eeg,knn,all,3,1,7,2,13
individual,P15,P15,valence,eeg,knn,all,4,5,2,6,10
individual,P15,P15,valence,eeg,knn,all,5,2,5,2,14
individual,P16,P16,valence,eeg,knn,all,1,3,8,6,7
individual,P16,P16,valence,eeg,knn,all,2,3,8,2,11
individual,P16,P16,valence,eeg,knn,all,3,4,7,4,8
individual,P16,P16,valence,eeg,knn,all,4,5,6,5,7
individual,P16,P16,valence,eeg,knn,all,5,4,7,2,10
individual,P17,P17,valence,eeg,knn,all,1,5,6,1,12
individual,P17,P17,valence,eeg,knn,all,2,3,7,4,10
individual,P17,P17,valence,eeg,knn,all,3,4,6,1,13
individual,P17,P17,valence,eeg,knn,all,4,3,7,5,8
individual,P17,P17,valence,eeg,knn,all,5,5,5,3,10
individual,P18,P18,valence,eeg,knn,all,1,8,4,6,6
individual,P18,P18,valence,eeg,knn,all,2,6,5,5,7
individual,P18,P18,valence,eeg,knn,all,3,2,9,3,9
individual,P18,P18,valence,eeg,knn,all,4,3,8,8,4
individual,P18,P18,valence,eeg,knn,all,5,5,6,6,6
individual,P19,P19,valence,eeg,knn,all,1,4,5,3,12
individual,P19,P19,valence,eeg,knn,all,2,0,9,4,11
individual,P19,P19,valence,eeg,knn,all,3,2,7,4,11
individual,P19,P19,valence,eeg,knn,all,4,1,7,3,13
individual,P19,P19,valence,eeg,knn,all,5,4,4,4,12
individual,P20,P20,valence,eeg,knn,all,1,7,4,8,5
individual,P20,P20,valence,eeg,knn,all,2,1,10,3,10
individual,P20,P20,valence,eeg,knn,all,3,3,7,4,9
individual,P20,P20,valence,eeg,knn,all,4,2,8,3,10
individual,P20,P20,valence,eeg,knn,all,5,3,7,1,12
individual,P22,P22,valence,eeg,knn,all,1,9,5,6,4
individual,P22,P22,valence,eeg,knn,all,2,12,2,6,4
individual,P22,P22,valence,eeg,knn,all,3,12,2,5,5
individual,P22,P22,valence,eeg,knn,all,4,6,7,5,6
individual,P22,P22,valence,eeg,knn,all,5,12,1,8,3
individual,P23,P23,valence,eeg,knn,all,1,11,3,10,0
individual,P23,P23,valence,eeg,knn,all,2,9,5,5,5
individual,P23,P23,valence,eeg,knn,all,3,8,5,9,1
individual,P23,P23,valence,eeg,knn,all,4,8,6,5,4
individual,P23,P23,valence,eeg,knn,all,5,8,6,7,2
