participant,target,best_balanced_accuracy,accuracy,precision,recall,f1,modality,classifier,feature_count,BA_SD,BA_median,BA_min,BA_max,most_frequent_hyperparameters,winner_tie_count
P10,arousal,0.5697552447552447,0.575,0.5895951107715813,0.6743589743589744,0.6249954387885422,face,knn,all,0.1011881406408256,0.5734265734265734,0.444055944055944,0.7027972027972028,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""} (3/5 folds)",3
P10,valence,0.5714285714285714,0.5833333333333333,0.6411616161616162,0.6428571428571429,0.6283401253918496,face,knn,all,0.0437408882639853,0.55,0.5285714285714286,0.6285714285714286,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""} (2/5 folds)",3
P11,arousal,0.5822277722277722,0.6083333333333333,0.622243391283639,0.7626373626373626,0.6836844875554553,face,knn,all,0.055291449646826,0.5928571428571429,0.4965034965034964,0.6503496503496503,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""} (2/5 folds)",3
P11,valence,0.6155594405594406,0.6083333333333333,0.696969696969697,0.4038461538461538,0.4966846463986051,face,gnb,5,0.1104150125545392,0.5833333333333333,0.5,0.7916666666666667,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P14,arousal,0.5916083916083916,0.6036231884057971,0.6336829836829837,0.6923076923076923,0.6538907758907759,multimodal,knn,5,0.0375829400494041,0.5734265734265734,0.5576923076923077,0.65,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""} (2/5 folds)",1
P14,valence,0.597948717948718,0.586231884057971,0.5425339366515838,0.76,0.62989417989418,multimodal,gnb,all,0.0594504339574423,0.5874125874125874,0.5303030303030303,0.6628787878787878,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P15,arousal,0.587953216374269,0.725,0.8185442661913249,0.8292397660818713,0.8221872904799735,face,gnb,5,0.0891679598900973,0.5684210526315789,0.4684210526315789,0.7,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P15,valence,0.6125,0.675,0.7407477970945463,0.8,0.7650574712643678,face,gnb,5,0.0900303768180495,0.625,0.46875,0.71875,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P16,arousal,0.6743055555555555,0.7010869565217391,0.7707142857142857,0.7625,0.7661040044493882,eeg,svm,20,0.0721453918260092,0.7125,0.5833333333333333,0.7458333333333333,"{""classifier__C"": 10, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""} (2/5 folds)",1
P16,valence,0.5874125874125874,0.6,0.6114285714285714,0.7384615384615385,0.6649859943977592,face,svm,5,0.0299762730760178,0.5734265734265734,0.5524475524475525,0.6188811188811189,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""} (1/5 folds)",1
P17,arousal,0.5822595704948647,0.5434782608695652,0.795595238095238,0.5026143790849673,0.5966366894753992,eeg,gnb,all,0.1202687458633485,0.6225490196078431,0.3907563025210084,0.7100840336134454,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P17,valence,0.6882917082917083,0.7,0.7177677224736049,0.7802197802197802,0.7439456946464733,face,svm,all,0.0771392337062344,0.6785714285714286,0.5857142857142856,0.7785714285714285,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""} (3/5 folds)",3
P18,arousal,0.6015151515151516,0.6,0.6658857808857809,0.5196969696969698,0.5407832167832167,face,svm,5,0.0724964327254663,0.5833333333333334,0.5104895104895105,0.7083333333333333,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""} (2/5 folds)",1
P18,valence,0.6007575757575758,0.6036231884057971,0.6349261849261849,0.6,0.5859565217391304,eeg,knn,20,0.1003108689603903,0.6401515151515151,0.4356060606060606,0.6931818181818181,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""} (4/5 folds)",1
P19,arousal,0.6832167832167833,0.6916666666666667,0.7027777777777777,0.5818181818181818,0.6328146453089245,eeg,knn,10,0.0756651758545961,0.6958041958041958,0.5734265734265734,0.7797202797202798,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""} (2/5 folds)",4
P19,valence,0.6001388888888889,0.6416666666666667,0.7194117647058824,0.7391666666666666,0.7264383265356569,eeg,gnb,5,0.0993108972922289,0.6111111111111112,0.46875,0.7,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",4
P20,arousal,0.593609943977591,0.639855072463768,0.7722222222222223,0.7110294117647059,0.7202158202158202,eeg,gnb,10,0.091407589112022,0.6071428571428572,0.4831932773109243,0.726890756302521,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
