mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy
general,COHORT,P01,valence,eeg,knn,all,all,1,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.4971485704654953
general,COHORT,P02,valence,eeg,knn,all,all,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5121940957728304
general,COHORT,P03,valence,eeg,knn,all,all,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5062073402103651
general,COHORT,P04,valence,eeg,knn,all,all,4,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.498981013485162
general,COHORT,P05,valence,eeg,knn,all,all,5,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5086896893620587
general,COHORT,P06,valence,eeg,knn,all,all,6,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5081879391801095
general,COHORT,P07,valence,eeg,knn,all,all,7,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5083483729225902
general,COHORT,P08,valence,eeg,knn,all,all,8,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5014643741269095
general,COHORT,P09,valence,eeg,knn,all,all,9,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5061401930638821
general,COHORT,P10,valence,eeg,knn,all,all,10,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.505212185815641
general,COHORT,P11,valence,eeg,knn,all,all,11,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5126034197416762
general,COHORT,P12,valence,eeg,knn,all,all,12,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.4929166776450442
general,COHORT,P13,valence,eeg,knn,all,all,13,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5057937389063001
general,COHORT,P14,valence,eeg,knn,all,all,14,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5040089410484088
general,COHORT,P15,valence,eeg,knn,all,all,15,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5020737128442976
general,COHORT,P16,valence,eeg,knn,all,all,16,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5085002504408195
general,COHORT,P17,valence,eeg,knn,all,all,17,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5053603656353559
general,COHORT,P18,valence,eeg,knn,all,all,18,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.4943088631956886
general,COHORT,P19,valence,eeg,knn,all,all,19,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5060103650411174
general,COHORT,P20,valence,eeg,knn,all,all,20,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5069521856140201
general,COHORT,P21,valence,eeg,knn,all,all,21,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5057717044729337
general,COHORT,P22,valence,eeg,knn,all,all,22,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5041617409314745
general,COHORT,P23,valence,eeg,knn,all,all,23,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5089986041026161
general,COHORT,P24,valence,eeg,knn,all,all,24,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5086641802970769
general,COHORT,P25,valence,eeg,knn,all,all,25,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5057966920863253
general,COHORT,P26,valence,eeg,knn,all,all,26,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5047274902954906
general,COHORT,P27,valence,eeg,knn,all,all,27,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5067234820005473
general,COHORT,P28,valence,eeg,knn,all,all,28,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5097779103819695
general,COHORT,P29,valence,eeg,knn,all,all,29,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5088481218810873
general,COHORT,P30,valence,eeg,knn,all,all,30,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5018152548660726
general,COHORT,P31,valence,eeg,knn,all,all,31,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.512538149953796
general,COHORT,P32,valence,eeg,knn,all,all,32,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5114442704072623
general,COHORT,P33,valence,eeg,knn,all,all,33,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5066872669919045
general,COHORT,P34,valence,eeg,knn,all,all,34,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5022097185473708
general,COHORT,P35,valence,eeg,knn,all,all,35,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.4998822834715521
general,COHORT,P36,valence,eeg,knn,all,all,36,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5016079424526708
general,COHORT,P37,valence,eeg,knn,all,all,37,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5012797832599374
general,COHORT,P38,valence,eeg,knn,all,all,38,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5077934956964802
general,COHORT,P39,valence,eeg,knn,all,all,39,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5048759913644224
general,COHORT,P40,valence,eeg,knn,all,all,40,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5089711307134689
general,COHORT,P41,valence,eeg,knn,all,all,41,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5044782309182507
general,COHORT,P42,valence,eeg,knn,all,all,42,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.501462925488824
general,COHORT,P43,valence,eeg,knn,all,all,43,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.510174949464469
general,COHORT,P44,valence,eeg,knn,all,all,44,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5020316737285011
general,COHORT,P45,valence,eeg,knn,all,all,45,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5128383575569774
general,COHORT,P46,valence,eeg,knn,all,all,46,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5111973453315445
general,COHORT,P01,valence,eeg,knn,5,5,1,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5065495439575558
general,COHORT,P02,valence,eeg,knn,5,5,2,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.4997640925439617
general,COHORT,P03,valence,eeg,knn,5,5,3,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5120193514110557
general,COHORT,P04,valence,eeg,knn,5,5,4,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.5156346747213726
general,COHORT,P05,valence,eeg,knn,5,5,5,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5010110039657667
general,COHORT,P06,valence,eeg,knn,5,5,6,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.49532309723020324
general,COHORT,P07,valence,eeg,knn,5,5,7,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5054449754199992
general,COHORT,P08,valence,eeg,knn,5,5,8,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5087915660744293
general,COHORT,P09,valence,eeg,knn,5,5,9,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5040122581326468
general,COHORT,P10,valence,eeg,knn,5,5,10,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.5055167451340818
general,COHORT,P11,valence,eeg,knn,5,5,11,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.5126614444867786
general,COHORT,P12,valence,eeg,knn,5,5,12,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5047475183850404
general,COHORT,P13,valence,eeg,knn,5,5,13,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5131858166132652
general,COHORT,P14,valence,eeg,knn,5,5,14,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.512847113591862
general,COHORT,P15,valence,eeg,knn,5,5,15,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5001231026471493
general,COHORT,P16,valence,eeg,knn,5,5,16,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.524102976403803
general,COHORT,P17,valence,eeg,knn,5,5,17,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5063772304541716
general,COHORT,P18,valence,eeg,knn,5,5,18,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5025903896872861
general,COHORT,P19,valence,eeg,knn,5,5,19,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5153517378685031
general,COHORT,P20,valence,eeg,knn,5,5,20,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5070490759705116
general,COHORT,P21,valence,eeg,knn,5,5,21,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5235566716188922
general,COHORT,P22,valence,eeg,knn,5,5,22,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.5075289145418668
general,COHORT,P23,valence,eeg,knn,5,5,23,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.4960930481340652
general,COHORT,P24,valence,eeg,knn,5,5,24,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5051070129537828
general,COHORT,P25,valence,eeg,knn,5,5,25,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.5039543156078514
general,COHORT,P26,valence,eeg,knn,5,5,26,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5020468097734735
general,COHORT,P27,valence,eeg,knn,5,5,27,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5025683477842687
general,COHORT,P28,valence,eeg,knn,5,5,28,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.498380955093887
general,COHORT,P29,valence,eeg,knn,5,5,29,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5107904624190013
general,COHORT,P30,valence,eeg,knn,5,5,30,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5145471663095393
general,COHORT,P31,valence,eeg,knn,5,5,31,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.4985109521286312
general,COHORT,P32,valence,eeg,knn,5,5,32,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.499432289207853
general,COHORT,P33,valence,eeg,knn,5,5,33,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.511930942218808
general,COHORT,P34,valence,eeg,knn,5,5,34,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.5156337721669001
general,COHORT,P35,valence,eeg,knn,5,5,35,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5095576430412783
general,COHORT,P36,valence,eeg,knn,5,5,36,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5006456744182423
general,COHORT,P37,valence,eeg,knn,5,5,37,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.5152863248172828
general,COHORT,P38,valence,eeg,knn,5,5,38,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5107771929024227
general,COHORT,P39,valence,eeg,knn,5,5,39,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.4957882114961709
general,COHORT,P40,valence,eeg,knn,5,5,40,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5000090878840416
general,COHORT,P41,valence,eeg,knn,5,5,41,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.5082827526673395
general,COHORT,P42,valence,eeg,knn,5,5,42,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.5121316456854481
general,COHORT,P43,valence,eeg,knn,5,5,43,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5060583043785112
general,COHORT,P44,valence,eeg,knn,5,5,44,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.5058128520485269
general,COHORT,P45,valence,eeg,knn,5,5,45,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5133034714965776
general,COHORT,P46,valence,eeg,knn,5,5,46,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5008188620083456
general,COHORT,P01,valence,eeg,knn,10,10,1,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5099005002103612
general,COHORT,P02,valence,eeg,knn,10,10,2,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5110418982476406
general,COHORT,P03,valence,eeg,knn,10,10,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5011687000365465
general,COHORT,P04,valence,eeg,knn,10,10,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.48942301183815023
