mode,participant,held_out_participant,target,modality,classifier,feature_count_request,fold,tn,fp,fn,tp
general,COHORT,P01,valence,eeg,knn,all,1,16,36,18,44
general,COHORT,P02,valence,eeg,knn,all,2,8,17,21,39
general,COHORT,P03,valence,eeg,knn,all,3,8,13,17,15
general,COHORT,P04,valence,eeg,knn,all,4,7,32,9,53
general,COHORT,P05,valence,eeg,knn,all,5,17,45,18,37
general,COHORT,P06,valence,eeg,knn,all,6,8,36,11,60
general,COHORT,P07,valence,eeg,knn,all,7,4,21,15,79
general,COHORT,P08,valence,eeg,knn,all,8,20,35,16,38
general,COHORT,P09,valence,eeg,knn,all,9,15,32,19,49
general,COHORT,P10,valence,eeg,knn,all,10,14,36,23,47
general,COHORT,P11,valence,eeg,knn,all,11,5,53,14,48
general,COHORT,P12,valence,eeg,knn,all,12,6,30,14,70
general,COHORT,P13,valence,eeg,knn,all,13,11,17,20,40
general,COHORT,P14,valence,eeg,knn,all,14,24,38,22,32
general,COHORT,P15,valence,eeg,knn,all,15,10,28,13,65
general,COHORT,P16,valence,eeg,knn,all,16,19,36,25,37
general,COHORT,P17,valence,eeg,knn,all,17,11,40,15,52
general,COHORT,P18,valence,eeg,knn,all,18,27,29,26,34
general,COHORT,P19,valence,eeg,knn,all,19,29,14,52,25
general,COHORT,P20,valence,eeg,knn,all,20,11,41,16,49
general,COHORT,P21,valence,eeg,knn,all,21,19,7,50,35
general,COHORT,P22,valence,eeg,knn,all,22,24,44,15,37
general,COHORT,P23,valence,eeg,knn,all,23,20,49,18,30
general,COHORT,P24,valence,eeg,knn,all,24,14,48,11,44
general,COHORT,P25,valence,eeg,knn,all,25,18,36,22,44
general,COHORT,P26,valence,eeg,knn,all,26,21,45,17,34
general,COHORT,P27,valence,eeg,knn,all,27,14,23,37,42
general,COHORT,P28,valence,eeg,knn,all,28,12,26,25,47
general,COHORT,P29,valence,eeg,knn,all,29,18,28,25,39
general,COHORT,P30,valence,eeg,knn,all,30,20,37,23,36
general,COHORT,P31,valence,eeg,knn,all,31,12,44,12,48
general,COHORT,P32,valence,eeg,knn,all,32,13,45,19,43
general,COHORT,P33,valence,eeg,knn,all,33,22,38,21,36
general,COHORT,P34,valence,eeg,knn,all,34,14,56,9,39
general,COHORT,P35,valence,eeg,knn,all,35,28,34,19,33
general,COHORT,P36,valence,eeg,knn,all,36,11,36,14,41
general,COHORT,P37,valence,eeg,knn,all,37,13,33,18,44
general,COHORT,P38,valence,eeg,knn,all,38,13,36,19,49
general,COHORT,P39,valence,eeg,knn,all,39,14,19,29,55
general,COHORT,P40,valence,eeg,knn,all,40,13,41,29,37
general,COHORT,P41,valence,eeg,knn,all,41,12,40,25,40
general,COHORT,P42,valence,eeg,knn,all,42,24,28,25,43
general,COHORT,P43,valence,eeg,knn,all,43,12,31,25,52
general,COHORT,P44,valence,eeg,knn,all,44,16,19,35,49
general,COHORT,P45,valence,eeg,knn,all,45,5,37,15,63
general,COHORT,P46,valence,eeg,knn,all,46,15,34,22,46
general,COHORT,P01,valence,eeg,knn,5,1,18,34,20,42
general,COHORT,P02,valence,eeg,knn,5,2,9,16,23,37
general,COHORT,P03,valence,eeg,knn,5,3,10,11,15,17
general,COHORT,P04,valence,eeg,knn,5,4,14,25,20,42
general,COHORT,P05,valence,eeg,knn,5,5,21,41,25,30
general,COHORT,P06,valence,eeg,knn,5,6,16,28,29,42
general,COHORT,P07,valence,eeg,knn,5,7,8,17,44,50
general,COHORT,P08,valence,eeg,knn,5,8,22,33,28,26
general,COHORT,P09,valence,eeg,knn,5,9,22,25,18,50
general,COHORT,P10,valence,eeg,knn,5,10,13,37,29,41
general,COHORT,P11,valence,eeg,knn,5,11,24,34,18,44
general,COHORT,P12,valence,eeg,knn,5,12,12,24,31,53
general,COHORT,P13,valence,eeg,knn,5,13,14,14,27,33
general,COHORT,P14,valence,eeg,knn,5,14,32,30,19,35
general,COHORT,P15,valence,eeg,knn,5,15,20,18,24,54
general,COHORT,P16,valence,eeg,knn,5,16,26,29,31,31
general,COHORT,P17,valence,eeg,knn,5,17,11,40,7,60
general,COHORT,P18,valence,eeg,knn,5,18,19,37,20,40
general,COHORT,P19,valence,eeg,knn,5,19,22,21,43,34
general,COHORT,P20,valence,eeg,knn,5,20,16,36,23,42
general,COHORT,P21,valence,eeg,knn,5,21,10,16,32,53
general,COHORT,P22,valence,eeg,knn,5,22,25,43,17,35
general,COHORT,P23,valence,eeg,knn,5,23,24,45,7,41
general,COHORT,P24,valence,eeg,knn,5,24,22,40,13,42
general,COHORT,P25,valence,eeg,knn,5,25,26,28,25,41
general,COHORT,P26,valence,eeg,knn,5,26,22,44,16,35
general,COHORT,P27,valence,eeg,knn,5,27,13,24,32,47
general,COHORT,P28,valence,eeg,knn,5,28,14,24,21,51
general,COHORT,P29,valence,eeg,knn,5,29,12,34,25,39
general,COHORT,P30,valence,eeg,knn,5,30,16,41,9,50
general,COHORT,P31,valence,eeg,knn,5,31,25,31,23,37
general,COHORT,P32,valence,eeg,knn,5,32,23,35,16,46
general,COHORT,P33,valence,eeg,knn,5,33,19,41,22,35
general,COHORT,P34,valence,eeg,knn,5,34,25,45,23,25
general,COHORT,P35,valence,eeg,knn,5,35,27,35,21,31
general,COHORT,P36,valence,eeg,knn,5,36,17,30,11,44
general,COHORT,P37,valence,eeg,knn,5,37,14,32,22,40
general,COHORT,P38,valence,eeg,knn,5,38,23,26,26,42
general,COHORT,P39,valence,eeg,knn,5,39,22,11,36,48
general,COHORT,P40,valence,eeg,knn,5,40,21,33,16,50
general,COHORT,P41,valence,eeg,knn,5,41,37,15,24,41
general,COHORT,P42,valence,eeg,knn,5,42,29,23,38,30
general,COHORT,P43,valence,eeg,knn,5,43,17,26,24,53
general,COHORT,P44,valence,eeg,knn,5,44,12,23,32,52
general,COHORT,P45,valence,eeg,knn,5,45,16,26,26,52
general,COHORT,P46,valence,eeg,knn,5,46,22,27,28,40
general,COHORT,P01,valence,eeg,knn,10,1,13,39,12,50
general,COHORT,P02,valence,eeg,knn,10,2,8,17,26,34
general,COHORT,P03,valence,eeg,knn,10,3,11,10,13,19
general,COHORT,P04,valence,eeg,knn,10,4,7,32,13,49
general,COHORT,P05,valence,eeg,knn,10,5,31,31,18,37
general,COHORT,P06,valence,eeg,knn,10,6,12,32,20,51
general,COHORT,P07,valence,eeg,knn,10,7,14,11,37,57
general,COHORT,P08,valence,eeg,knn,10,8,23,32,19,35
general,COHORT,P09,valence,eeg,knn,10,9,17,30,25,43
general,COHORT,P10,valence,eeg,knn,10,10,15,35,31,39
general,COHORT,P11,valence,eeg,knn,10,11,20,38,11,51
general,COHORT,P12,valence,eeg,knn,10,12,8,28,28,56
general,COHORT,P13,valence,eeg,knn,10,13,8,20,21,39
general,COHORT,P14,valence,eeg,knn,10,14,27,35,19,35
general,COHORT,P15,valence,eeg,knn,10,15,13,25,30,48
general,COHORT,P16,valence,eeg,knn,10,16,22,33,28,34
general,COHORT,P17,valence,eeg,knn,10,17,13,38,10,57
general,COHORT,P18,valence,eeg,knn,10,18,7,49,8,52
general,COHORT,P19,valence,eeg,knn,10,19,20,23,29,48
general,COHORT,P20,valence,eeg,knn,10,20,10,42,20,45
general,COHORT,P21,valence,eeg,knn,10,21,25,1,84,1
general,COHORT,P22,valence,eeg,knn,10,22,18,50,18,34
general,COHORT,P23,valence,eeg,knn,10,23,24,45,13,35
general,COHORT,P24,valence,eeg,knn,10,24,22,40,17,38
general,COHORT,P25,valence,eeg,knn,10,25,15,39,26,40
general,COHORT,P26,valence,eeg,knn,10,26,22,44,17,34
general,COHORT,P27,valence,eeg,knn,10,27,13,24,26,53
general,COHORT,P28,valence,eeg,knn,10,28,13,25,32,40
general,COHORT,P29,valence,eeg,knn,10,29,19,27,28,36
general,COHORT,P30,valence,eeg,knn,10,30,11,46,16,43
general,COHORT,P31,valence,eeg,knn,10,31,25,31,25,35
general,COHORT,P32,valence,eeg,knn,10,32,20,38,24,38
general,COHORT,P33,valence,eeg,knn,10,33,15,45,27,30
general,COHORT,P34,valence,eeg,knn,10,34,23,47,15,33
general,COHORT,P35,valence,eeg,knn,10,35,16,46,14,38
general,COHORT,P36,valence,eeg,knn,10,36,16,31,22,33
general,COHORT,P37,valence,eeg,knn,10,37,9,37,8,54
general,COHORT,P38,valence,eeg,knn,10,38,17,32,33,35
general,COHORT,P39,valence,eeg,knn,10,39,17,16,38,46
general,COHORT,P40,valence,eeg,knn,10,40,16,38,26,40
general,COHORT,P41,valence,eeg,knn,10,41,24,28,31,34
general,COHORT,P42,valence,eeg,knn,10,42,13,39,27,41
general,COHORT,P43,valence,eeg,knn,10,43,17,26,18,59
general,COHORT,P44,valence,eeg,knn,10,44,18,17,37,47
general,COHORT,P45,valence,eeg,knn,10,45,12,30,14,64
general,COHORT,P46,valence,eeg,knn,10,46,14,35,26,42
general,COHORT,P01,valence,eeg,knn,20,1,20,32,14,48
general,COHORT,P02,valence,eeg,knn,20,2,6,19,18,42
general,COHORT,P03,valence,eeg,knn,20,3,13,8,27,5
general,COHORT,P04,valence,eeg,knn,20,4,9,30,16,46
general,COHORT,P05,valence,eeg,knn,20,5,29,33,17,38
general,COHORT,P06,valence,eeg,knn,20,6,17,27,24,47
general,COHORT,P07,valence,eeg,knn,20,7,8,17,34,60
general,COHORT,P08,valence,eeg,knn,20,8,13,42,19,35
general,COHORT,P09,valence,eeg,knn,20,9,16,31,26,42
general,COHORT,P10,valence,eeg,knn,20,10,27,23,45,25
general,COHORT,P11,valence,eeg,knn,20,11,18,40,19,43
general,COHORT,P12,valence,eeg,knn,20,12,9,27,31,53
general,COHORT,P13,valence,eeg,knn,20,13,13,15,26,34
general,COHORT,P14,valence,eeg,knn,20,14,29,33,23,31
general,COHORT,P15,valence,eeg,knn,20,15,13,25,34,44
general,COHORT,P16,valence,eeg,knn,20,16,22,33,23,39
general,COHORT,P17,valence,eeg,knn,20,17,10,41,14,53
general,COHORT,P18,valence,eeg,knn,20,18,15,41,16,44
general,COHORT,P19,valence,eeg,knn,20,19,9,34,19,58
general,COHORT,P20,valence,eeg,knn,20,20,6,46,18,47
general,COHORT,P21,valence,eeg,knn,20,21,12,14,48,37
general,COHORT,P22,valence,eeg,knn,20,22,30,38,19,33
general,COHORT,P23,valence,eeg,knn,20,23,11,58,7,41
general,COHORT,P24,valence,eeg,knn,20,24,27,35,18,37
general,COHORT,P25,valence,eeg,knn,20,25,17,37,31,35
general,COHORT,P26,valence,eeg,knn,20,26,23,43,16,35
general,COHORT,P27,valence,eeg,knn,20,27,13,24,28,51
general,COHORT,P28,valence,eeg,knn,20,28,8,30,22,50
general,COHORT,P29,valence,eeg,knn,20,29,24,22,23,41
general,COHORT,P30,valence,eeg,knn,20,30,30,27,30,29
general,COHORT,P31,valence,eeg,knn,20,31,26,30,25,35
general,COHORT,P32,valence,eeg,knn,20,32,21,37,21,41
general,COHORT,P33,valence,eeg,knn,20,33,23,37,20,37
general,COHORT,P34,valence,eeg,knn,20,34,16,54,11,37
general,COHORT,P35,valence,eeg,knn,20,35,25,37,21,31
general,COHORT,P36,valence,eeg,knn,20,36,13,34,15,40
general,COHORT,P37,valence,eeg,knn,20,37,9,37,14,48
general,COHORT,P38,valence,eeg,knn,20,38,20,29,26,42
general,COHORT,P39,valence,eeg,knn,20,39,20,13,38,46
general,COHORT,P40,valence,eeg,knn,20,40,20,34,26,40
general,COHORT,P41,valence,eeg,knn,20,41,23,29,30,35
general,COHORT,P42,valence,eeg,knn,20,42,31,21,21,47
general,COHORT,P43,valence,eeg,knn,20,43,10,33,19,58
general,COHORT,P44,valence,eeg,knn,20,44,16,19,39,45
general,COHORT,P45,valence,eeg,knn,20,45,12,30,24,54
general,COHORT,P46,valence,eeg,knn,20,46,31,18,42,26
general,COHORT,P01,valence,eeg,svm,all,1,22,30,18,44
general,COHORT,P02,valence,eeg,svm,all,2,11,14,19,41
general,COHORT,P03,valence,eeg,svm,all,3,13,8,19,13
general,COHORT,P04,valence,eeg,svm,all,4,0,39,0,62
general,COHORT,P05,valence,eeg,svm,all,5,33,29,25,30
general,COHORT,P06,valence,eeg,svm,all,6,14,30,19,52
general,COHORT,P07,valence,eeg,svm,all,7,6,19,27,67
general,COHORT,P08,valence,eeg,svm,all,8,20,35,20,34
general,COHORT,P09,valence,eeg,svm,all,9,22,25,26,42
general,COHORT,P10,valence,eeg,svm,all,10,6,44,7,63
general,COHORT,P11,valence,eeg,svm,all,11,31,27,27,35
general,COHORT,P12,valence,eeg,svm,all,12,14,22,31,53
general,COHORT,P13,valence,eeg,svm,all,13,14,14,28,32
general,COHORT,P14,valence,eeg,svm,all,14,29,33,16,38
general,COHORT,P15,valence,eeg,svm,all,15,21,17,39,39
general,COHORT,P16,valence,eeg,svm,all,16,20,35,17,45
general,COHORT,P17,valence,eeg,svm,all,17,26,25,22,45
general,COHORT,P18,valence,eeg,svm,all,18,36,20,34,26
general,COHORT,P19,valence,eeg,svm,all,19,24,19,51,26
general,COHORT,P20,valence,eeg,svm,all,20,14,38,17,48
general,COHORT,P21,valence,eeg,svm,all,21,16,10,64,21
general,COHORT,P22,valence,eeg,svm,all,22,30,38,20,32
general,COHORT,P23,valence,eeg,svm,all,23,23,46,18,30
general,COHORT,P24,valence,eeg,svm,all,24,31,31,29,26
general,COHORT,P25,valence,eeg,svm,all,25,15,39,19,47
general,COHORT,P26,valence,eeg,svm,all,26,26,40,21,30
general,COHORT,P27,valence,eeg,svm,all,27,17,20,25,54
general,COHORT,P28,valence,eeg,svm,all,28,0,38,0,72
general,COHORT,P29,valence,eeg,svm,all,29,22,24,42,22
general,COHORT,P30,valence,eeg,svm,all,30,36,21,27,32
general,COHORT,P31,valence,eeg,svm,all,31,23,33,25,35
general,COHORT,P32,valence,eeg,svm,all,32,27,31,27,35
general,COHORT,P33,valence,eeg,svm,all,33,24,36,23,34
general,COHORT,P34,valence,eeg,svm,all,34,28,42,18,30
general,COHORT,P35,valence,eeg,svm,all,35,46,16,35,17
general,COHORT,P36,valence,eeg,svm,all,36,21,26,31,24
general,COHORT,P37,valence,eeg,svm,all,37,26,20,28,34
general,COHORT,P38,valence,eeg,svm,all,38,11,38,16,52
general,COHORT,P39,valence,eeg,svm,all,39,17,16,38,46
general,COHORT,P40,valence,eeg,svm,all,40,21,33,29,37
general,COHORT,P41,valence,eeg,svm,all,41,0,52,0,65
general,COHORT,P42,valence,eeg,svm,all,42,21,31,23,45
general,COHORT,P43,valence,eeg,svm,all,43,18,25,39,38
general,COHORT,P44,valence,eeg,svm,all,44,11,24,31,53
general,COHORT,P45,valence,eeg,svm,all,45,6,36,14,64
general,COHORT,P46,valence,eeg,svm,all,46,36,13,40,28
general,COHORT,P01,valence,eeg,svm,5,1,0,52,0,62
general,COHORT,P02,valence,eeg,svm,5,2,1,24,0,60
general,COHORT,P03,valence,eeg,svm,5,3,1,20,0,32
general,COHORT,P04,valence,eeg,svm,5,4,0,39,0,62
general,COHORT,P05,valence,eeg,svm,5,5,5,57,3,52
general,COHORT,P06,valence,eeg,svm,5,6,2,42,0,71
general,COHORT,P07,valence,eeg,svm,5,7,0,25,0,94
general,COHORT,P08,valence,eeg,svm,5,8,0,55,0,54
general,COHORT,P09,valence,eeg,svm,5,9,0,47,1,67
general,COHORT,P10,valence,eeg,svm,5,10,1,49,3,67
general,COHORT,P11,valence,eeg,svm,5,11,0,58,1,61
general,COHORT,P12,valence,eeg,svm,5,12,0,36,0,84
general,COHORT,P13,valence,eeg,svm,5,13,6,22,8,52
general,COHORT,P14,valence,eeg,svm,5,14,16,46,8,46
general,COHORT,P15,valence,eeg,svm,5,15,1,37,2,76
general,COHORT,P16,valence,eeg,svm,5,16,0,55,2,60
general,COHORT,P17,valence,eeg,svm,5,17,0,51,0,67
general,COHORT,P18,valence,eeg,svm,5,18,0,56,0,60
general,COHORT,P19,valence,eeg,svm,5,19,13,30,15,62
general,COHORT,P20,valence,eeg,svm,5,20,3,49,4,61
general,COHORT,P21,valence,eeg,svm,5,21,4,22,15,70
general,COHORT,P22,valence,eeg,svm,5,22,1,67,1,51
general,COHORT,P23,valence,eeg,svm,5,23,0,69,0,48
general,COHORT,P24,valence,eeg,svm,5,24,0,62,0,55
general,COHORT,P25,valence,eeg,svm,5,25,5,49,16,50
general,COHORT,P26,valence,eeg,svm,5,26,2,64,0,51
general,COHORT,P27,valence,eeg,svm,5,27,0,37,7,72
general,COHORT,P28,valence,eeg,svm,5,28,0,38,0,72
general,COHORT,P29,valence,eeg,svm,5,29,8,38,10,54
general,COHORT,P30,valence,eeg,svm,5,30,5,52,1,58
general,COHORT,P31,valence,eeg,svm,5,31,6,50,6,54
general,COHORT,P32,valence,eeg,svm,5,32,1,57,0,62
general,COHORT,P33,valence,eeg,svm,5,33,5,55,5,52
general,COHORT,P34,valence,eeg,svm,5,34,4,66,4,44
general,COHORT,P35,valence,eeg,svm,5,35,4,58,3,49
general,COHORT,P36,valence,eeg,svm,5,36,5,42,5,50
general,COHORT,P37,valence,eeg,svm,5,37,0,46,0,62
general,COHORT,P38,valence,eeg,svm,5,38,0,49,0,68
general,COHORT,P39,valence,eeg,svm,5,39,2,31,1,83
general,COHORT,P40,valence,eeg,svm,5,40,0,54,0,66
general,COHORT,P41,valence,eeg,svm,5,41,0,52,1,64
general,COHORT,P42,valence,eeg,svm,5,42,0,52,0,68
general,COHORT,P43,valence,eeg,svm,5,43,0,43,0,77
general,COHORT,P44,valence,eeg,svm,5,44,3,32,4,80
general,COHORT,P45,valence,eeg,svm,5,45,0,42,0,78
general,COHORT,P46,valence,eeg,svm,5,46,0,49,0,68
general,COHORT,P01,valence,eeg,svm,10,1,0,52,0,62
general,COHORT,P02,valence,eeg,svm,10,2,5,20,6,54
general,COHORT,P03,valence,eeg,svm,10,3,0,21,0,32
general,COHORT,P04,valence,eeg,svm,10,4,3,36,4,58
general,COHORT,P05,valence,eeg,svm,10,5,0,62,0,55
general,COHORT,P06,valence,eeg,svm,10,6,4,40,4,67
general,COHORT,P07,valence,eeg,svm,10,7,0,25,0,94
general,COHORT,P08,valence,eeg,svm,10,8,0,55,0,54
general,COHORT,P09,valence,eeg,svm,10,9,0,47,0,68
general,COHORT,P10,valence,eeg,svm,10,10,0,50,0,70
general,COHORT,P11,valence,eeg,svm,10,11,0,58,0,62
general,COHORT,P12,valence,eeg,svm,10,12,0,36,3,81
general,COHORT,P13,valence,eeg,svm,10,13,5,23,7,53
general,COHORT,P14,valence,eeg,svm,10,14,20,42,11,43
general,COHORT,P15,valence,eeg,svm,10,15,0,38,0,78
general,COHORT,P16,valence,eeg,svm,10,16,0,55,0,62
general,COHORT,P17,valence,eeg,svm,10,17,0,51,0,67
general,COHORT,P18,valence,eeg,svm,10,18,0,56,0,60
general,COHORT,P19,valence,eeg,svm,10,19,6,37,15,62
general,COHORT,P20,valence,eeg,svm,10,20,5,47,2,63
general,COHORT,P21,valence,eeg,svm,10,21,20,6,76,9
general,COHORT,P22,valence,eeg,svm,10,22,0,68,0,52
general,COHORT,P23,valence,eeg,svm,10,23,0,69,0,48
general,COHORT,P24,valence,eeg,svm,10,24,0,62,0,55
general,COHORT,P25,valence,eeg,svm,10,25,11,43,28,38
general,COHORT,P26,valence,eeg,svm,10,26,3,63,2,49
general,COHORT,P27,valence,eeg,svm,10,27,1,36,6,73
general,COHORT,P28,valence,eeg,svm,10,28,0,38,0,72
general,COHORT,P29,valence,eeg,svm,10,29,20,26,15,49
general,COHORT,P30,valence,eeg,svm,10,30,8,49,8,51
