mode,target,modality,classifier,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
individual,arousal,eeg,gnb,10,10,eeg_bp_beta__Fz,19,5,0.21348314606741572,2.0016314536669855
individual,arousal,eeg,gnb,10,10,eeg_se_gamma__C4,19,5,0.21348314606741572,2.3280606537507658
individual,arousal,eeg,gnb,10,10,eeg_bp_beta__PO7,18,5,0.20224719101123595,1.7489955924120049
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__Oz,17,5,0.19101123595505617,1.7038915763367721
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__PO8,17,5,0.19101123595505617,1.4822707421380197
individual,arousal,eeg,gnb,10,10,eeg_mf_hz__Cz,15,5,0.16853932584269662,1.4256469894395027
individual,arousal,eeg,gnb,10,10,eeg_mf_hz__PO8,15,5,0.16853932584269662,1.4459830275226446
individual,arousal,eeg,gnb,10,10,eeg_bp_alpha__C4,14,5,0.15730337078651685,1.4259151790833355
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__C3,14,5,0.15730337078651685,1.3657501391539517
individual,arousal,eeg,gnb,10,10,eeg_bp_theta__C3,12,5,0.1348314606741573,1.4633617912710175
individual,arousal,eeg,gnb,10,10,eeg_bp_theta__Fz,12,5,0.1348314606741573,1.3204027415918345
individual,arousal,eeg,gnb,10,10,eeg_hm__PO7,12,5,0.1348314606741573,1.4360031578986145
individual,arousal,eeg,gnb,10,10,eeg_sd__PO7,12,5,0.1348314606741573,1.3282425758512528
individual,arousal,eeg,gnb,10,10,eeg_se__PO7,12,5,0.1348314606741573,1.2825172896462684
individual,arousal,eeg,gnb,10,10,eeg_se_delta__C4,12,5,0.1348314606741573,1.414187418061973
individual,arousal,eeg,gnb,10,10,eeg_bp_alpha__Fz,11,5,0.12359550561797752,1.2457462608283283
individual,arousal,eeg,gnb,10,10,eeg_bp_alpha__Pz,11,5,0.12359550561797752,1.2550472413094647
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__PO7,11,5,0.12359550561797752,1.4202544506327202
individual,arousal,eeg,gnb,10,10,eeg_bp_theta__PO7,11,5,0.12359550561797752,1.21474766686093
individual,arousal,eeg,gnb,10,10,eeg_bp_theta__PO8,11,5,0.12359550561797752,1.2472495686468485
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__C4,11,5,0.12359550561797752,1.0166932247948985
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__Oz,11,5,0.12359550561797752,1.3761199901509498
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__Pz,11,5,0.12359550561797752,1.1052864006679268
individual,arousal,eeg,gnb,10,10,eeg_se_beta__C3,11,5,0.12359550561797752,0.9703484481858348
individual,arousal,eeg,gnb,10,10,eeg_se_gamma__PO8,11,5,0.12359550561797752,1.084699499996598
individual,arousal,eeg,gnb,10,10,eeg_se_theta__PO8,11,5,0.12359550561797752,1.0218043197922484
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__C4,10,5,0.11235955056179775,1.6908958764064554
individual,arousal,eeg,gnb,10,10,eeg_bp_theta__Cz,10,5,0.11235955056179775,1.3456132058706087
individual,arousal,eeg,gnb,10,10,eeg_hc__Fz,10,5,0.11235955056179775,1.2172951538508687
individual,arousal,eeg,gnb,10,10,eeg_se_beta__C4,10,5,0.11235955056179775,1.048106480362736
individual,arousal,eeg,gnb,10,10,eeg_se_delta__PO7,10,5,0.11235955056179775,1.12087684634573
individual,arousal,eeg,gnb,10,10,eeg_se_delta__PO8,10,5,0.11235955056179775,1.262446444255132
individual,arousal,eeg,gnb,10,10,eeg_se_gamma__Fz,10,5,0.11235955056179775,1.6322109144202637
individual,arousal,eeg,gnb,10,10,eeg_se_theta__C4,10,5,0.11235955056179775,1.1455401462985382
individual,arousal,eeg,gnb,10,10,eeg_bp_beta__Cz,9,5,0.10112359550561797,1.223954192843056
individual,arousal,eeg,gnb,10,10,eeg_bp_beta__Oz,9,5,0.10112359550561797,1.4670598624860758
individual,arousal,eeg,gnb,10,10,eeg_bp_delta__C4,9,5,0.10112359550561797,1.258476815225951
individual,arousal,eeg,gnb,10,10,eeg_bp_delta__Fz,9,5,0.10112359550561797,1.2825872769812476
individual,arousal,eeg,gnb,10,10,eeg_bp_delta__PO8,9,5,0.10112359550561797,1.0730510485988405
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__Cz,9,5,0.10112359550561797,1.0977632232574512
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__PO8,9,5,0.10112359550561797,1.7846126380211291
individual,arousal,eeg,gnb,10,10,eeg_bp_gamma__Pz,9,5,0.10112359550561797,1.0008015359297675
individual,arousal,eeg,gnb,10,10,eeg_mf_hz__Pz,9,5,0.10112359550561797,1.1583851736666528
individual,arousal,eeg,gnb,10,10,eeg_sd__Cz,9,5,0.10112359550561797,1.0726782497913794
individual,arousal,eeg,gnb,10,10,eeg_se_beta__PO8,9,5,0.10112359550561797,0.9990983424484268
individual,arousal,eeg,gnb,10,10,eeg_se_delta__C3,9,5,0.10112359550561797,0.8526210933124717
individual,arousal,eeg,gnb,10,10,eeg_se_gamma__Pz,9,5,0.10112359550561797,0.9748805729480982
individual,arousal,eeg,gnb,10,10,eeg_hc__C3,8,5,0.0898876404494382,1.2059382544230968
individual,arousal,eeg,gnb,10,10,eeg_sd__C4,8,5,0.0898876404494382,1.3255167210662575
individual,arousal,eeg,gnb,10,10,eeg_se__Cz,8,5,0.0898876404494382,0.9505165708840775
individual,arousal,eeg,gnb,10,10,eeg_se_beta__PO7,8,5,0.0898876404494382,0.918847032785798
individual,arousal,eeg,gnb,10,10,eeg_se_delta__Cz,8,5,0.0898876404494382,1.1565035243102741
individual,arousal,eeg,gnb,10,10,eeg_se_theta__PO7,8,5,0.0898876404494382,1.2164911401755196
individual,arousal,eeg,gnb,10,10,eeg_bp_alpha__Cz,7,5,0.07865168539325842,1.1483013360371976
individual,arousal,eeg,gnb,10,10,eeg_bp_delta__PO7,7,5,0.07865168539325842,1.1222423138508648
individual,arousal,eeg,gnb,10,10,eeg_bp_delta__Pz,7,5,0.07865168539325842,1.131143514840555
individual,arousal,eeg,gnb,10,10,eeg_hc__Cz,7,5,0.07865168539325842,1.0239252861017984
individual,arousal,eeg,gnb,10,10,eeg_hc__PO7,7,5,0.07865168539325842,0.9373900578238665
individual,arousal,eeg,gnb,10,10,eeg_hm__Cz,7,5,0.07865168539325842,0.7954600648916359
individual,arousal,eeg,gnb,10,10,eeg_hm__Pz,7,5,0.07865168539325842,1.005496714976607
individual,arousal,eeg,gnb,10,10,eeg_se__Fz,7,5,0.07865168539325842,1.0387617531720348
individual,arousal,eeg,gnb,10,10,eeg_se_alpha__Cz,7,5,0.07865168539325842,1.1328436346495754
individual,arousal,eeg,gnb,10,10,eeg_se_beta__Cz,7,5,0.07865168539325842,1.0166920678723865
individual,arousal,eeg,gnb,10,10,eeg_bp_beta__C3,6,5,0.06741573033707865,1.0155986751974657
