mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,cm_0_0,cm_0_1,cm_0_2,cm_1_0,cm_1_1,cm_1_2,cm_2_0,cm_2_1,cm_2_2
individual,P19,arousal,eeg,gnb,10,10,14,17,0,21,41,11,2,13,1
individual,P19,arousal,eeg,gnb,20,20,15,15,1,19,40,14,3,12,1
individual,P19,arousal,eeg,gnb,5,5,11,20,0,19,52,2,2,13,1
individual,P19,arousal,eeg,gnb,all,all,13,17,1,21,41,11,4,11,1
individual,P19,arousal,eeg,knn,10,10,5,26,0,15,57,1,6,10,0
individual,P19,arousal,eeg,knn,20,20,9,21,1,17,55,1,2,14,0
individual,P19,arousal,eeg,knn,5,5,8,23,0,13,58,2,2,14,0
individual,P19,arousal,eeg,knn,all,all,7,24,0,14,54,5,3,13,0
individual,P19,arousal,eeg,svm,10,10,1,30,0,16,51,6,1,13,2
individual,P19,arousal,eeg,svm,20,20,3,27,1,10,61,2,0,15,1
individual,P19,arousal,eeg,svm,5,5,4,27,0,9,63,1,1,14,1
individual,P19,arousal,eeg,svm,all,all,3,27,1,6,64,3,1,15,0
individual,P19,arousal,face,gnb,10,10,2,21,8,14,52,7,4,11,1
individual,P19,arousal,face,gnb,20,10,2,21,8,14,52,7,4,11,1
individual,P19,arousal,face,gnb,5,5,2,24,5,6,60,7,3,11,2
individual,P19,arousal,face,gnb,all,all,2,21,8,14,52,7,4,11,1
individual,P19,arousal,face,knn,10,10,5,24,2,9,61,3,4,12,0
individual,P19,arousal,face,knn,20,10,5,24,2,9,61,3,4,12,0
individual,P19,arousal,face,knn,5,5,6,24,1,12,56,5,4,11,1
individual,P19,arousal,face,knn,all,all,5,24,2,9,61,3,4,12,0
individual,P19,arousal,face,svm,10,10,1,27,3,7,63,3,5,11,0
individual,P19,arousal,face,svm,20,10,1,27,3,7,63,3,5,11,0
individual,P19,arousal,face,svm,5,5,5,24,2,13,56,4,3,11,2
individual,P19,arousal,face,svm,all,all,1,27,3,7,63,3,5,11,0
individual,P19,arousal,multimodal,gnb,10,10,11,19,1,19,46,8,2,13,1
individual,P19,arousal,multimodal,gnb,20,20,11,19,1,23,40,10,3,11,2
individual,P19,arousal,multimodal,gnb,5,5,10,20,1,16,55,2,3,12,1
individual,P19,arousal,multimodal,gnb,all,all,13,16,2,21,42,10,4,12,0
individual,P19,arousal,multimodal,knn,10,10,5,26,0,21,50,2,2,14,0
individual,P19,arousal,multimodal,knn,20,20,11,19,1,21,50,2,1,14,1
individual,P19,arousal,multimodal,knn,5,5,4,26,1,10,56,7,2,13,1
individual,P19,arousal,multimodal,knn,all,all,8,23,0,20,51,2,1,15,0
individual,P19,arousal,multimodal,svm,10,10,3,28,0,14,55,4,3,12,1
individual,P19,arousal,multimodal,svm,20,20,6,25,0,19,49,5,1,13,2
individual,P19,arousal,multimodal,svm,5,5,1,28,2,13,56,4,2,14,0
individual,P19,arousal,multimodal,svm,all,all,5,26,0,11,56,6,1,14,1
individual,P19,valence,eeg,gnb,10,10,4,13,5,17,52,6,4,16,3
individual,P19,valence,eeg,gnb,20,20,4,14,4,17,45,13,6,15,2
individual,P19,valence,eeg,gnb,5,5,0,16,6,14,57,4,6,14,3
individual,P19,valence,eeg,gnb,all,all,2,14,6,23,33,19,4,14,5
individual,P19,valence,eeg,knn,10,10,2,18,2,9,61,5,4,18,1
individual,P19,valence,eeg,knn,20,20,2,18,2,13,57,5,2,20,1
individual,P19,valence,eeg,knn,5,5,4,14,4,9,58,8,4,17,2
individual,P19,valence,eeg,knn,all,all,0,18,4,3,67,5,1,21,1
individual,P19,valence,eeg,svm,10,10,1,19,2,7,66,2,0,23,0
individual,P19,valence,eeg,svm,20,20,3,16,3,8,56,11,3,18,2
individual,P19,valence,eeg,svm,5,5,0,19,3,5,68,2,3,18,2
individual,P19,valence,eeg,svm,all,all,2,19,1,9,64,2,1,22,0
individual,P19,valence,face,gnb,10,10,8,11,3,16,44,15,5,14,4
individual,P19,valence,face,gnb,20,10,8,11,3,16,44,15,5,14,4
individual,P19,valence,face,gnb,5,5,2,18,2,6,53,16,0,17,6
individual,P19,valence,face,gnb,all,all,8,11,3,16,44,15,5,14,4
individual,P19,valence,face,knn,10,10,5,14,3,17,53,5,4,16,3
individual,P19,valence,face,knn,20,10,5,14,3,17,53,5,4,16,3
individual,P19,valence,face,knn,5,5,5,14,3,9,62,4,5,13,5
individual,P19,valence,face,knn,all,all,5,14,3,17,53,5,4,16,3
individual,P19,valence,face,svm,10,10,8,11,3,9,58,8,5,14,4
individual,P19,valence,face,svm,20,10,8,11,3,9,58,8,5,14,4
individual,P19,valence,face,svm,5,5,0,20,2,2,69,4,2,18,3
