mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,macro_f1_mean,recall_low_mean,recall_neutral_mean,recall_high_mean,balanced_accuracy_sd
individual,P19,arousal,multimodal,gnb,5,5,5,0.3734920634920635,0.55,0.4169189313152161,0.3734920634920635,0.364904309686257,0.3142857142857143,0.7561904761904762,0.05,0.10189623165602921
individual,P19,arousal,eeg,gnb,5,5,5,0.37317460317460316,0.5333333333333333,0.4159665503628352,0.37317460317460316,0.3604294071941131,0.35238095238095235,0.7171428571428571,0.05,0.09958088032285888
individual,P19,arousal,multimodal,knn,20,20,5,0.3676190476190476,0.5166666666666666,0.3868915343915344,0.3676190476190476,0.36390014107756047,0.35238095238095235,0.6838095238095238,0.06666666666666667,0.09208127906991971
individual,P19,arousal,eeg,gnb,20,20,5,0.36476190476190473,0.4666666666666666,0.3325611099140511,0.36476190476190473,0.3425381504404493,0.47619047619047616,0.5514285714285714,0.06666666666666667,0.11075566729628968
individual,P19,arousal,eeg,gnb,10,10,5,0.3577777777777777,0.4666666666666666,0.32640941846824195,0.3577777777777777,0.3353194256957698,0.4428571428571429,0.5638095238095238,0.06666666666666667,0.09762614505106135
individual,P19,arousal,eeg,svm,5,5,5,0.3546031746031746,0.5666666666666667,0.3032287157287157,0.3546031746031746,0.3155250961702574,0.13333333333333333,0.8638095238095238,0.06666666666666667,0.0863847965870193
individual,P19,arousal,face,svm,5,5,5,0.35238095238095235,0.525,0.36238095238095236,0.35238095238095235,0.33801966345576895,0.15714285714285708,0.7666666666666667,0.13333333333333333,0.04856209060564557
individual,P19,arousal,eeg,knn,5,5,5,0.3514285714285714,0.55,0.3160192147034252,0.3514285714285714,0.3221079138726197,0.2571428571428571,0.7971428571428572,0.0,0.05406853428378538
individual,P19,arousal,eeg,gnb,all,all,5,0.3482539682539682,0.45833333333333337,0.32719576719576715,0.3482539682539682,0.3351228252377677,0.41428571428571426,0.5638095238095238,0.06666666666666667,0.10826630288617028
individual,P19,arousal,multimodal,gnb,10,10,5,0.3476190476190476,0.4833333333333333,0.31457779693073806,0.3476190476190476,0.32824874945842686,0.34285714285714286,0.6333333333333333,0.06666666666666667,0.1174656798432763
individual,P19,arousal,eeg,knn,20,20,5,0.34666666666666657,0.5333333333333334,0.3061248710010319,0.34666666666666657,0.3223096348096348,0.2857142857142857,0.7542857142857142,0.0,0.07418491329471391
individual,P19,arousal,multimodal,gnb,20,20,5,0.34380952380952384,0.4416666666666666,0.36957190957190955,0.34380952380952384,0.3417564177336473,0.3476190476190476,0.5504761904761905,0.13333333333333333,0.11798787575806563
individual,P19,arousal,face,knn,5,5,5,0.3428571428571428,0.525,0.3187213540386915,0.3428571428571428,0.3243807118807119,0.1952380952380952,0.7666666666666666,0.06666666666666667,0.0503577526324295
