mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_rmse
individual,P19,P19,valence,eeg,knn,all,all,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.570842895991982
individual,P19,P19,valence,eeg,knn,all,all,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.7273993740283895
individual,P19,P19,valence,eeg,knn,all,all,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.694819613762762
individual,P19,P19,valence,eeg,knn,all,all,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.6416071594942674
individual,P19,P19,valence,eeg,knn,all,all,5,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.7486300786321165
individual,P19,P19,valence,eeg,knn,5,5,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.4637197274139455
individual,P19,P19,valence,eeg,knn,5,5,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.7194909339600155
individual,P19,P19,valence,eeg,knn,5,5,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.8371733428372767
individual,P19,P19,valence,eeg,knn,5,5,4,"{""regressor__n_neighbors"": 3, ""regressor__weights"": ""distance""}",1.548618485764883
individual,P19,P19,valence,eeg,knn,5,5,5,"{""regressor__n_neighbors"": 3, ""regressor__weights"": ""distance""}",1.8553783538284667
individual,P19,P19,valence,eeg,knn,10,10,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.5038053211489786
individual,P19,P19,valence,eeg,knn,10,10,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.744287463685673
individual,P19,P19,valence,eeg,knn,10,10,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.8092337214622507
individual,P19,P19,valence,eeg,knn,10,10,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.6866541697488362
individual,P19,P19,valence,eeg,knn,10,10,5,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.9348244397363228
individual,P19,P19,valence,eeg,knn,20,20,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.4812365091049362
individual,P19,P19,valence,eeg,knn,20,20,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.7328400359305514
individual,P19,P19,valence,eeg,knn,20,20,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.7336730455024407
individual,P19,P19,valence,eeg,knn,20,20,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.6676683575010929
individual,P19,P19,valence,eeg,knn,20,20,5,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.921327443294226
individual,P19,P19,valence,eeg,svr,all,all,1,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": ""scale"", ""regressor__kernel"": ""rbf""}",1.4835339076726264
individual,P19,P19,valence,eeg,svr,all,all,2,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": ""scale"", ""regressor__kernel"": ""rbf""}",1.63988045531584
individual,P19,P19,valence,eeg,svr,all,all,3,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": ""scale"", ""regressor__kernel"": ""rbf""}",1.669064510152843
individual,P19,P19,valence,eeg,svr,all,all,4,"{""regressor__C"": 10, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.1, ""regressor__kernel"": ""rbf""}",1.596199579904466
individual,P19,P19,valence,eeg,svr,all,all,5,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.1, ""regressor__kernel"": ""rbf""}",1.6946527107961795
individual,P19,P19,valence,eeg,svr,5,5,1,"{""regressor__C"": 1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.1, ""regressor__kernel"": ""rbf""}",1.4521424444051174
individual,P19,P19,valence,eeg,svr,5,5,2,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.1, ""regressor__kernel"": ""rbf""}",1.6258933583738582
individual,P19,P19,valence,eeg,svr,5,5,3,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.01, ""regressor__kernel"": ""rbf""}",1.6721730075023709
individual,P19,P19,valence,eeg,svr,5,5,4,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.01, ""regressor__kernel"": ""rbf""}",1.591562506716245
individual,P19,P19,valence,eeg,svr,5,5,5,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.01, ""regressor__kernel"": ""rbf""}",1.7018393897223083
individual,P19,P19,valence,eeg,svr,10,10,1,"{""regressor__C"": 1, ""regressor__epsilon"": 0.25, ""regressor__gamma"": 0.01, ""regressor__kernel"": ""rbf""}",1.4591303871468746
individual,P19,P19,valence,eeg,svr,10,10,2,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.01, ""regressor__kernel"": ""rbf""}",1.6244218731489906
individual,P19,P19,valence,eeg,svr,10,10,3,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.01, ""regressor__kernel"": ""rbf""}",1.6688633972350086
individual,P19,P19,valence,eeg,svr,10,10,4,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.01, ""regressor__kernel"": ""rbf""}",1.5947046382686032
individual,P19,P19,valence,eeg,svr,10,10,5,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.01, ""regressor__kernel"": ""rbf""}",1.7072467165629617
individual,P19,P19,valence,eeg,svr,20,20,1,"{""regressor__C"": 1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": ""scale"", ""regressor__kernel"": ""rbf""}",1.4212992385035663
individual,P19,P19,valence,eeg,svr,20,20,2,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.01, ""regressor__kernel"": ""rbf""}",1.625990550702647
individual,P19,P19,valence,eeg,svr,20,20,3,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.01, ""regressor__kernel"": ""rbf""}",1.665061120919518
individual,P19,P19,valence,eeg,svr,20,20,4,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.01, ""regressor__kernel"": ""rbf""}",1.595099572116175
individual,P19,P19,valence,eeg,svr,20,20,5,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.1, ""regressor__kernel"": ""rbf""}",1.7001211226633062
individual,P19,P19,valence,eeg,ridge,all,all,1,"{""regressor__alpha"": 100}",1.5550917414873202
individual,P19,P19,valence,eeg,ridge,all,all,2,"{""regressor__alpha"": 100}",1.7714670464218991
individual,P19,P19,valence,eeg,ridge,all,all,3,"{""regressor__alpha"": 100}",1.6874271938786929
individual,P19,P19,valence,eeg,ridge,all,all,4,"{""regressor__alpha"": 100}",1.7147801053260696
individual,P19,P19,valence,eeg,ridge,all,all,5,"{""regressor__alpha"": 100}",2.030854216832949
individual,P19,P19,valence,eeg,ridge,5,5,1,"{""regressor__alpha"": 100}",1.4820203974131685
individual,P19,P19,valence,eeg,ridge,5,5,2,"{""regressor__alpha"": 100}",1.6633773761390849
individual,P19,P19,valence,eeg,ridge,5,5,3,"{""regressor__alpha"": 100}",1.7779095977675812
individual,P19,P19,valence,eeg,ridge,5,5,4,"{""regressor__alpha"": 100}",1.5983348837670446
individual,P19,P19,valence,eeg,ridge,5,5,5,"{""regressor__alpha"": 100}",1.8423429121945825
individual,P19,P19,valence,eeg,ridge,10,10,1,"{""regressor__alpha"": 100}",1.4774775014381931
individual,P19,P19,valence,eeg,ridge,10,10,2,"{""regressor__alpha"": 100}",1.663905161674886
individual,P19,P19,valence,eeg,ridge,10,10,3,"{""regressor__alpha"": 100}",1.792447233015265
individual,P19,P19,valence,eeg,ridge,10,10,4,"{""regressor__alpha"": 100}",1.6458276450505709
individual,P19,P19,valence,eeg,ridge,10,10,5,"{""regressor__alpha"": 100}",1.888736216689568
individual,P19,P19,valence,eeg,ridge,20,20,1,"{""regressor__alpha"": 100}",1.4654603222432234
individual,P19,P19,valence,eeg,ridge,20,20,2,"{""regressor__alpha"": 100}",1.7041357087677609
individual,P19,P19,valence,eeg,ridge,20,20,3,"{""regressor__alpha"": 100}",1.7697202576759594
individual,P19,P19,valence,eeg,ridge,20,20,4,"{""regressor__alpha"": 100}",1.6529279467719835
individual,P19,P19,valence,eeg,ridge,20,20,5,"{""regressor__alpha"": 100}",1.934050583571017
individual,P19,P19,valence,face,knn,all,all,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.5876033057905143
individual,P19,P19,valence,face,knn,all,all,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.6886539438170125
individual,P19,P19,valence,face,knn,all,all,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.8115918785762863
individual,P19,P19,valence,face,knn,all,all,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.7522348836287938
individual,P19,P19,valence,face,knn,all,all,5,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.7452592740099264
individual,P19,P19,valence,face,knn,5,5,1,"{""regressor__n_neighbors"": 7, ""regressor__weights"": ""uniform""}",1.5756408904093184
individual,P19,P19,valence,face,knn,5,5,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.635548317781348
individual,P19,P19,valence,face,knn,5,5,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.7075230821974976
individual,P19,P19,valence,face,knn,5,5,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.7144547378677482
individual,P19,P19,valence,face,knn,5,5,5,"{""regressor__n_neighbors"": 7, ""regressor__weights"": ""uniform""}",1.7016614871742737
individual,P19,P19,valence,face,knn,10,10,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.5876033057905143
individual,P19,P19,valence,face,knn,10,10,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.6886539438170125
individual,P19,P19,valence,face,knn,10,10,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.8115918785762863
individual,P19,P19,valence,face,knn,10,10,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.7522348836287938
individual,P19,P19,valence,face,knn,10,10,5,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.7452592740099264
individual,P19,P19,valence,face,knn,20,10,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.5876033057905143
individual,P19,P19,valence,face,knn,20,10,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.6886539438170125
individual,P19,P19,valence,face,knn,20,10,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.8115918785762863
individual,P19,P19,valence,face,knn,20,10,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.7522348836287938
individual,P19,P19,valence,face,knn,20,10,5,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.7452592740099264
individual,P19,P19,valence,face,svr,all,all,1,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.01, ""regressor__kernel"": ""rbf""}",1.4830737328562775
individual,P19,P19,valence,face,svr,all,all,2,"{""regressor__C"": 1, ""regressor__epsilon"": 0.25, ""regressor__gamma"": 0.01, ""regressor__kernel"": ""rbf""}",1.574123322613362
individual,P19,P19,valence,face,svr,all,all,3,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.01, ""regressor__kernel"": ""rbf""}",1.663905595469657
individual,P19,P19,valence,face,svr,all,all,4,"{""regressor__C"": 0.1, ""regressor__epsilon"": 0.1, ""regressor__gamma"": 0.01, ""regressor__kernel"": ""rbf""}",1.589683569697323
