mode,target,modality,regressor,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__C3,0,5,0.0,2.4829501857755885
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__C4,0,5,0.0,3.960641343561022
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__Cz,0,5,0.0,1.0875918937070117
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__Fz,0,5,0.0,0.5740563052624597
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__Oz,0,5,0.0,1.7121215980554276
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__PO7,0,5,0.0,2.645980765829436
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__PO8,0,5,0.0,1.5993019722791744
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__Pz,0,5,0.0,0.42465528196631314
individual,arousal,eeg,knn,10,10,eeg_bp_beta__C3,1,5,0.2,7.187431543760414
individual,arousal,eeg,knn,10,10,eeg_bp_beta__C4,1,5,0.2,7.210469557946024
individual,arousal,eeg,knn,10,10,eeg_bp_beta__Cz,0,5,0.0,4.914425720681733
individual,arousal,eeg,knn,10,10,eeg_bp_beta__Fz,2,5,0.4,7.659842926556057
individual,arousal,eeg,knn,10,10,eeg_bp_beta__Oz,0,5,0.0,2.64875405138658
individual,arousal,eeg,knn,10,10,eeg_bp_beta__PO7,1,5,0.2,7.221499906934841
individual,arousal,eeg,knn,10,10,eeg_bp_beta__PO8,3,5,0.6,8.668815853756687
individual,arousal,eeg,knn,10,10,eeg_bp_beta__Pz,3,5,0.6,8.413465138488624
individual,arousal,eeg,knn,10,10,eeg_bp_delta__C3,0,5,0.0,4.244094746720916
individual,arousal,eeg,knn,10,10,eeg_bp_delta__C4,0,5,0.0,0.2001785561207554
individual,arousal,eeg,knn,10,10,eeg_bp_delta__Cz,0,5,0.0,5.746658401797722
individual,arousal,eeg,knn,10,10,eeg_bp_delta__Fz,0,5,0.0,3.562473686738362
individual,arousal,eeg,knn,10,10,eeg_bp_delta__Oz,0,5,0.0,4.486746012907425
individual,arousal,eeg,knn,10,10,eeg_bp_delta__PO7,0,5,0.0,0.9173160594537648
individual,arousal,eeg,knn,10,10,eeg_bp_delta__PO8,1,5,0.2,6.212715626464867
individual,arousal,eeg,knn,10,10,eeg_bp_delta__Pz,0,5,0.0,0.7126777723703274
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__C3,0,5,0.0,1.1088889307517589
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__C4,0,5,0.0,1.0759883989911851
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__Cz,0,5,0.0,1.156701245139762
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__Fz,0,5,0.0,0.4187634853307179
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__Oz,0,5,0.0,1.539308089263324
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__PO7,0,5,0.0,2.951802038837192
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__PO8,0,5,0.0,0.35677840107624725
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__Pz,0,5,0.0,0.8424600073348749
individual,arousal,eeg,knn,10,10,eeg_bp_theta__C3,0,5,0.0,1.570698743993581
individual,arousal,eeg,knn,10,10,eeg_bp_theta__C4,0,5,0.0,2.385343709182883
individual,arousal,eeg,knn,10,10,eeg_bp_theta__Cz,0,5,0.0,0.07601944701975719
individual,arousal,eeg,knn,10,10,eeg_bp_theta__Fz,0,5,0.0,1.2253787530934088
individual,arousal,eeg,knn,10,10,eeg_bp_theta__Oz,0,5,0.0,0.20224851863318777
individual,arousal,eeg,knn,10,10,eeg_bp_theta__PO7,0,5,0.0,1.3315417097379865
individual,arousal,eeg,knn,10,10,eeg_bp_theta__PO8,0,5,0.0,0.7331575425851209
individual,arousal,eeg,knn,10,10,eeg_bp_theta__Pz,0,5,0.0,0.11860828290458683
