mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
individual,P19,P19,valence,eeg,knn,all,all,1,P19,120,96,24,2.077029028871975,1.7272727272727273,-0.0637382542737461,-0.0239867542171403
individual,P19,P19,valence,eeg,knn,all,all,2,P19,120,96,24,1.6303683231832873,1.2268754368367816,-0.1006945367950702,-0.0716617941045842
individual,P19,P19,valence,eeg,knn,all,all,3,P19,120,96,24,1.535170775938223,1.1818181818181817,-0.1783746556473828,-0.1781163911845731
individual,P19,P19,valence,eeg,knn,all,all,4,P19,120,96,24,1.6759726422351473,1.3371212121212122,-0.0451662502402459,-0.0151354987507208
individual,P19,P19,valence,eeg,knn,all,all,5,P19,120,96,24,1.3536248651240468,1.125,-0.1585125781313787,0.0167647939327411
individual,P19,P19,valence,eeg,knn,5,5,1,P19,120,96,24,2.195035721390843,1.840909090909091,-0.1880448318804481,-0.1871391373259368
individual,P19,P19,valence,eeg,knn,5,5,2,P19,120,96,24,1.6489415588379142,1.3333333333333333,-0.12591571555038,-0.040359810113421
individual,P19,P19,valence,eeg,knn,5,5,3,P19,120,96,24,1.6344685996695638,1.2803030303030305,-0.3357438016528924,-0.3292871900826446
individual,P19,P19,valence,eeg,knn,5,5,4,P19,120,96,24,2.1135110341785244,1.8029527591004064,-0.662113075942093,-0.6128473385037199
individual,P19,P19,valence,eeg,knn,5,5,5,P19,120,96,24,1.8083027569306205,1.4693225702810269,-1.0675041753857086,-0.9717953376004442
individual,P19,P19,valence,eeg,knn,10,10,1,P19,120,96,24,2.074511704606691,1.7307269314315228,-0.061161351039765,-0.0611484319444959
individual,P19,P19,valence,eeg,knn,10,10,2,P19,120,96,24,1.6911086555418269,1.3522727272727273,-0.1842363244232403,-0.1236282833564055
individual,P19,P19,valence,eeg,knn,10,10,3,P19,120,96,24,1.5099532038066446,1.1553030303030305,-0.1399793388429751,-0.1368155991735538
individual,P19,P19,valence,eeg,knn,10,10,4,P19,120,96,24,1.7717941641557504,1.476328141111286,-0.1680947200507438,-0.0893707656743563
individual,P19,P19,valence,eeg,knn,10,10,5,P19,120,96,24,1.2919163218018956,1.0652647494757577,-0.0552925606388237,0.0195187191152342
individual,P19,P19,valence,eeg,knn,20,20,1,P19,120,96,24,2.1684803247370468,1.7585405507250662,-0.1594729388752107,-0.1445362033735915
individual,P19,P19,valence,eeg,knn,20,20,2,P19,120,96,24,1.5992207124260058,1.284090909090909,-0.0590395161338237,0.0658780471864584
individual,P19,P19,valence,eeg,knn,20,20,3,P19,120,96,24,1.431980138829316,1.156202130009147,-0.0252835590008133,-0.0252834266178607
individual,P19,P19,valence,eeg,knn,20,20,4,P19,120,96,24,1.7551576887552565,1.4393939393939394,-0.1462617720545838,-0.0885173083904584
individual,P19,P19,valence,eeg,knn,20,20,5,P19,120,96,24,1.2800520427268305,1.0481228034593064,-0.0359990578302298,0.1427812359743296
individual,P19,P19,valence,eeg,svr,all,all,1,P19,120,96,24,2.063517515057253,1.6939472162188187,-0.0499435839597957,-0.0099418093037721
individual,P19,P19,valence,eeg,svr,all,all,2,P19,120,96,24,1.5646456202620846,1.1482026293068854,-0.013741745647064,0.0045858588068468
individual,P19,P19,valence,eeg,svr,all,all,3,P19,120,96,24,1.4162775473914375,1.0216698402947346,-0.0029210456225532,-0.0027037257519826
individual,P19,P19,valence,eeg,svr,all,all,4,P19,120,96,24,1.6803140649372663,1.3729125445464223,-0.0505880397492093,4.814709528511152e-06
individual,P19,P19,valence,eeg,svr,all,all,5,P19,120,96,24,1.298102299251033,0.9961119674577016,-0.0654226977923067,-2.1679968256194115e-06
individual,P19,P19,valence,eeg,svr,5,5,1,P19,120,96,24,2.1740245257981057,1.7985602739954845,-0.1654094177793179,-0.1626508575190413
individual,P19,P19,valence,eeg,svr,5,5,2,P19,120,96,24,1.559555803594936,1.172681789707828,-0.0071570376760232,0.0034305860737486
individual,P19,P19,valence,eeg,svr,5,5,3,P19,120,96,24,1.4170506922393111,1.0233646704043922,-0.0040163321879556,-0.0040153249973418
individual,P19,P19,valence,eeg,svr,5,5,4,P19,120,96,24,1.6584290717441323,1.3356928475434504,-0.0233998087464575,-0.0033191658944331
individual,P19,P19,valence,eeg,svr,5,5,5,P19,120,96,24,1.251450029341754,0.9560326738990742,0.009781280635413,0.0532918593944836
individual,P19,P19,valence,eeg,svr,10,10,1,P19,120,96,24,2.128789185440066,1.7620917893131391,-0.1174161798471018,-0.100708453465802
individual,P19,P19,valence,eeg,svr,10,10,2,P19,120,96,24,1.5582225615087624,1.157086385119376,-0.0054357652683529,0.0118426384543329
individual,P19,P19,valence,eeg,svr,10,10,3,P19,120,96,24,1.4230801817730905,1.0267984582781455,-0.0125786018776656,-0.0124149554810262
individual,P19,P19,valence,eeg,svr,10,10,4,P19,120,96,24,1.6514541416416664,1.3316020264932469,-0.014809593282014,0.006927812605723
individual,P19,P19,valence,eeg,svr,10,10,5,P19,120,96,24,1.240547413421884,0.9503021885726636,0.0269596687926555,0.0669346571518235
individual,P19,P19,valence,eeg,svr,20,20,1,P19,120,96,24,2.1333152574348424,1.7508208322120906,-0.1221727640668106,-0.1163269558311528
individual,P19,P19,valence,eeg,svr,20,20,2,P19,120,96,24,1.5581458664012064,1.162585017612862,-0.0053367933905852,0.0088133665945903
individual,P19,P19,valence,eeg,svr,20,20,3,P19,120,96,24,1.4114390271404411,1.027008299019906,0.0039199363324223,0.0039259187577803
individual,P19,P19,valence,eeg,svr,20,20,4,P19,120,96,24,1.6422366322561928,1.322908605286572,-0.0035129883996882,0.0188008065575174
individual,P19,P19,valence,eeg,svr,20,20,5,P19,120,96,24,1.2709521896516291,0.9750346426398908,-0.021321639722323,0.0236395514180395
individual,P19,P19,valence,eeg,ridge,all,all,1,P19,120,96,24,2.251404247646781,1.8529469923578443,-0.2498462952574711,-0.2403091029219015
individual,P19,P19,valence,eeg,ridge,all,all,2,P19,120,96,24,1.762990552978149,1.4369824075964324,-0.2870497177402986,-0.2071519049970052
individual,P19,P19,valence,eeg,ridge,all,all,3,P19,120,96,24,1.9198665080014108,1.5182928147564163,-0.8429437042727657,-0.8280389579114313
individual,P19,P19,valence,eeg,ridge,all,all,4,P19,120,96,24,1.7589244112044151,1.5356393884571489,-0.1511870081230877,-0.1168563374267441
individual,P19,P19,valence,eeg,ridge,all,all,5,P19,120,96,24,1.23084127251009,1.0754477391559545,0.0421263917082189,0.2086474462896304
individual,P19,P19,valence,eeg,ridge,5,5,1,P19,120,96,24,2.147853244783816,1.781820199283091,-0.1375195082234328,-0.1252076877093582
individual,P19,P19,valence,eeg,ridge,5,5,2,P19,120,96,24,1.692862138538791,1.3183628169089714,-0.1866934283080676,-0.1114936144613818
individual,P19,P19,valence,eeg,ridge,5,5,3,P19,120,96,24,1.4973400941775843,1.150282648662993,-0.1210136788158684,-0.1209024014036488
individual,P19,P19,valence,eeg,ridge,5,5,4,P19,120,96,24,1.7577939463702146,1.4248791617565928,-0.1497077424728456,-0.1222117572489738
individual,P19,P19,valence,eeg,ridge,5,5,5,P19,120,96,24,1.188029645210796,0.9370037511453112,0.1076018482653994,0.1658636539301222
individual,P19,P19,valence,eeg,ridge,10,10,1,P19,120,96,24,2.1288920305357943,1.7576125932717936,-0.1175241506605304,-0.1066387558035599
individual,P19,P19,valence,eeg,ridge,10,10,2,P19,120,96,24,1.6729003848802428,1.3081210071485534,-0.1588721221379581,-0.0766610549405126
individual,P19,P19,valence,eeg,ridge,10,10,3,P19,120,96,24,1.553892312163257,1.2011176551059244,-0.2072906589000365,-0.2064743941948281
individual,P19,P19,valence,eeg,ridge,10,10,4,P19,120,96,24,1.7327005081907212,1.4145719241524517,-0.1171166701709334,-0.0863054163298335
individual,P19,P19,valence,eeg,ridge,10,10,5,P19,120,96,24,1.1698739323805054,0.9264969617640912,0.1346690557912906,0.1947701254777419
individual,P19,P19,valence,eeg,ridge,20,20,1,P19,120,96,24,2.2614735979549656,1.8160663110475936,-0.2610511098144217,-0.2423165101059206
individual,P19,P19,valence,eeg,ridge,20,20,2,P19,120,96,24,1.6813316057875294,1.319445137311418,-0.1705827159778301,-0.0902216713718879
individual,P19,P19,valence,eeg,ridge,20,20,3,P19,120,96,24,1.5728912123801218,1.253050785133256,-0.2369933829913046,-0.2362016222584522
individual,P19,P19,valence,eeg,ridge,20,20,4,P19,120,96,24,1.6915207784882975,1.362174657755836,-0.06464838848657,-0.0360769980139958
individual,P19,P19,valence,eeg,ridge,20,20,5,P19,120,96,24,1.2344067638585987,0.9880345335933672,0.0365688322853143,0.1262319397679354
individual,P19,P19,valence,face,knn,all,all,1,P19,120,96,24,1.9642042360734704,1.644936032459798,0.0486880950936799,0.0968134733143336
individual,P19,P19,valence,face,knn,all,all,2,P19,120,96,24,1.7940550025474973,1.3969694296179749,-0.3328057590563935,-0.3286351718997335
individual,P19,P19,valence,face,knn,all,all,3,P19,120,96,24,1.4882459585222636,1.053030303030303,-0.1074380165289257,-0.0947830578512396
individual,P19,P19,valence,face,knn,all,all,4,P19,120,96,24,1.6114475124556336,1.2992424242424243,0.0337625728746235,0.0427370961197598
individual,P19,P19,valence,face,knn,all,all,5,P19,120,96,24,1.4931899027641469,1.1744642182716285,-0.4097243308154537,-0.1787844401859359
individual,P19,P19,valence,face,knn,5,5,1,P19,120,96,24,1.9513644275869384,1.6190476190476188,0.061084707855745,0.0847078557450377
individual,P19,P19,valence,face,knn,5,5,2,P19,120,96,24,1.7986120028663,1.4396735172679218,-0.3395851609118048,-0.3051464456269974
individual,P19,P19,valence,face,knn,5,5,3,P19,120,96,24,1.4707899715784942,1.0833333333333333,-0.081611570247934,-0.0774793388429753
individual,P19,P19,valence,face,knn,5,5,4,P19,120,96,24,1.6499853910364202,1.2803030303030305,-0.0130053174450637,-0.0068336643389494
individual,P19,P19,valence,face,knn,5,5,5,P19,120,96,24,1.4042573750955356,1.0773809523809523,-0.246802123703488,-0.0693563923923026
individual,P19,P19,valence,face,knn,10,10,1,P19,120,96,24,1.9642042360734704,1.644936032459798,0.0486880950936799,0.0968134733143336
individual,P19,P19,valence,face,knn,10,10,2,P19,120,96,24,1.7940550025474973,1.3969694296179749,-0.3328057590563935,-0.3286351718997335
individual,P19,P19,valence,face,knn,10,10,3,P19,120,96,24,1.4882459585222636,1.053030303030303,-0.1074380165289257,-0.0947830578512396
individual,P19,P19,valence,face,knn,10,10,4,P19,120,96,24,1.6114475124556336,1.2992424242424243,0.0337625728746235,0.0427370961197598
individual,P19,P19,valence,face,knn,10,10,5,P19,120,96,24,1.4931899027641469,1.1744642182716285,-0.4097243308154537,-0.1787844401859359
individual,P19,P19,valence,face,knn,20,10,1,P19,120,96,24,1.9642042360734704,1.644936032459798,0.0486880950936799,0.0968134733143336
individual,P19,P19,valence,face,knn,20,10,2,P19,120,96,24,1.7940550025474973,1.3969694296179749,-0.3328057590563935,-0.3286351718997335
individual,P19,P19,valence,face,knn,20,10,3,P19,120,96,24,1.4882459585222636,1.053030303030303,-0.1074380165289257,-0.0947830578512396
individual,P19,P19,valence,face,knn,20,10,4,P19,120,96,24,1.6114475124556336,1.2992424242424243,0.0337625728746235,0.0427370961197598
individual,P19,P19,valence,face,knn,20,10,5,P19,120,96,24,1.4931899027641469,1.1744642182716285,-0.4097243308154537,-0.1787844401859359
individual,P19,P19,valence,face,svr,all,all,1,P19,120,96,24,2.0333679538891203,1.6756323551814305,-0.0194867704966863,0.015273274315354
individual,P19,P19,valence,face,svr,all,all,2,P19,120,96,24,1.6312304862986846,1.2598833013732105,-0.1018589720142486,-0.0745976608184026
individual,P19,P19,valence,face,svr,all,all,3,P19,120,96,24,1.402399137009804,1.007870952194206,0.0166383302570783,0.0167493773229784
individual,P19,P19,valence,face,svr,all,all,4,P19,120,96,24,1.6544573399547753,1.332471627540038,-0.0185038473414811,0.0061515663102095
individual,P19,P19,valence,face,svr,all,all,5,P19,120,96,24,1.432751816814139,1.1764798721276923,-0.2979143739895813,-0.1876605410985421
individual,P19,P19,valence,face,svr,5,5,1,P19,120,96,24,2.031585719898497,1.6740292576679758,-0.0177004064564239,0.017306663424509
individual,P19,P19,valence,face,svr,5,5,2,P19,120,96,24,1.675906188871475,1.2915637847714911,-0.1630402983789229,-0.1483520769325585
individual,P19,P19,valence,face,svr,5,5,3,P19,120,96,24,1.3987392720269722,1.0073401974643472,0.0217642244447279,0.0218049958058009
individual,P19,P19,valence,face,svr,5,5,4,P19,120,96,24,1.6513266919036622,1.3334130015809322,-0.0146529649836253,0.0104098944995676
individual,P19,P19,valence,face,svr,5,5,5,P19,120,96,24,1.2278899240235308,0.9642188225912122,0.0467145210333004,0.1060845440805297
individual,P19,P19,valence,face,svr,10,10,1,P19,120,96,24,2.0333679538891203,1.6756323551814305,-0.0194867704966863,0.015273274315354
individual,P19,P19,valence,face,svr,10,10,2,P19,120,96,24,1.6312304862986846,1.2598833013732105,-0.1018589720142486,-0.0745976608184026
individual,P19,P19,valence,face,svr,10,10,3,P19,120,96,24,1.402399137009804,1.007870952194206,0.0166383302570783,0.0167493773229784
individual,P19,P19,valence,face,svr,10,10,4,P19,120,96,24,1.6544573399547753,1.332471627540038,-0.0185038473414811,0.0061515663102095
individual,P19,P19,valence,face,svr,10,10,5,P19,120,96,24,1.432751816814139,1.1764798721276923,-0.2979143739895813,-0.1876605410985421
individual,P19,P19,valence,face,svr,20,10,1,P19,120,96,24,2.0333679538891203,1.6756323551814305,-0.0194867704966863,0.015273274315354
individual,P19,P19,valence,face,svr,20,10,2,P19,120,96,24,1.6312304862986846,1.2598833013732105,-0.1018589720142486,-0.0745976608184026
individual,P19,P19,valence,face,svr,20,10,3,P19,120,96,24,1.402399137009804,1.007870952194206,0.0166383302570783,0.0167493773229784
individual,P19,P19,valence,face,svr,20,10,4,P19,120,96,24,1.6544573399547753,1.332471627540038,-0.0185038473414811,0.0061515663102095
individual,P19,P19,valence,face,svr,20,10,5,P19,120,96,24,1.432751816814139,1.1764798721276923,-0.2979143739895813,-0.1876605410985421
individual,P19,P19,valence,face,ridge,all,all,1,P19,120,96,24,1.9643325546582624,1.6495380953203649,0.0485637954078824,0.072647802393938
individual,P19,P19,valence,face,ridge,all,all,2,P19,120,96,24,1.6416220882668104,1.2746573705138629,-0.115942267774866,-0.0805127117853274
individual,P19,P19,valence,face,ridge,all,all,3,P19,120,96,24,1.3835536096420908,1.042019422635832,0.0428897046231705,0.0430668414735547
individual,P19,P19,valence,face,ridge,all,all,4,P19,120,96,24,1.64213655883915,1.35515720529847,-0.0033906894422641,0.036295012756069
individual,P19,P19,valence,face,ridge,all,all,5,P19,120,96,24,1.276824340566964,1.0086010358350828,-0.0307810191861854,0.0575119814892972
individual,P19,P19,valence,face,ridge,5,5,1,P19,120,96,24,1.947115859344792,1.6283581618138685,0.0651687252764914,0.0893429775910901
individual,P19,P19,valence,face,ridge,5,5,2,P19,120,96,24,1.6303903010154612,1.262338774581654,-0.1007242123506,-0.0624505829870045
individual,P19,P19,valence,face,ridge,5,5,3,P19,120,96,24,1.370527004795349,1.028295598281853,0.0608278645633445,0.0608494056120835
individual,P19,P19,valence,face,ridge,5,5,4,P19,120,96,24,1.634520228428694,1.3413550656585562,0.0058953015283387,0.0464290207935327
individual,P19,P19,valence,face,ridge,5,5,5,P19,120,96,24,1.250347426634901,0.981862182381137,0.0115253963990216,0.0996287780091387
individual,P19,P19,valence,face,ridge,10,10,1,P19,120,96,24,1.9643325546582624,1.6495380953203649,0.0485637954078824,0.072647802393938
individual,P19,P19,valence,face,ridge,10,10,2,P19,120,96,24,1.6416220882668104,1.2746573705138629,-0.115942267774866,-0.0805127117853274
individual,P19,P19,valence,face,ridge,10,10,3,P19,120,96,24,1.3835536096420908,1.042019422635832,0.0428897046231705,0.0430668414735547
individual,P19,P19,valence,face,ridge,10,10,4,P19,120,96,24,1.64213655883915,1.35515720529847,-0.0033906894422641,0.036295012756069
individual,P19,P19,valence,face,ridge,10,10,5,P19,120,96,24,1.276824340566964,1.0086010358350828,-0.0307810191861854,0.0575119814892972
individual,P19,P19,valence,face,ridge,20,10,1,P19,120,96,24,1.9643325546582624,1.6495380953203649,0.0485637954078824,0.072647802393938
individual,P19,P19,valence,face,ridge,20,10,2,P19,120,96,24,1.6416220882668104,1.2746573705138629,-0.115942267774866,-0.0805127117853274
individual,P19,P19,valence,face,ridge,20,10,3,P19,120,96,24,1.3835536096420908,1.042019422635832,0.0428897046231705,0.0430668414735547
individual,P19,P19,valence,face,ridge,20,10,4,P19,120,96,24,1.64213655883915,1.35515720529847,-0.0033906894422641,0.036295012756069
individual,P19,P19,valence,face,ridge,20,10,5,P19,120,96,24,1.276824340566964,1.0086010358350828,-0.0307810191861854,0.0575119814892972
individual,P19,P19,valence,multimodal,knn,all,all,1,P19,120,96,24,2.0631390403277523,1.6856060606060608,-0.0495584739046759,0.0005412940110948
individual,P19,P19,valence,multimodal,knn,all,all,2,P19,120,96,24,1.6544835970900231,1.230975624977076,-0.1334967652559355,-0.0818457600757098
individual,P19,P19,valence,multimodal,knn,all,all,3,P19,120,96,24,1.4922896416767246,1.1401515151515151,-0.1134641873278234,-0.1074308425160699
individual,P19,P19,valence,multimodal,knn,all,all,4,P19,120,96,24,1.6714463145339566,1.3446969696969695,-0.0395284771606125,-0.0183387789096032
individual,P19,P19,valence,multimodal,knn,all,all,5,P19,120,96,24,1.4506339452029953,1.1704545454545454,-0.3305150093893734,-0.089484809173463
individual,P19,P19,valence,multimodal,knn,5,5,1,P19,120,96,24,2.195035721390843,1.840909090909091,-0.1880448318804481,-0.1871391373259368
individual,P19,P19,valence,multimodal,knn,5,5,2,P19,120,96,24,1.7436463954624408,1.4383632229960843,-0.2589607371586466,-0.2383087043696279
individual,P19,P19,valence,multimodal,knn,5,5,3,P19,120,96,24,1.5181409901967942,1.140151515151515,-0.1523760330578512,-0.1520245064279155
individual,P19,P19,valence,multimodal,knn,5,5,4,P19,120,96,24,1.885496332198178,1.6060606060606062,-0.3228265744121981,-0.2903453136011278
individual,P19,P19,valence,multimodal,knn,5,5,5,P19,120,96,24,1.27170529421496,1.0570926737875042,-0.0225323695637655,0.1215553405701141
individual,P19,P19,valence,multimodal,knn,10,10,1,P19,120,96,24,2.074511704606691,1.7307269314315228,-0.061161351039765,-0.0611484319444959
individual,P19,P19,valence,multimodal,knn,10,10,2,P19,120,96,24,1.776511113260255,1.3522727272727273,-0.3068664555495481,-0.2532454800933985
individual,P19,P19,valence,multimodal,knn,10,10,3,P19,120,96,24,1.5657095136045307,1.140151515151515,-0.2257231404958679,-0.2231333218549129
individual,P19,P19,valence,multimodal,knn,10,10,4,P19,120,96,24,1.7890245170402157,1.437954268185101,-0.1909241758403634,-0.1505947829923755
individual,P19,P19,valence,multimodal,knn,10,10,5,P19,120,96,24,1.3611225614852775,1.150108573582303,-0.1713820695645709,-0.0042965710184148
individual,P19,P19,valence,multimodal,knn,20,20,1,P19,120,96,24,2.1684803247370468,1.7585405507250662,-0.1594729388752107,-0.1445362033735915
individual,P19,P19,valence,multimodal,knn,20,20,2,P19,120,96,24,1.598682308642634,1.25,-0.0583265502551824,0.0034875914230205
individual,P19,P19,valence,multimodal,knn,20,20,3,P19,120,96,24,1.58195111128372,1.106275616634983,-0.2512846592458986,-0.248256092626796
individual,P19,P19,valence,multimodal,knn,20,20,4,P19,120,96,24,1.767295485574875,1.4333333333333331,-0.162170542635659,-0.1026356589147285
individual,P19,P19,valence,multimodal,knn,20,20,5,P19,120,96,24,1.2515830196580724,1.0492424242424243,0.0095708103890918,0.268672152116918
individual,P19,P19,valence,multimodal,svr,all,all,1,P19,120,96,24,2.0619442939817896,1.6950044812052871,-0.0483432450234673,-0.0083309598729401
individual,P19,P19,valence,multimodal,svr,all,all,2,P19,120,96,24,1.568398830398284,1.1484980321382745,-0.0186110261165708,0.0011214140921605
individual,P19,P19,valence,multimodal,svr,all,all,3,P19,120,96,24,1.4146052807081126,1.0158576095546985,-0.0005540501036391,-0.0002128576314481
individual,P19,P19,valence,multimodal,svr,all,all,4,P19,120,96,24,1.6803189178812774,1.3729078686424785,-0.0505941082008214,-2.467351561064035e-06
individual,P19,P19,valence,multimodal,svr,all,all,5,P19,120,96,24,1.298101844545007,0.996111817149969,-0.0654219513888281,-1.412632777642031e-06
individual,P19,P19,valence,multimodal,svr,5,5,1,P19,120,96,24,2.1740245257981057,1.7985602739954845,-0.1654094177793179,-0.1626508575190413
individual,P19,P19,valence,multimodal,svr,5,5,2,P19,120,96,24,1.6889604649265857,1.3354851443552276,-0.1812295991380128,-0.1591255031790697
individual,P19,P19,valence,multimodal,svr,5,5,3,P19,120,96,24,1.4136780912187543,1.014036037225823,0.0007571272040497,0.0008497641604142
individual,P19,P19,valence,multimodal,svr,5,5,4,P19,120,96,24,1.6625427884871449,1.340075462888646,-0.0284831715537157,-0.0069869661717936
individual,P19,P19,valence,multimodal,svr,5,5,5,P19,120,96,24,1.2430636863653852,0.953306129285203,0.0230083192804243,0.0626166793817007
individual,P19,P19,valence,multimodal,svr,10,10,1,P19,120,96,24,2.128789185440066,1.7620917893131391,-0.1174161798471018,-0.100708453465802
