mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_rmse
general,COHORT,P10,valence,eeg,knn,all,all,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.836244925293676
general,COHORT,P11,valence,eeg,knn,all,all,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.8002802031248866
general,COHORT,P19,valence,eeg,knn,all,all,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.878486097182226
general,COHORT,P22,valence,eeg,knn,all,all,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.7986571392530142
general,COHORT,P25,valence,eeg,knn,all,all,5,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.8306731058842374
general,COHORT,P32,valence,eeg,knn,all,all,6,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.8999852498169971
general,COHORT,P40,valence,eeg,knn,all,all,7,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.8231078139267651
general,COHORT,P42,valence,eeg,knn,all,all,8,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9042275681756156
general,COHORT,P43,valence,eeg,knn,all,all,9,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""distance""}",1.9324278289953303
general,COHORT,P45,valence,eeg,knn,all,all,10,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9197218827436124
general,COHORT,P10,valence,eeg,knn,5,5,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.8359026453287157
general,COHORT,P11,valence,eeg,knn,5,5,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.8495572509622697
general,COHORT,P19,valence,eeg,knn,5,5,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.888274837142204
general,COHORT,P22,valence,eeg,knn,5,5,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.8112065813804386
general,COHORT,P25,valence,eeg,knn,5,5,5,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.8933387686798415
general,COHORT,P32,valence,eeg,knn,5,5,6,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9223582865574027
general,COHORT,P40,valence,eeg,knn,5,5,7,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.8211902221551295
general,COHORT,P42,valence,eeg,knn,5,5,8,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.8915222990337128
general,COHORT,P43,valence,eeg,knn,5,5,9,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.8904680599553694
general,COHORT,P45,valence,eeg,knn,5,5,10,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.891999271540588
