mode,target,modality,regressor,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
general,arousal,eeg,knn,10,10,eeg_bp_alpha__C3,0,10,0.0,1.2376413404176245
general,arousal,eeg,knn,10,10,eeg_bp_alpha__C4,1,10,0.1,4.681343357168388
general,arousal,eeg,knn,10,10,eeg_bp_alpha__Cz,0,10,0.0,0.6056583998691439
general,arousal,eeg,knn,10,10,eeg_bp_alpha__Fz,0,10,0.0,0.8629423452442351
general,arousal,eeg,knn,10,10,eeg_bp_alpha__Oz,5,10,0.5,9.094248198617837
general,arousal,eeg,knn,10,10,eeg_bp_alpha__PO7,0,10,0.0,1.037793548224727
general,arousal,eeg,knn,10,10,eeg_bp_alpha__PO8,0,10,0.0,4.527776997058824
general,arousal,eeg,knn,10,10,eeg_bp_alpha__Pz,0,10,0.0,1.1471057423882516
general,arousal,eeg,knn,10,10,eeg_bp_beta__C3,0,10,0.0,1.2540912906728814
general,arousal,eeg,knn,10,10,eeg_bp_beta__C4,0,10,0.0,0.8688561282026918
general,arousal,eeg,knn,10,10,eeg_bp_beta__Cz,0,10,0.0,2.9642681017106858
general,arousal,eeg,knn,10,10,eeg_bp_beta__Fz,0,10,0.0,1.0849887045620905
general,arousal,eeg,knn,10,10,eeg_bp_beta__Oz,6,10,0.6,11.305101148785727
general,arousal,eeg,knn,10,10,eeg_bp_beta__PO7,0,10,0.0,0.6412314975797164
general,arousal,eeg,knn,10,10,eeg_bp_beta__PO8,0,10,0.0,2.449763663373786
general,arousal,eeg,knn,10,10,eeg_bp_beta__Pz,0,10,0.0,1.3256409718715403
general,arousal,eeg,knn,10,10,eeg_bp_delta__C3,0,10,0.0,3.1645766574958762
general,arousal,eeg,knn,10,10,eeg_bp_delta__C4,0,10,0.0,5.053660958059572
general,arousal,eeg,knn,10,10,eeg_bp_delta__Cz,0,10,0.0,6.675132675584962
general,arousal,eeg,knn,10,10,eeg_bp_delta__Fz,1,10,0.1,5.443998338513341
general,arousal,eeg,knn,10,10,eeg_bp_delta__Oz,1,10,0.1,7.193229249725269
general,arousal,eeg,knn,10,10,eeg_bp_delta__PO7,0,10,0.0,1.6770251738982729
general,arousal,eeg,knn,10,10,eeg_bp_delta__PO8,0,10,0.0,3.858121068766148
general,arousal,eeg,knn,10,10,eeg_bp_delta__Pz,0,10,0.0,4.436996816993342
general,arousal,eeg,knn,10,10,eeg_bp_gamma__C3,0,10,0.0,2.9654563262934786
general,arousal,eeg,knn,10,10,eeg_bp_gamma__C4,0,10,0.0,5.635961012295133
general,arousal,eeg,knn,10,10,eeg_bp_gamma__Cz,5,10,0.5,10.119324372801433
general,arousal,eeg,knn,10,10,eeg_bp_gamma__Fz,0,10,0.0,1.4318963189926723
general,arousal,eeg,knn,10,10,eeg_bp_gamma__Oz,0,10,0.0,5.878983052811104
general,arousal,eeg,knn,10,10,eeg_bp_gamma__PO7,0,10,0.0,1.7944466620657504
general,arousal,eeg,knn,10,10,eeg_bp_gamma__PO8,1,10,0.1,1.2132484845905318
