mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
general,COHORT,P10,valence,eeg,knn,all,all,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.1003902300423367,1.7265151515151516,-0.2340488996636516,-0.051959886074061545
general,COHORT,P11,valence,eeg,knn,all,all,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.295051638720409,2.0170527133890674,-0.14099183391393244,-0.048678712691744286
general,COHORT,P19,valence,eeg,knn,all,all,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,1.6817655613800477,1.3371695898335707,-0.08793754166024259,-0.08399836057762733
general,COHORT,P22,valence,eeg,knn,all,all,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,2.3080736246379385,2.0537878787878787,-0.09864424176773179,-0.08036344982615073
general,COHORT,P25,valence,eeg,knn,all,all,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,1.9060741926448121,1.6838152138268414,-0.13262131413649092,-0.12563749938678237
general,COHORT,P32,valence,eeg,knn,all,all,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,1.6106669031830665,1.326431432509126,-0.16192869183958036,-0.11226319617371416
general,COHORT,P40,valence,eeg,knn,all,all,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,2.2941767728932003,1.9363885134727616,-0.2090925553581502,-0.09447385031512301
general,COHORT,P42,valence,eeg,knn,all,all,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,1.53065552495921,1.315909090909091,-0.2153842443772982,-0.21171601258649186
general,COHORT,P43,valence,eeg,knn,all,all,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,1.4080428751596776,1.1345464419160214,-0.16096215002831205,-0.14688050419804966
general,COHORT,P45,valence,eeg,knn,all,all,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,1.5220826315250047,1.275,-0.09054923786529367,-0.05050478034510797
general,COHORT,P10,valence,eeg,knn,5,5,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.1028152453134976,1.7083333333333333,-0.2369000983952536,-0.03802754200180147
general,COHORT,P11,valence,eeg,knn,5,5,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.2186288670227783,1.9424242424242426,-0.0662693650949151,-0.05256604135762166
general,COHORT,P19,valence,eeg,knn,5,5,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,1.6993152080495662,1.387121212121212,-0.11076181586822798,-0.10977081326234805
general,COHORT,P22,valence,eeg,knn,5,5,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,2.324071543637352,2.0704545454545458,-0.11392705910871093,-0.027401954193211342
general,COHORT,P25,valence,eeg,knn,5,5,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,1.8295854503439277,1.6106060606060606,-0.04354341862238931,-0.032181325437981245
general,COHORT,P32,valence,eeg,knn,5,5,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,1.6132415223290006,1.2977272727272728,-0.16564630073329112,-0.14893152687820477
