mode,target,modality,regressor,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__C3,5,5,0.1,1.5555789021418351
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__C4,1,5,0.02,1.195798082136685
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__Cz,1,5,0.02,0.7246791390797154
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__Fz,1,5,0.02,0.9444825239624444
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__Oz,1,5,0.02,0.9733867256066876
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__PO7,2,5,0.04,1.0834519232406354
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__PO8,6,5,0.12,1.5326453029300353
individual,arousal,eeg,knn,10,10,eeg_bp_alpha__Pz,3,5,0.06,1.0185815454948957
individual,arousal,eeg,knn,10,10,eeg_bp_beta__C3,5,5,0.1,1.8858299158602971
individual,arousal,eeg,knn,10,10,eeg_bp_beta__C4,4,5,0.08,1.7117387255392607
individual,arousal,eeg,knn,10,10,eeg_bp_beta__Cz,0,5,0.0,1.1215695661376943
individual,arousal,eeg,knn,10,10,eeg_bp_beta__Fz,9,5,0.18,1.9907022363883402
individual,arousal,eeg,knn,10,10,eeg_bp_beta__Oz,2,5,0.04,1.1321225048080115
individual,arousal,eeg,knn,10,10,eeg_bp_beta__PO7,1,5,0.02,1.3080336542922413
individual,arousal,eeg,knn,10,10,eeg_bp_beta__PO8,7,5,0.14,1.9510596633211974
individual,arousal,eeg,knn,10,10,eeg_bp_beta__Pz,5,5,0.1,2.229834477528519
individual,arousal,eeg,knn,10,10,eeg_bp_delta__C3,1,5,0.02,1.1914931455854085
individual,arousal,eeg,knn,10,10,eeg_bp_delta__C4,2,5,0.04,1.0178593594992011
individual,arousal,eeg,knn,10,10,eeg_bp_delta__Cz,4,5,0.08,2.053426838906661
individual,arousal,eeg,knn,10,10,eeg_bp_delta__Fz,9,5,0.18,2.1749611511954665
individual,arousal,eeg,knn,10,10,eeg_bp_delta__Oz,6,5,0.12,2.0858578343135483
individual,arousal,eeg,knn,10,10,eeg_bp_delta__PO7,1,5,0.02,0.812452682759629
individual,arousal,eeg,knn,10,10,eeg_bp_delta__PO8,5,5,0.1,1.5543411094897817
individual,arousal,eeg,knn,10,10,eeg_bp_delta__Pz,3,5,0.06,0.8942260939417637
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__C3,3,5,0.06,1.0539465316867878
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__C4,3,5,0.06,1.271441149982962
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__Cz,6,5,0.12,1.5281670812942394
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__Fz,6,5,0.12,1.3708381611613802
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__Oz,3,5,0.06,1.2766827750140164
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__PO7,5,5,0.1,1.510869308030472
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__PO8,3,5,0.06,0.9973839516998327
individual,arousal,eeg,knn,10,10,eeg_bp_gamma__Pz,4,5,0.08,1.4182260099534678
individual,arousal,eeg,knn,10,10,eeg_bp_theta__C3,1,5,0.02,1.0961596529032689
individual,arousal,eeg,knn,10,10,eeg_bp_theta__C4,1,5,0.02,1.170455399025826
individual,arousal,eeg,knn,10,10,eeg_bp_theta__Cz,4,5,0.08,1.357248684342494
individual,arousal,eeg,knn,10,10,eeg_bp_theta__Fz,0,5,0.0,0.948184259168142
individual,arousal,eeg,knn,10,10,eeg_bp_theta__Oz,4,5,0.08,1.558596423895339
individual,arousal,eeg,knn,10,10,eeg_bp_theta__PO7,1,5,0.02,1.2136732413891365
individual,arousal,eeg,knn,10,10,eeg_bp_theta__PO8,7,5,0.14,1.701135293984339
individual,arousal,eeg,knn,10,10,eeg_bp_theta__Pz,1,5,0.02,0.9313932511805781
individual,arousal,eeg,knn,10,10,eeg_hc__C3,1,5,0.02,1.4862995743756557
individual,arousal,eeg,knn,10,10,eeg_hc__C4,13,5,0.26,2.1185445672652583
individual,arousal,eeg,knn,10,10,eeg_hc__Cz,13,5,0.26,2.4672153925423554
individual,arousal,eeg,knn,10,10,eeg_hc__Fz,7,5,0.14,1.927713745710441
individual,arousal,eeg,knn,10,10,eeg_hc__Oz,4,5,0.08,1.937655634734589
individual,arousal,eeg,knn,10,10,eeg_hc__PO7,2,5,0.04,1.0178424030771887
individual,arousal,eeg,knn,10,10,eeg_hc__PO8,11,5,0.22,2.7547930978697304
individual,arousal,eeg,knn,10,10,eeg_hc__Pz,3,5,0.06,1.2814477512102191
individual,arousal,eeg,knn,10,10,eeg_hm__C3,6,5,0.12,1.4270972994797697
individual,arousal,eeg,knn,10,10,eeg_hm__C4,4,5,0.08,1.4095729271856552
individual,arousal,eeg,knn,10,10,eeg_hm__Cz,10,5,0.2,2.507909450626267
individual,arousal,eeg,knn,10,10,eeg_hm__Fz,4,5,0.08,1.3539482347890028
individual,arousal,eeg,knn,10,10,eeg_hm__Oz,9,5,0.18,2.3360193611766946
individual,arousal,eeg,knn,10,10,eeg_hm__PO7,2,5,0.04,1.1522580307240955
individual,arousal,eeg,knn,10,10,eeg_hm__PO8,18,5,0.36,2.836588905677307
individual,arousal,eeg,knn,10,10,eeg_hm__Pz,1,5,0.02,1.3360853020629957
individual,arousal,eeg,knn,10,10,eeg_mf_hz__C3,5,5,0.1,1.7634475425505127
individual,arousal,eeg,knn,10,10,eeg_mf_hz__C4,8,5,0.16,1.877544413773753
individual,arousal,eeg,knn,10,10,eeg_mf_hz__Cz,7,5,0.14,2.245642950640434
individual,arousal,eeg,knn,10,10,eeg_mf_hz__Fz,5,5,0.1,2.001320144344055
individual,arousal,eeg,knn,10,10,eeg_mf_hz__Oz,8,5,0.16,1.9575770283837322
individual,arousal,eeg,knn,10,10,eeg_mf_hz__PO7,1,5,0.02,1.0035273884819096
individual,arousal,eeg,knn,10,10,eeg_mf_hz__PO8,12,5,0.24,2.581449679440173
individual,arousal,eeg,knn,10,10,eeg_mf_hz__Pz,2,5,0.04,1.2589336784537384
individual,arousal,eeg,knn,10,10,eeg_sd__C3,6,5,0.12,1.4276248310520885
individual,arousal,eeg,knn,10,10,eeg_sd__C4,4,5,0.08,1.6381692192818906
individual,arousal,eeg,knn,10,10,eeg_sd__Cz,4,5,0.08,1.1984713476699598
individual,arousal,eeg,knn,10,10,eeg_sd__Fz,1,5,0.02,0.7435851225612062
individual,arousal,eeg,knn,10,10,eeg_sd__Oz,2,5,0.04,1.757009865551259
individual,arousal,eeg,knn,10,10,eeg_sd__PO7,1,5,0.02,0.8573788280192552
individual,arousal,eeg,knn,10,10,eeg_sd__PO8,0,5,0.0,0.9063505053728294
individual,arousal,eeg,knn,10,10,eeg_sd__Pz,2,5,0.04,0.7207264966906104
individual,arousal,eeg,knn,10,10,eeg_se__C3,7,5,0.14,1.5638122376341004
individual,arousal,eeg,knn,10,10,eeg_se__C4,6,5,0.12,1.2497002992305044
individual,arousal,eeg,knn,10,10,eeg_se__Cz,5,5,0.1,1.863461331108292
individual,arousal,eeg,knn,10,10,eeg_se__Fz,2,5,0.04,1.359504764521032
individual,arousal,eeg,knn,10,10,eeg_se__Oz,7,5,0.14,2.1244743650741893
individual,arousal,eeg,knn,10,10,eeg_se__PO7,1,5,0.02,0.6411601509120467
individual,arousal,eeg,knn,10,10,eeg_se__PO8,15,5,0.3,3.0266362280231447
individual,arousal,eeg,knn,10,10,eeg_se__Pz,4,5,0.08,1.3300680831937521
individual,arousal,eeg,knn,10,10,eeg_se_alpha__C3,6,5,0.12,1.3987948246219484
individual,arousal,eeg,knn,10,10,eeg_se_alpha__C4,4,5,0.08,1.2935278449662801
individual,arousal,eeg,knn,10,10,eeg_se_alpha__Cz,1,5,0.02,0.5562606015867483
individual,arousal,eeg,knn,10,10,eeg_se_alpha__Fz,3,5,0.06,1.3701864723355084
individual,arousal,eeg,knn,10,10,eeg_se_alpha__Oz,2,5,0.04,0.7721563652575089
individual,arousal,eeg,knn,10,10,eeg_se_alpha__PO7,4,5,0.08,1.126588509784571
individual,arousal,eeg,knn,10,10,eeg_se_alpha__PO8,3,5,0.06,1.273007666270641
individual,arousal,eeg,knn,10,10,eeg_se_alpha__Pz,5,5,0.1,1.0105151278015876
individual,arousal,eeg,knn,10,10,eeg_se_beta__C3,0,5,0.0,0.6352510729741706
individual,arousal,eeg,knn,10,10,eeg_se_beta__C4,4,5,0.08,0.9652554961046685
individual,arousal,eeg,knn,10,10,eeg_se_beta__Cz,2,5,0.04,1.1117512407867927
individual,arousal,eeg,knn,10,10,eeg_se_beta__Fz,9,5,0.18,1.7937172971000386
individual,arousal,eeg,knn,10,10,eeg_se_beta__Oz,5,5,0.1,1.1396173703908001
individual,arousal,eeg,knn,10,10,eeg_se_beta__PO7,2,5,0.04,0.6259726556091283
individual,arousal,eeg,knn,10,10,eeg_se_beta__PO8,6,5,0.12,1.2517554405169076
individual,arousal,eeg,knn,10,10,eeg_se_beta__Pz,1,5,0.02,0.5455222478766152
individual,arousal,eeg,knn,10,10,eeg_se_delta__C3,0,5,0.0,0.8571390717433626
individual,arousal,eeg,knn,10,10,eeg_se_delta__C4,3,5,0.06,0.8315694057791068
individual,arousal,eeg,knn,10,10,eeg_se_delta__Cz,9,5,0.18,1.9106753200498496
individual,arousal,eeg,knn,10,10,eeg_se_delta__Fz,1,5,0.02,0.4250311186143524
individual,arousal,eeg,knn,10,10,eeg_se_delta__Oz,3,5,0.06,0.8257178926968837
individual,arousal,eeg,knn,10,10,eeg_se_delta__PO7,4,5,0.08,0.913982399329485
individual,arousal,eeg,knn,10,10,eeg_se_delta__PO8,0,5,0.0,0.6293146642410276
individual,arousal,eeg,knn,10,10,eeg_se_delta__Pz,4,5,0.08,1.2042995069629863
individual,arousal,eeg,knn,10,10,eeg_se_gamma__C3,2,5,0.04,0.8486034774629856
