mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_rmse
general,COHORT,P01,valence,eeg,knn,all,all,1,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9237707886152378
general,COHORT,P02,valence,eeg,knn,all,all,2,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9126447679157477
general,COHORT,P03,valence,eeg,knn,all,all,3,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9056048387589288
general,COHORT,P04,valence,eeg,knn,all,all,4,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9100799751756383
general,COHORT,P05,valence,eeg,knn,all,all,5,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9187480143298135
general,COHORT,P06,valence,eeg,knn,all,all,6,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9130230281721747
general,COHORT,P07,valence,eeg,knn,all,all,7,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.933423092735222
general,COHORT,P08,valence,eeg,knn,all,all,8,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9184797977030854
general,COHORT,P09,valence,eeg,knn,all,all,9,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9040449330446392
general,COHORT,P10,valence,eeg,knn,all,all,10,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.918848193241784
general,COHORT,P11,valence,eeg,knn,all,all,11,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9156254027613215
general,COHORT,P12,valence,eeg,knn,all,all,12,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.92120987907639
general,COHORT,P13,valence,eeg,knn,all,all,13,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9182987213454172
general,COHORT,P14,valence,eeg,knn,all,all,14,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.8930689921814792
general,COHORT,P15,valence,eeg,knn,all,all,15,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9196156331357455
general,COHORT,P16,valence,eeg,knn,all,all,16,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9213233366663587
general,COHORT,P17,valence,eeg,knn,all,all,17,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.925401874164305
general,COHORT,P18,valence,eeg,knn,all,all,18,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9190068041734751
general,COHORT,P19,valence,eeg,knn,all,all,19,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9201939392184166
general,COHORT,P20,valence,eeg,knn,all,all,20,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9263188752211817
general,COHORT,P21,valence,eeg,knn,all,all,21,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.8991247449000983
general,COHORT,P22,valence,eeg,knn,all,all,22,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9109529996202022
general,COHORT,P23,valence,eeg,knn,all,all,23,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9136187218265228
general,COHORT,P24,valence,eeg,knn,all,all,24,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9060193575536144
general,COHORT,P25,valence,eeg,knn,all,all,25,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9200046476051167
general,COHORT,P26,valence,eeg,knn,all,all,26,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9078531639997045
general,COHORT,P27,valence,eeg,knn,all,all,27,"{""regressor__n_neighbors"": 11, ""regressor__weights"": ""uniform""}",1.9304515391981831
