mode,target,modality,regressor,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
general,arousal,eeg,knn,10,10,eeg_bp_alpha__C3,0,46,0.0,4.8395001020299295
general,arousal,eeg,knn,10,10,eeg_bp_alpha__C4,7,46,0.15217391304347827,26.698224364505865
general,arousal,eeg,knn,10,10,eeg_bp_alpha__Cz,0,46,0.0,6.815720948141891
general,arousal,eeg,knn,10,10,eeg_bp_alpha__Fz,0,46,0.0,16.198512212357972
general,arousal,eeg,knn,10,10,eeg_bp_alpha__Oz,0,46,0.0,1.6744014911031753
general,arousal,eeg,knn,10,10,eeg_bp_alpha__PO7,1,46,0.021739130434782608,10.660485315152116
general,arousal,eeg,knn,10,10,eeg_bp_alpha__PO8,0,46,0.0,1.9432811004873627
general,arousal,eeg,knn,10,10,eeg_bp_alpha__Pz,46,46,1.0,80.23313141557152
general,arousal,eeg,knn,10,10,eeg_bp_beta__C3,0,46,0.0,0.9325591920251033
general,arousal,eeg,knn,10,10,eeg_bp_beta__C4,0,46,0.0,3.834847585011328
general,arousal,eeg,knn,10,10,eeg_bp_beta__Cz,0,46,0.0,4.000744360574041
general,arousal,eeg,knn,10,10,eeg_bp_beta__Fz,0,46,0.0,6.502022131278722
general,arousal,eeg,knn,10,10,eeg_bp_beta__Oz,0,46,0.0,1.3247857979072983
general,arousal,eeg,knn,10,10,eeg_bp_beta__PO7,0,46,0.0,11.371981286035105
general,arousal,eeg,knn,10,10,eeg_bp_beta__PO8,0,46,0.0,5.522389594794757
general,arousal,eeg,knn,10,10,eeg_bp_beta__Pz,2,46,0.043478260869565216,23.063695499862433
general,arousal,eeg,knn,10,10,eeg_bp_delta__C3,0,46,0.0,5.3463778104537605
general,arousal,eeg,knn,10,10,eeg_bp_delta__C4,0,46,0.0,3.2682534854947436
general,arousal,eeg,knn,10,10,eeg_bp_delta__Cz,0,46,0.0,4.418615957942825
general,arousal,eeg,knn,10,10,eeg_bp_delta__Fz,0,46,0.0,13.0172872183545
general,arousal,eeg,knn,10,10,eeg_bp_delta__Oz,0,46,0.0,2.796048203471645
general,arousal,eeg,knn,10,10,eeg_bp_delta__PO7,0,46,0.0,3.8845724682121303
general,arousal,eeg,knn,10,10,eeg_bp_delta__PO8,0,46,0.0,6.718534566039267
general,arousal,eeg,knn,10,10,eeg_bp_delta__Pz,0,46,0.0,0.2523954378288423
general,arousal,eeg,knn,10,10,eeg_bp_gamma__C3,0,46,0.0,4.532618810905625
general,arousal,eeg,knn,10,10,eeg_bp_gamma__C4,0,46,0.0,0.12182784161258862
general,arousal,eeg,knn,10,10,eeg_bp_gamma__Cz,0,46,0.0,2.2744349682025944
general,arousal,eeg,knn,10,10,eeg_bp_gamma__Fz,0,46,0.0,0.26431596283796466
general,arousal,eeg,knn,10,10,eeg_bp_gamma__Oz,0,46,0.0,0.20285683110602676
general,arousal,eeg,knn,10,10,eeg_bp_gamma__PO7,0,46,0.0,2.0376039579233236
general,arousal,eeg,knn,10,10,eeg_bp_gamma__PO8,0,46,0.0,4.863225129570936
general,arousal,eeg,knn,10,10,eeg_bp_gamma__Pz,0,46,0.0,0.2746681903358055
general,arousal,eeg,knn,10,10,eeg_bp_theta__C3,0,46,0.0,0.0793186338490144
general,arousal,eeg,knn,10,10,eeg_bp_theta__C4,0,46,0.0,1.7135772766192914
general,arousal,eeg,knn,10,10,eeg_bp_theta__Cz,0,46,0.0,16.17182496003466
general,arousal,eeg,knn,10,10,eeg_bp_theta__Fz,0,46,0.0,15.00283883394828
general,arousal,eeg,knn,10,10,eeg_bp_theta__Oz,0,46,0.0,19.55145328518063
general,arousal,eeg,knn,10,10,eeg_bp_theta__PO7,0,46,0.0,7.9949855727114745
general,arousal,eeg,knn,10,10,eeg_bp_theta__PO8,0,46,0.0,15.072572104252428
general,arousal,eeg,knn,10,10,eeg_bp_theta__Pz,0,46,0.0,1.4352029386273646
general,arousal,eeg,knn,10,10,eeg_hc__C3,46,46,1.0,40.12921554921718
general,arousal,eeg,knn,10,10,eeg_hc__C4,5,46,0.10869565217391304,27.415477863483414
general,arousal,eeg,knn,10,10,eeg_hc__Cz,28,46,0.6086956521739131,29.305188755678095
general,arousal,eeg,knn,10,10,eeg_hc__Fz,21,46,0.45652173913043476,28.500446612307858
general,arousal,eeg,knn,10,10,eeg_hc__Oz,0,46,0.0,23.696226110565917
general,arousal,eeg,knn,10,10,eeg_hc__PO7,46,46,1.0,41.490325213769445
general,arousal,eeg,knn,10,10,eeg_hc__PO8,46,46,1.0,57.78676643932668
general,arousal,eeg,knn,10,10,eeg_hc__Pz,45,46,0.9782608695652174,40.43049230258843
general,arousal,eeg,knn,10,10,eeg_hm__C3,1,46,0.021739130434782608,17.80496457793558
general,arousal,eeg,knn,10,10,eeg_hm__C4,0,46,0.0,0.3021573739841284
general,arousal,eeg,knn,10,10,eeg_hm__Cz,29,46,0.6304347826086957,29.950802223320533
general,arousal,eeg,knn,10,10,eeg_hm__Fz,0,46,0.0,14.215923519143914
general,arousal,eeg,knn,10,10,eeg_hm__Oz,0,46,0.0,5.879758627572386
general,arousal,eeg,knn,10,10,eeg_hm__PO7,1,46,0.021739130434782608,12.023991334594175
general,arousal,eeg,knn,10,10,eeg_hm__PO8,26,46,0.5652173913043478,30.07098091697196
general,arousal,eeg,knn,10,10,eeg_hm__Pz,0,46,0.0,14.383018390506715
general,arousal,eeg,knn,10,10,eeg_mf_hz__C3,45,46,0.9782608695652174,42.67709845779662
general,arousal,eeg,knn,10,10,eeg_mf_hz__C4,0,46,0.0,10.089681392881193
general,arousal,eeg,knn,10,10,eeg_mf_hz__Cz,0,46,0.0,21.794297573476783
general,arousal,eeg,knn,10,10,eeg_mf_hz__Fz,0,46,0.0,9.859756782923396
general,arousal,eeg,knn,10,10,eeg_mf_hz__Oz,0,46,0.0,4.248822173008478
general,arousal,eeg,knn,10,10,eeg_mf_hz__PO7,0,46,0.0,18.27229685769313
general,arousal,eeg,knn,10,10,eeg_mf_hz__PO8,24,46,0.5217391304347826,29.821467373525344
general,arousal,eeg,knn,10,10,eeg_mf_hz__Pz,1,46,0.021739130434782608,25.334450186984085
general,arousal,eeg,knn,10,10,eeg_sd__C3,0,46,0.0,0.6090470352245111
