mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
individual,P01,P01,valence,eeg,knn,all,all,1,P01,114,91,23,1.2284798630766842,1.0434782608695652,-0.04495694690839902,0.01752412271212811
individual,P01,P01,valence,eeg,knn,all,all,2,P01,114,91,23,1.5632589174934322,1.2913915625219379,-0.1030365157098363,-0.10271802313339795
individual,P01,P01,valence,eeg,knn,all,all,3,P01,114,91,23,1.5731216176061997,1.31055900621118,-0.01639941690962088,-0.01562301939409294
individual,P01,P01,valence,eeg,knn,all,all,4,P01,114,91,23,1.7173628765437159,1.422924901185771,-0.22850263551766714,-0.10457473807509587
individual,P01,P01,valence,eeg,knn,all,all,5,P01,114,92,22,1.4979887567665142,1.3051948051948052,-0.47565439219165917,-0.18148291925465854
individual,P02,P02,valence,eeg,knn,all,all,1,P02,85,68,17,1.330838491603252,1.0217731321331527,-0.040359522808505854,0.09885179231018015
individual,P02,P02,valence,eeg,knn,all,all,2,P02,85,68,17,1.6332381904654072,1.3949579831932772,-0.6263670024972017,-0.08628261431154738
individual,P02,P02,valence,eeg,knn,all,all,3,P02,85,68,17,1.9290367724007038,1.6533067277073397,-0.0711373000201414,0.041407648091119964
individual,P02,P02,valence,eeg,knn,all,all,4,P02,85,68,17,1.4303682832389184,1.1611552304578907,0.27716315400232183,0.3007039935016711
individual,P02,P02,valence,eeg,knn,all,all,5,P02,85,68,17,1.5505845707832568,1.2811917824015677,0.1863626279594064,0.18792394437920734
individual,P03,P03,valence,eeg,knn,all,all,1,P03,53,42,11,2.813629694783804,2.6363636363636362,-4.149989027869212,-1.016238753565943
individual,P03,P03,valence,eeg,knn,all,all,2,P03,53,42,11,2.408506088379492,2.1735537190082646,-0.36558188892819254,0.10457600411615264
individual,P03,P03,valence,eeg,knn,all,all,3,P03,53,42,11,2.7228921047557892,2.3030303030303028,-0.6926624737945488,-0.42096436058700193
individual,P03,P03,valence,eeg,knn,all,all,4,P03,53,43,10,2.4567453391262704,2.183666848887925,-0.857106972713432,-0.3699263984299237
individual,P03,P03,valence,eeg,knn,all,all,5,P03,53,43,10,1.9516138873823607,1.7601801939208799,0.1264227602239244,0.20345235906404446
individual,P04,P04,valence,eeg,knn,all,all,1,P04,101,80,21,1.8704605287286016,1.6190476190476186,-0.10839982901111433,-0.09690557613755102
individual,P04,P04,valence,eeg,knn,all,all,2,P04,101,81,20,2.2179768906828823,2.0136363636363632,-0.06711962854735454,-0.06335042397949087
individual,P04,P04,valence,eeg,knn,all,all,3,P04,101,81,20,2.7161971094133737,2.296890384305669,-0.8490543200966325,-0.7038747166898185
individual,P04,P04,valence,eeg,knn,all,all,4,P04,101,81,20,1.8736230379867194,1.6451509960998778,0.05822581127442428,0.09781577412856013
individual,P04,P04,valence,eeg,knn,all,all,5,P04,101,81,20,1.7566873407704457,1.4090909090909092,-0.11809797580548564,-0.04620313810037113
individual,P05,P05,valence,eeg,knn,all,all,1,P05,117,93,24,1.956922444693569,1.609848484848485,-0.1689550513079925,-0.1373118378465974
