participant,task,window_id,window_index,window_start_s,arousal_high_score,closest_neighbor_distance,mean_11_neighbor_distance,max_11_neighbor_distance,high_neighbor_count,low_neighbor_count,distance_weighted_high_fraction,nearest_distance_above_image_reference_p95,nearest_distance_above_image_reference_max,image_neighbor_indices,image_neighbor_labels,image_neighbor_distances
P19,pick_place,pick_place_s1_0.000,1,0.0,0.5488484407939087,14.466272405581162,15.648176211145197,16.124462686504295,6,5,0.5488484407939087,True,True,"[8, 75, 49, 83, 47, 9, 79, 71, 35, 52, 24]","[""HIGH"", ""LOW"", ""HIGH"", ""HIGH"", ""LOW"", ""HIGH"", ""LOW"", ""LOW"", ""HIGH"", ""LOW"", ""HIGH""]","[14.466272405581162, 14.978680769537869, 15.342984021005375, 15.427626701778028, 15.698827520328507, 15.920280766192306, 16.025352668643013, 16.03814756841406, 16.05172356577203, 16.055579648840514, 16.124462686504295]"
P19,pick_place,pick_place_s1_1.000,2,1.0,0.909833408951583,107.98301588765095,110.4447374845758,111.46794609119685,10,1,0.909833408951583,True,True,"[1, 8, 76, 5, 93, 2, 20, 19, 52, 9, 13]","[""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""LOW"", ""HIGH"", ""HIGH""]","[107.98301588765095, 109.16556717437413, 109.54467773873617, 110.12337067068836, 110.6609257694944, 110.80652556308743, 111.07920701785682, 111.31244495066119, 111.3435589131807, 111.40487255340689, 111.46794609119685]"
P19,pick_place,pick_place_s1_2.000,3,2.0,0.9119336516646315,27.0297855852568,28.840749095535287,29.791207967000105,10,1,0.9119336516646315,True,True,"[8, 1, 5, 76, 9, 2, 19, 83, 52, 49, 20]","[""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""LOW"", ""HIGH"", ""HIGH""]","[27.0297855852568, 27.12229757689386, 28.13966946373035, 28.293543826514767, 28.93868386000272, 29.22901926243197, 29.497393032926404, 29.733348036291954, 29.735211089762824, 29.738080350076434, 29.791207967000105]"
P19,pick_place,pick_place_s1_3.000,4,3.0,0.9131499827736623,10.848181372393938,12.931172784338685,13.86102211786159,10,1,0.9131499827736623,True,True,"[8, 5, 1, 9, 76, 2, 49, 19, 52, 83, 13]","[""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""LOW"", ""HIGH"", ""HIGH""]","[10.848181372393938, 12.28751141756218, 12.326134645159078, 12.86391995428384, 12.968639171626867, 13.30826231039874, 13.334848843485588, 13.411300313409114, 13.47705199471303, 13.556028486831568, 13.86102211786159]"
P19,pick_place,pick_place_s1_4.000,5,4.0,0.9124839411449687,10.653883420572352,12.664822645058587,13.54962755552366,10,1,0.9124839411449688,True,True,"[8, 5, 9, 1, 49, 76, 2, 19, 83, 52, 13]","[""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""LOW"", ""HIGH""]","[10.653883420572352, 12.027753121877659, 12.28857622549377, 12.667522456863768, 12.836034832455356, 12.968807579852905, 13.044085578409465, 13.085994997202738, 13.086179476410104, 13.104583850982658, 13.54962755552366]"
P19,pick_place,pick_place_s1_5.000,6,5.0,0.8200507460443051,21.60883284694895,23.29020637085856,23.890286677830705,9,2,0.820050746044305,True,True,"[8, 5, 1, 49, 52, 9, 2, 71, 19, 83, 76]","[""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""LOW"", ""HIGH"", ""HIGH"", ""LOW"", ""HIGH"", ""HIGH"", ""HIGH""]","[21.60883284694895, 22.828879115633185, 23.177232568275237, 23.290476871767854, 23.40687964147799, 23.505565962554584, 23.559332798383284, 23.625818613797517, 23.63788836244763, 23.661076620327236, 23.890286677830705]"
P19,pick_place,pick_place_s1_6.000,7,6.0,0.91190134790867,22.116133227470577,24.100445962305255,25.06482830258287,10,1,0.91190134790867,True,True,"[8, 1, 5, 76, 9, 2, 19, 49, 83, 52, 20]","[""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""LOW"", ""HIGH""]","[22.116133227470577, 22.73468711101877, 23.513668800244616, 23.824915838051414, 24.29253310183159, 24.44590607543306, 24.695323225527236, 24.759676031432754, 24.825052824912508, 24.832181046852423, 25.06482830258287]"
P19,pick_place,pick_place_s1_7.000,8,7.0,0.9133784273481718,17.916125701787607,19.822585275242005,20.767093147116388,10,1,0.9133784273481718,True,True,"[8, 1, 76, 5, 9, 2, 19, 20, 83, 52, 49]","[""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""LOW"", ""HIGH""]","[17.916125701787607, 17.961009997055164, 19.165452598841906, 19.248386518269747, 20.170281401646484, 20.198197860776066, 20.49432231978111, 20.647244920343745, 20.73627964946728, 20.744043912576533, 20.767093147116388]"
P19,pick_place,pick_place_s1_8.000,9,8.0,0.9170468790453501,8.849955783366532,10.801621798938934,11.73252672067942,10,1,0.9170468790453501,True,True,"[8, 1, 76, 5, 9, 2, 19, 20, 49, 83, 52]","[""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""LOW""]","[8.849955783366532, 9.32018269301889, 10.160519233431268, 10.166806284080478, 10.96185575015956, 11.195252665805386, 11.409484956895247, 11.630602878955106, 11.68852051344041, 11.70213230849597, 11.73252672067942]"
P19,pick_place,pick_place_s1_9.000,10,9.0,0.916160304742299,8.164492696364634,10.361215740881937,11.193584626591097,10,1,0.916160304742299,True,True,"[8, 1, 5, 76, 9, 2, 19, 49, 52, 83, 20]","[""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""HIGH"", ""LOW"", ""HIGH"", ""HIGH""]","[8.164492696364634, 9.428515081632689, 9.77702626497517, 10.036954876540973, 10.402321219734176, 10.779717350067248, 10.879618173205271, 11.015213075918147, 11.13894386629779, 11.156985918374094, 11.193584626591097]"
