participant,representation,task,task_label,window_id,window_index,window_start_s,window_end_s,sample_count,sampling_hz,eeg_sd__C3,eeg_sd__C4,eeg_sd__Cz,eeg_sd__Fz,eeg_sd__Oz,eeg_sd__PO7,eeg_sd__PO8,eeg_sd__Pz,eeg_se__C3,eeg_se__C4,eeg_se__Cz,eeg_se__Fz,eeg_se__Oz,eeg_se__PO7,eeg_se__PO8,eeg_se__Pz,eeg_hm__C3,eeg_hm__C4,eeg_hm__Cz,eeg_hm__Fz,eeg_hm__Oz,eeg_hm__PO7,eeg_hm__PO8,eeg_hm__Pz,eeg_hc__C3,eeg_hc__C4,eeg_hc__Cz,eeg_hc__Fz,eeg_hc__Oz,eeg_hc__PO7,eeg_hc__PO8,eeg_hc__Pz,eeg_mf_hz__C3,eeg_mf_hz__C4,eeg_mf_hz__Cz,eeg_mf_hz__Fz,eeg_mf_hz__Oz,eeg_mf_hz__PO7,eeg_mf_hz__PO8,eeg_mf_hz__Pz,eeg_bp_delta__C3,eeg_bp_delta__C4,eeg_bp_delta__Cz,eeg_bp_delta__Fz,eeg_bp_delta__Oz,eeg_bp_delta__PO7,eeg_bp_delta__PO8,eeg_bp_delta__Pz,eeg_se_delta__C3,eeg_se_delta__C4,eeg_se_delta__Cz,eeg_se_delta__Fz,eeg_se_delta__Oz,eeg_se_delta__PO7,eeg_se_delta__PO8,eeg_se_delta__Pz,eeg_bp_theta__C3,eeg_bp_theta__C4,eeg_bp_theta__Cz,eeg_bp_theta__Fz,eeg_bp_theta__Oz,eeg_bp_theta__PO7,eeg_bp_theta__PO8,eeg_bp_theta__Pz,eeg_se_theta__C3,eeg_se_theta__C4,eeg_se_theta__Cz,eeg_se_theta__Fz,eeg_se_theta__Oz,eeg_se_theta__PO7,eeg_se_theta__PO8,eeg_se_theta__Pz,eeg_bp_alpha__C3,eeg_bp_alpha__C4,eeg_bp_alpha__Cz,eeg_bp_alpha__Fz,eeg_bp_alpha__Oz,eeg_bp_alpha__PO7,eeg_bp_alpha__PO8,eeg_bp_alpha__Pz,eeg_se_alpha__C3,eeg_se_alpha__C4,eeg_se_alpha__Cz,eeg_se_alpha__Fz,eeg_se_alpha__Oz,eeg_se_alpha__PO7,eeg_se_alpha__PO8,eeg_se_alpha__Pz,eeg_bp_beta__C3,eeg_bp_beta__C4,eeg_bp_beta__Cz,eeg_bp_beta__Fz,eeg_bp_beta__Oz,eeg_bp_beta__PO7,eeg_bp_beta__PO8,eeg_bp_beta__Pz,eeg_se_beta__C3,eeg_se_beta__C4,eeg_se_beta__Cz,eeg_se_beta__Fz,eeg_se_beta__Oz,eeg_se_beta__PO7,eeg_se_beta__PO8,eeg_se_beta__Pz,eeg_bp_gamma__C3,eeg_bp_gamma__C4,eeg_bp_gamma__Cz,eeg_bp_gamma__Fz,eeg_bp_gamma__Oz,eeg_bp_gamma__PO7,eeg_bp_gamma__PO8,eeg_bp_gamma__Pz,eeg_se_gamma__C3,eeg_se_gamma__C4,eeg_se_gamma__Cz,eeg_se_gamma__Fz,eeg_se_gamma__Oz,eeg_se_gamma__PO7,eeg_se_gamma__PO8,eeg_se_gamma__Pz
P19,C0_reproducible_harmonized_no_ICA,pick_place,Pick and Place,pick_place_s1_0.000,1,0.0,2.0,500,250.0,1629.432621668702,2533.785450602113,224.01432081985638,3579.853569473789,4892.450583928488,799.0602605338062,1876.7054014852763,1990.5326117798636,1.582905355370407,1.6030908174483742,1.666281766371729,1.5852233051024156,1.5906983129392134,1.564188555001616,1.5856540402262742,1.593387030938116,0.26505753511522084,0.2536995596248421,0.23250239182224003,0.2632665898079757,0.26024665710083333,0.2694179390463359,0.2645582676125022,0.25845423373546467,1.946643419571288,2.001971289658187,2.111092271954959,1.957575537768621,1.9707506409603401,1.930328600639852,1.9503487618377418,1.9801164832669358,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,148574.33258451012,355680.911310324,2731.715244976778,715444.6953799999,1334435.1731352156,36410.75211214431,194969.3710538648,220663.37552235302,1.0706354083082628,1.0629162152887668,1.046879168011939,1.0715231517116963,1.0686205829160422,1.059300436646604,1.066970472656749,1.066759302325818,460.9696653635719,1167.1314972068726,15.050013951539553,2247.726467060289,4206.886814761899,133.04206708553923,603.389520204934,714.2531227118711,1.2947339064624412,1.1865535208985456,2.1507921520364564,1.262235082688709,1.220488162923183,1.3926124867879728,1.2877446954869773,1.1834760958029353,25.23055997281981,46.71266338940795,5.813784087046814,56.84881503242627,109.29621015617643,13.730341768316224,22.53281781519989,18.36592795280508,1.821414059551091,1.5031234947179983,2.168652325556937,1.907350825212171,1.9672968555977597,2.105616669479454,2.115912051805174,1.9337916261459318,31.50792792778894,22.393942757108277,8.182803781408259,35.70808789196323,37.48375022749586,19.597371217105476,24.524449955694053,6.9103613074675865,3.941452027072346,3.790576942420164,3.8756056777161727,3.9608266992515304,3.5889892533941126,3.7445511453793423,4.001468905742128,3.6870683026128934,7.263895665094172,3.301299404186792,0.45563829800009803,4.467564327922913,3.853279451323922,1.661139295021269,2.1835717829831323,0.7416289032832599,3.0838055637875126,3.2615008240505827,3.026165337292331,3.183186407291439,3.341145580925869,2.897012342361537,3.214349157417316,3.3165616420369224
P19,C0_reproducible_harmonized_no_ICA,pick_place,Pick and Place,pick_place_s1_1.000,2,1.0,3.0,500,250.0,92.19374675658631,136.03181732477765,10.423086838407741,198.12878617595746,271.02456366028457,49.19817706155534,103.25249213637422,109.83166677253723,1.2732720010917797,1.1477850547084358,2.2727234960043807,1.154743747584213,1.1300426293520407,1.482285216046576,1.2070427139174298,1.136154360053654,0.04748169763536489,0.02599340079463509,0.10891236419766691,0.023717501660566378,0.0206983265319005,0.0535889899938675,0.029694544102700483,0.021426168746469663,13.392431340172934,16.314498989051238,4.6940614110471826,16.685040590781487,13.606425198864265,10.69450821814438,16.35448158825629,13.257677686181708,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1917.1613624735273,4416.2982775855,26.411625369194144,9280.228268616724,17313.641045970366,537.0031423351757,2377.2594148474113,2877.8960559565885,0.6324057864495568,0.6549722029991488,0.7919999558352984,0.6488391547536213,0.6448017353983514,0.7155913719764021,0.6498862652326239,0.6516397853765794,5.397937024546067,5.656661944712849,3.3795000028271938,14.056926766704386,13.611448377149655,5.779068117618326,10.217641305251792,1.941895063291139,2.283938849171348,2.2421884265233216,2.1295556243461373,2.158770378629216,2.2073604370606406,2.216247071424381,2.2428696222512494,1.9214012493291115,4.389247625772924,5.121006936093066,2.6512061362556145,12.119382778067152,4.553369993559002,7.400330402990046,4.015282694107139,1.416490027230725,2.287670828363877,2.289684695456608,2.258669527351203,1.992150464613451,2.093285915171737,2.166822154447856,2.134209460143648,2.233391667184545,34.78833948564301,15.198879507242124,4.323696326908854,23.458736929145573,16.542206531974475,11.636304009525693,18.24153165575074,3.5006292310148543,3.9263373214746142,3.7963152631625503,3.751987780769445,4.066636182197674,4.030875300737542,4.0373349849990605,3.8773498849754677,3.843212548954341,8.431433397041975,1.841997617188257,0.16224662056118608,3.055532022820368,2.268393270254,3.1735088642961498,1.511461427668104,0.31735486226923343,3.126827135138501,3.239380190978349,3.1141063402135076,2.81207779052029,3.064855902391714,2.874870074274446,2.9542473372504188,2.959593014454467
P19,C0_reproducible_harmonized_no_ICA,pick_place,Pick and Place,pick_place_s1_2.000,3,2.0,4.0,500,250.0,11.503917531661422,14.47137555581069,3.0402655558062186,21.488220714163745,28.477957662202225,7.513046606185425,12.110077951113745,11.397162137729682,3.9945267353998055,2.427232051720575,4.674330176191606,1.9244997561138915,1.5297434574544775,4.189178689495412,3.01063170107314,1.523962804877454,0.34380051376822046,0.14563928865936934,0.33319634180182195,0.1326262158170666,0.08453801872567673,0.32440584960337226,0.21008307545470858,0.08658847346171561,2.0095051116537404,4.2817127453117125,1.7948753412022744,4.909177100522504,7.6798400858975215,2.112724425253169,3.154492278114619,6.84869557197113,8.0,2.0,10.0,2.0,2.0,4.0,2.0,2.0,22.448027948764764,42.622954526454826,1.728510759994776,107.63191656344817,184.12368140552013,20.496785070042666,45.16916762657542,28.74775437674981,0.7820362207870438,0.8033317486473199,1.80987953202146,0.7368597769469691,0.7361653403791967,1.7531043200691687,1.0742998681105504,0.684057876103891,2.8006491695552507,2.8788636875303677,1.4603715772327877,5.047705864374139,3.762498530307698,4.0980077172388425,8.298712187805453,1.3703513288686884,2.263788253127905,2.0283310269055206,2.274804740050795,2.172403780594268,2.230612610610345,1.9175975940637398,2.261225990572804,1.8858850657345978,2.9630906738184084,4.22417509271688,1.8071307305744804,3.4016445244026334,4.152270022717206,4.417335360247856,3.4681388016753134,0.8298952630145666,2.0799540873695834,2.083426200273381,2.051358429634582,2.1980760400306605,2.0312642192770576,1.9391390534409285,2.105052823174182,2.279679601448015,28.25936341760852,9.93126310959612,2.8585189144255163,14.433622754807692,11.191043769866482,10.666938346734515,13.29073520589686,1.4387446368645564,3.99767522871855,3.9814282050418677,3.9415317472342,4.121394227989337,3.980601789341867,4.197936546301146,4.044478368093941,3.872713126894837,9.441526047106557,1.8096957424993003,0.34341667560577394,2.569045634836127,2.687835963341731,3.4986398248859762,3.1921211462519588,0.2342606188355842,3.092317632471927,3.2642547240004696,3.0754743576237793,3.239936076321252,3.1458535012133977,3.0782278603889073,3.1257214772065147,3.041888798805926
P19,C0_reproducible_harmonized_no_ICA,pick_place,Pick and Place,pick_place_s1_3.000,4,3.0,5.0,500,250.0,6.413191522530109,4.205425254831158,3.094320116314619,7.60708850719832,6.570849318389659,5.99093296788157,5.826541293953529,2.8800593302993747,5.035111653877557,4.99453548446116,4.616899142179987,4.666474481563398,4.320285603846806,4.844674967791289,4.789262327333063,4.5407952257708715,0.5572086986450244,0.4783767922372717,0.3674832417122124,0.40999524253096103,0.3581169236564663,0.44772215783253927,0.42029137543434836,0.3282420496951157,1.2455382357453506,1.3884718907659277,1.670712873026519,1.670323089794365,1.8297067863432448,1.471415274780401,1.58965294622959,1.8948728504602042,20.0,18.0,9.0,10.0,5.0,15.0,13.0,7.0,3.9399914710786264,1.8778331319672805,3.0614183840128515,20.6679721801813,16.55858134750466,8.439764935679971,10.387819251364492,2.25495055335061,1.9381826309312635,1.9228342350756722,1.9491879108303105,1.886882575204534,1.8023857639965724,1.8790009267735495,1.858394312588548,1.7790141230685688,1.2360597590415137,1.4200806949642888,1.745287498721737,5.149697299104787,2.68670894756981,3.5738248102245125,2.0240159464647896,1.2302884694193574,2.092896994206822,2.1768357982629736,1.9560816585576695,2.1581927641056917,1.9773276473080532,1.9558839639411374,2.0383054319638996,2.291063338034813,3.7757245519721585,1.7532247286038056,1.7428632459768147,4.428330650731632,4.584353457566406,4.2282289930166606,3.7020634012054794,0.8704246956388253,1.9149941673417996,2.249760880457096,2.1089923985872585,2.1396548423586776,2.221987935780418,2.117212991960428,2.0971830969827545,2.1993569045281833,23.06205903391667,8.937826968384499,3.655580070877682,22.70002012621773,14.48168433321619,19.989714207924106,16.125495905103907,1.8154434639600103,4.041507097866542,3.967390003272129,3.9973716992738595,4.001633469135379,3.796429688333295,3.9680760143490836,4.045645388740153,3.984975162619941,6.762914300014122,1.4608541816159384,0.3765830417794829,4.412985965888611,1.493934930868097,2.66386813477144,2.7868056531363075,0.24043871789932764,3.021986542655339,3.095027051469444,2.996822129637222,3.283178760557369,3.31921686038144,3.118764339764332,3.2380434321832308,3.345750674823649
P19,C0_reproducible_harmonized_no_ICA,pick_place,Pick and Place,pick_place_s1_4.000,5,4.0,6.0,500,250.0,6.9501072260454775,4.559125562924933,3.314034646050425,8.81718276649794,7.010475691233361,5.9812466950873215,7.836170391879046,3.2780594700181016,4.968843893516431,5.084731388319206,4.504406105427602,4.312935953684539,4.369861983160207,4.940439434515974,4.663109709261922,4.448692091509301,0.5460216065010347,0.5284309869991618,0.38198744339403323,0.3772565404613883,0.3719832498947256,0.45492453918648423,0.4075050488393274,0.3115500720866667,1.2515013988009902,1.2837822834501975,1.5814857437031102,1.7792310172520593,1.7218355216932886,1.410862877005266,1.499954756744589,1.9364878963893541,20.0,19.0,7.0,4.0,5.0,15.0,12.0,7.0,7.302461339613883,2.6996010160842445,3.8293147443753104,35.74593650990512,19.326078529163656,6.847419460385967,11.657611610095229,3.303410822613012,1.778221814107296,1.9335367911478056,1.849481004630705,1.7661481695825525,1.7843788281610553,1.8728139020642507,1.7597439826190167,1.881101088808748,1.267233051480942,2.218596856066136,1.3276270668928671,7.442247596893237,3.7229625816953424,4.104585218896174,2.3735065755331366,2.3898629977907087,2.1314780031873637,2.228510430353283,2.220606860587582,2.1734774793632328,2.114341023366433,2.2275756008687733,2.0413494187948933,2.2745498919209237,4.666144096907373,1.6465161560464001,0.9426074260262878,5.015350474318594,4.117697325570957,4.46394864511085,6.021651341024352,1.391166695249149,1.9298224660566645,2.273951584550091,2.0474645683958625,2.124698560419674,1.9470682833364092,2.1890789029710422,2.0561644326459563,2.150830936998356,25.382066235867423,11.050676772918028,4.166184673149737,24.58924101933637,17.31173112370922,21.395204848083292,16.390494708632527,2.471574891926593,4.036276043506755,4.1066112925191485,4.058692736874059,4.120641709917545,3.955246152330668,3.994085908346814,4.013325721535495,3.9559190798267347,6.802699914116381,2.484118640217685,0.3000205884133726,5.765609588464776,2.4598256731709247,2.527299777235293,3.11345824554987,0.41516929691397475,3.147451020661122,2.7720543730258345,2.8620181315572593,3.0404299178810428,3.1635400880775664,3.08321650879558,2.7806113882833996,3.0058452915120877
P19,C0_reproducible_harmonized_no_ICA,pick_place,Pick and Place,pick_place_s1_5.000,6,5.0,7.0,500,250.0,7.722654306125439,4.666610123503767,3.3674733687836946,10.313222280847464,8.297092384275848,6.81120184956893,10.001043788575055,3.6244053413334316,4.921197868269151,5.016573634473637,4.884785358303637,4.382441660896071,4.543512489042221,5.032931835752196,4.602201956889352,3.849382840511819,0.5441679200901256,0.5029982832917458,0.3884407715409708,0.3456762443941139,0.39190818752922757,0.4826633874669977,0.3703139940250167,0.27779392768310585,1.2399128632656866,1.3700845079535124,1.5904270579876039,1.9359512314972445,1.7582909449731994,1.4047289067938535,1.6509558696981492,2.1106119558153495,23.0,17.0,11.0,5.0,10.0,14.0,8.0,3.0,3.8329755116752926,2.5569764671448123,2.327304176743894,37.173499379444735,23.331156992742972,6.51823280651398,37.05426196580047,6.396311852401714,1.7523178856864485,1.9604452909295458,1.9492211271126303,1.682191495388203,1.611970816486325,1.9726012248514384,1.8645751773414767,1.5328000380327118,1.6898776729635119,3.317878769674084,2.8059736925075707,7.737697911916932,4.102784833743008,6.097029269539094,10.893409577708692,1.3676707821694962,2.2430827403730635,2.0764753599002543,2.235216208697645,2.235832064819226,2.2623760773321733,2.288049094875708,2.1940598469211854,2.089682021175349,3.075231551380321,1.2499346299520848,1.312669904656044,5.450973036450472,4.309473188165757,4.995027552039307,9.026363980428144,1.0721317785841877,2.243021945193809,2.2268732524263926,2.276947785232065,2.2541636131745943,1.9491426108329228,2.2341778220270885,2.275629639855935,2.184035912048821,44.352128585961715,12.042118678482757,5.323851510731377,28.61723658462733,21.015583793887462,17.371006639128243,41.764604504675575,3.074598634044862,4.012497634450303,4.026426453636548,4.068024822005364,4.106881092492489,4.130264902402966,4.005643827435147,4.01068655675661,3.9777219131486596,9.763156723811507,3.064548799118844,0.6154462693765569,4.608303971867298,6.599359713766482,3.1017654450381764,4.922962134877877,0.20577874744235775,3.054880841483482,2.8000691016278973,2.7451602046671377,2.803897568861523,3.049491647510144,3.3228529673051783,3.0668034318332307,2.81033903566242
P19,C0_reproducible_harmonized_no_ICA,pick_place,Pick and Place,pick_place_s1_6.000,7,6.0,8.0,500,250.0,7.443553338359632,4.636353869346353,3.425805216700289,10.241093725272284,8.417092562316384,6.782524240303017,9.863539249243992,3.416319479783298,4.939001267303343,4.6836396806522265,4.538348489165798,3.9455000357242094,3.9688953501761364,5.13017101269166,4.543792417025478,3.8521037681629027,0.5241729719840005,0.4189794668244292,0.33937947495327797,0.3315730883126221,0.36897305973711897,0.4989727590135508,0.30423462717141375,0.2854153687021443,1.2712418070515172,1.6384268249441625,1.8195996925297684,2.0656138990372024,1.9213989508988603,1.3998443877588815,2.021477929343942,2.119613193786389,21.0,7.0,7.0,3.0,3.0,17.0,8.0,3.0,2.8866235199177663,6.060036017699682,3.7185492141013476,60.85091325335554,38.22746102559896,5.736706346643931,19.45179870468848,5.943866519977867,1.6651841123667355,1.9756666828330458,1.8646600436759404,1.6406287544399856,1.581746199477602,1.9089513393231548,1.6609622860361963,1.6382533892203923,3.5253758489720637,3.1369877813623477,2.196886858140536,16.468894637188747,5.448566128337198,3.027560660172586,12.376979916377127,1.3824629887768252,2.22484021908247,1.9946246464699915,2.2825168291583666,2.269786432068991,2.3043732748423413,2.208770281844406,2.2178069995383627,2.134374682616125,2.8294598969952016,1.0676737838588566,1.2172596341218729,5.683584383342696,3.331334742830999,4.108314046646181,7.282595227625383,0.9778582668790831,2.1508394303207528,2.2217756112402496,2.2657777407522444,2.250660276819989,2.13329292497499,2.1640235892624324,2.206849161213242,2.233135191892962,29.140579082814863,7.125667953491208,3.4451109834109603,23.584608748549517,16.637994427648653,24.545288085474844,20.662861544017172,2.543666199580195,3.8594010599211264,3.9979512488937665,3.925688777526901,4.142626163596902,3.916562903315627,4.041706448976178,3.978770181806938,3.9484886616124526,7.968720239236109,1.4216582296772788,0.48719182498667707,5.755727140032567,5.786240562091408,7.577497259822754,3.0301926126548877,0.2464695342261367,3.0259397170221587,3.1882013778867884,2.908663682712017,2.9209816796346324,3.049098530747454,3.2986806382623395,3.117892818072893,3.230264797081229
P19,C0_reproducible_harmonized_no_ICA,pick_place,Pick and Place,pick_place_s1_7.000,8,7.0,9.0,500,250.0,6.796308576572492,3.820288061347086,3.4613064037360277,8.279949859791149,6.876542229652513,5.7848779155416254,7.907172014700237,2.7362595795057336,5.088310964650068,4.934526997287947,3.9955857524590006,4.466597021182372,4.711675589348602,4.907083043176674,3.9759843217597295,4.451085678260607,0.5255721211291114,0.3981969753222596,0.2673771226498367,0.34668154221104774,0.33417932466876427,0.478106710848181,0.2800082520579427,0.32367649609236054,1.2882107478875446,1.7536826303195523,2.275257898759255,1.9663583971768652,2.006796069082947,1.5139718886491305,2.2883625217541614,1.998672619617547,19.0,10.0,5.0,6.0,8.0,14.0,4.0,6.0,3.9209039677903554,2.486132035364422,4.997654002103481,24.22983449081319,8.33287793563552,9.040057053781185,29.267582259699495,2.45597883693653,1.7763539517398679,1.9126735571931013,1.8167314910202597,1.8204584392832255,1.8465848666265807,1.649210333681998,1.658805797622799,1.9463785409872314,5.422028793616699,2.612783424175577,3.1710669309926565,12.723934159743951,8.10809089285782,3.2067949806751317,13.650737108310423,1.2498051443774532,2.1640511300515146,2.1843711687513743,2.1037781216332125,2.113727797954362,2.0312608071830724,2.250814978874954,2.2194887257712663,2.0988899051690546,4.104036197531473,0.968616570237745,2.016686933252933,5.258571944499314,5.418104649098607,3.7265965342510885,8.076725823031339,0.8548681398754581,2.2200429945335007,2.2532561922201277,2.102229123920624,2.2831630360012043,2.217639517006127,2.306443446671368,2.1344669469009276,2.0829249679256137,24.912987641393073,4.455192357425516,1.571152255486844,17.911176852268046,10.35890444540911,13.534086330590695,10.14942949493046,1.7491600150128135,4.147012450525029,4.116429166603732,4.004066122386854,4.112451467177976,4.028903039126951,4.009597850852747,3.962952502480343,3.9080397444093165,7.619616077867238,1.2123057940074256,0.3113407846023764,3.683603741430078,2.366562146192845,4.530366426429896,2.0075825977306754,0.28757885435442354,2.6979172027875276,3.2470949697348006,3.02924755236736,2.9044797692158997,3.0471052510972245,3.1869311689530173,2.775767018582663,2.952746531648964
P19,C0_reproducible_harmonized_no_ICA,pick_place,Pick and Place,pick_place_s1_8.000,9,8.0,10.0,500,250.0,6.615073388047587,3.421849664485496,3.509279890281329,7.509599472459651,5.640064087767108,5.665800329896168,6.801698388047786,2.533929161166139,5.08092694822348,4.839476321183627,3.9476411869004946,4.649560284952658,4.745229400386428,4.831745723873507,4.227811007779971,4.662789983008414,0.5133939553447074,0.4128588885425868,0.23783047066689772,0.3863436729235217,0.36854236520770545,0.42989273406336065,0.2895261919474458,0.36329678092203543,1.3477121576812106,1.65853818884492,2.412286679192932,1.7171917304415296,1.742351124161816,1.6332708663588116,2.2699176410600903,1.76654323571798,22.0,11.0,6.0,9.0,11.0,11.0,5.0,9.0,3.3629620568009297,2.865614582892818,3.549717440040964,13.989051594345451,4.082527281133903,7.161389174506913,15.805338156739422,1.4300440371918541,1.6917254362862455,1.9007329647923046,1.7052308820940538,1.80949743938923,1.7178085113441113,1.7174850731730877,1.8235119000763242,1.8234121671431658,2.769519646057214,0.7929555870514806,1.9146999982078512,5.4953396930593845,2.8953461932357407,2.5190993237794013,6.736251215464308,0.8836093765632383,2.0928447159345835,2.03205916039431,2.1322476817919567,2.2257298347619603,2.037957880177534,2.1382375798661233,2.1701991078587795,2.1746558819370616,2.1753835059301934,1.7966159351844588,1.905886446854694,4.017489665299078,5.554141197430419,4.967112427611957,6.00361225295564,0.8844933110099624,2.1610642744311495,2.2358509772114585,2.1317954614396695,1.9273928569532515,2.151740327397221,2.164343909624601,2.1743479331621853,2.064743257919133,20.241779851788877,4.118538170269223,1.0696862530519653,18.03593834477267,9.105537747973028,8.232799269937587,6.289940926542982,1.5652173974716248,4.112247447627715,3.9793089528559933,3.61788232284155,3.9055672534945005,3.808170603504871,4.110649349769995,3.845039275362331,4.01323735561808,8.094410850073647,0.986690288845202,0.23403682466576,2.1311192810231723,1.5703882695284797,3.0975498288721806,2.3762043812496505,0.34005354839791674,2.8666933669978136,3.204701848261664,3.0508671035742756,3.127777796335915,2.7962500370397234,3.142494117636187,2.9755198797908484,2.8682390041807
P19,C0_reproducible_harmonized_no_ICA,pick_place,Pick and Place,pick_place_s1_9.000,10,9.0,11.0,500,250.0,6.744270418029853,3.504980273270767,3.644609889708613,7.275594592013381,5.941500912476549,4.808320602538295,7.489081946113068,2.3439607176820116,4.846376687108005,4.724973066778222,3.786584003290008,4.560516920092033,4.268809113911256,4.695540187045996,4.0865528052262565,4.551748483186863,0.4919485214164766,0.414442350615267,0.2393411317072154,0.39655034160654445,0.34089330134646195,0.4031290426993097,0.2906157898687578,0.3734801630357007,1.3911629099981286,1.655303684700019,2.384481652376132,1.6507653224180414,1.8517496494036618,1.6294960099678215,2.1483715028104413,1.6843851882239007,15.0,9.0,5.0,8.0,5.0,9.0,5.0,9.0,11.576485310218823,4.455572984354455,6.922961949252876,18.014361214616713,18.09375074947176,7.147311123828301,25.74037281326074,0.9004156655842304,1.8507797018725103,1.6859796066574315,1.733033584758453,1.934277785183259,1.8412725487506716,1.8336702202602053,1.9132109588153574,1.8770271481553176,7.755640243869088,1.6963238975360795,4.5990438608867645,10.180644861532226,7.486753793027521,3.9479597550634957,18.98380830582019,1.2886130906206503,2.088476237045064,2.27066964050672,2.25205753834352,2.1456409721523713,2.1218427675788134,2.2726681397631676,2.1680876690304673,2.134080322871143,1.9778891350227732,1.8767567987755753,2.4013591685873714,6.3254453586319785,4.167206326120577,4.309500155234793,8.829545769308865,1.9066065641073653,2.19813105242945,2.237401135457487,2.0672447265119462,1.7980115210996197,2.0795594601045253,2.1441165716667188,2.0845184773710685,2.185860326340808,21.862567103022478,4.026975144994714,1.5656106719814313,17.750805941860985,10.04051601801776,7.259531043159101,9.720801899879934,1.3061445545500854,3.94270194232477,3.995528758076601,3.7285759603281643,3.7904554322741775,4.000442691086794,3.9843430673223703,3.863106374584209,3.8567007233285118,5.236547456516302,1.3724114493396724,0.20869752944612202,3.2208767090837616,1.6275645596519481,1.3503566999144354,1.84450900257897,0.3419354390426981,3.243917954689219,3.318680944763355,3.134717719217209,3.2049345516333068,3.016984152254644,3.0971834036767687,3.1317182766780993,3.034716010202763
