condition,model_id,task,feature_group,window_count,median_nearest_image_distance,iqr_nearest_image_distance,fraction_windows_with_outside,fraction_feature_values_outside,median_abs_image_z,maximum_abs_image_z
ICA,valence__eeg__svm__all,pick_place,all_selected,41,12.113933215773939,2.4181212280193556,1.0,0.07540650406504065,0.8158028459322777,41000.32438572243
ICA,valence__eeg__svm__all,shape_sorter_alone,all_selected,29,15.903072378183735,30.537909868688537,0.9655172413793104,0.10373563218390805,0.7931264152471561,37061.36667454902
ICA,valence__eeg__svm__all,shape_sorter_interaction,all_selected,95,14.683815230051218,5.584833300521007,0.9894736842105263,0.07412280701754387,0.8668563868420376,45030.105884608456
ICA,valence__eeg__svm__all,shape_sorter_observation,all_selected,60,12.198305764325806,2.1451563092979153,0.9833333333333333,0.06624999999999999,0.8188470304094237,40013.991027555276
ICA,valence__eeg__svm__all,sisyphus,all_selected,127,15.9726134087833,45.44338356625699,1.0,0.13713910761154857,0.9207863556101721,44400.31817054448
ICA,valence__eeg__svm__all,stack,all_selected,70,12.015832118910987,2.29832280419293,0.9714285714285714,0.07642857142857144,0.8586585832764353,62120.09464897102
ICA,valence__multimodal__svm__10,pick_place,all_selected,35,2.243154978082847,0.8561883155580681,0.2857142857142857,0.03428571428571429,0.7562670146823958,4.069220439056514
ICA,valence__multimodal__svm__10,shape_sorter_alone,all_selected,12,2.3082299100144823,1.4640532009630576,0.5833333333333334,0.05833333333333333,0.9411252349732571,18.99317353020603
ICA,valence__multimodal__svm__10,shape_sorter_interaction,all_selected,87,3.149875193139123,1.3504887474446843,0.42528735632183906,0.07701149425287354,1.045459586957723,16.113250595086274
ICA,valence__multimodal__svm__10,shape_sorter_observation,all_selected,53,2.3388018206434698,0.7693320642085322,0.33962264150943394,0.041509433962264156,0.7585543899098661,6.9807386859483325
ICA,valence__multimodal__svm__10,sisyphus,all_selected,120,3.086219764101928,3.649421517155801,0.6333333333333333,0.16916666666666672,0.9704045593895047,368.44617878644146
ICA,valence__multimodal__svm__10,stack,all_selected,64,2.2455086999659333,0.6824518553482,0.25,0.028125000000000004,0.8474634133942937,8.238729579243227
ICA,valence__multimodal__svm__10,pick_place,eeg_selected,35,2.243154978082847,0.8561883155580681,0.2857142857142857,0.03428571428571429,0.7562670146823958,4.069220439056514
