target,task,n_all_three_windows,unanimous_agreement_rate,unanimous_high_rate,unanimous_low_rate,disagreement_rate,majority_vote_high_fraction,class_agreement_1_2,probability_correlation_1_2,class_agreement_1_3,probability_correlation_1_3,class_agreement_2_3,probability_correlation_2_3
arousal,pick_place,41,0.2926829268292683,0.1951219512195122,0.0975609756097561,0.7073170731707317,0.5609756097560976,0.6341463414634146,-0.161047785725794,0.5365853658536586,0.43849805850190915,0.4146341463414634,0.05628657595009841
arousal,shape_sorter_alone,29,0.41379310344827586,0.0,0.41379310344827586,0.5862068965517241,0.034482758620689655,0.7241379310344828,0.07534880423585813,0.6551724137931034,-0.20156801895133505,0.4482758620689655,-0.18079033408476566
arousal,shape_sorter_interaction,95,0.4,0.10526315789473684,0.29473684210526313,0.6,0.37894736842105264,0.6421052631578947,0.171612229421347,0.6526315789473685,0.39075995108289274,0.5052631578947369,0.3270680428328379
arousal,shape_sorter_observation,60,0.48333333333333334,0.38333333333333336,0.1,0.5166666666666667,0.65,0.6833333333333333,0.08084334778524167,0.65,0.5319591911037717,0.6333333333333333,0.017537522343394583
arousal,sisyphus,127,0.2283464566929134,0.07086614173228346,0.15748031496062992,0.7716535433070866,0.36220472440944884,0.6220472440944882,0.18438108187225,0.47244094488188976,0.09775835706264846,0.36220472440944884,-0.18129706805596138
arousal,stack,70,0.5142857142857142,0.44285714285714284,0.07142857142857142,0.4857142857142857,0.7142857142857143,0.7571428571428571,-0.09436603943515469,0.7285714285714285,0.6794813754205368,0.5428571428571428,0.07794037010056966
valence,pick_place,41,0.6341463414634146,0.4146341463414634,0.21951219512195122,0.36585365853658536,0.7073170731707317,0.926829268292683,0.9953396265100067,0.6341463414634146,0.48906016998517654,0.7073170731707317,0.5332159980528457
valence,shape_sorter_alone,29,0.6896551724137931,0.27586206896551724,0.41379310344827586,0.3103448275862069,0.41379310344827586,0.9310344827586207,0.9966157025989445,0.6896551724137931,0.577985540624621,0.7586206896551724,0.6159367540978666
valence,shape_sorter_interaction,95,0.7368421052631579,0.2736842105263158,0.4631578947368421,0.2631578947368421,0.4842105263157895,0.9263157894736842,0.9954804836798051,0.7578947368421053,0.6126657978068634,0.7894736842105263,0.6535082989656104
valence,shape_sorter_observation,60,0.6333333333333333,0.36666666666666664,0.26666666666666666,0.36666666666666664,0.6166666666666667,0.9333333333333333,0.9940398609364037,0.65,0.45141647711703703,0.6833333333333333,0.5074874535369012
valence,sisyphus,127,0.7322834645669292,0.2047244094488189,0.5275590551181102,0.2677165354330709,0.4251968503937008,0.9448818897637795,0.9938578367464767,0.7480314960629921,0.5542739745224188,0.7716535433070866,0.5947261886856773
valence,stack,70,0.6142857142857143,0.1,0.5142857142857142,0.38571428571428573,0.34285714285714286,0.8428571428571429,0.9940321991450296,0.6285714285714286,0.48417023272165216,0.7571428571428571,0.5383405060615614
