participant,target,task,task_display,robot_condition,n_consensus_windows,median_top3_consensus_probability,mean_top3_consensus_probability,fraction_consensus_windows_ge_0_5,descriptive_task_verdict,mean_top3_probability_range,median_top3_probability_range,mean_pairwise_absolute_probability_difference,fraction_unanimous_low_windows,fraction_unanimous_high_windows,fraction_unanimous_top3_windows,majority_vote_high_fraction,probability_correlation_r1_r2,probability_correlation_r1_r3,probability_correlation_r2_r3,robot_rating_1_to_7,robot_rating_class,verdict_matches_robot_rating
P27,arousal,pick_place,PnP,SLOW,41,0.6636843667035955,0.6372609609805341,0.7560975609756098,HIGH,0.4323571707582056,0.420700566855704,0.2882381138388037,0.0975609756097561,0.1951219512195122,0.2926829268292683,0.5609756097560976,-0.16104778572579398,0.4384980585019091,0.05628657595009838,7.0,HIGH,True
P27,arousal,shape_sorter_alone,SSAlone,N/A,29,0.4036459840172575,0.40271939643951493,0.13793103448275862,LOW,0.6082064754982048,0.5219335049817349,0.40547098366546996,0.41379310344827586,0.0,0.41379310344827586,0.034482758620689655,0.07534880423585813,-0.20156801895133486,-0.18079033408476558,4.0,HIGH,False
P27,arousal,shape_sorter_interaction,SSInt,N/A,95,0.523153030432999,0.5658524622224071,0.6421052631578947,HIGH,0.47873018888776775,0.4506631336999784,0.31915345925851185,0.29473684210526313,0.10526315789473684,0.4,0.37894736842105264,0.1716122294213471,0.3907599510828928,0.3270680428328378,7.0,HIGH,True
P27,arousal,shape_sorter_observation,SSObs,FAST,60,0.7690520143633719,0.7063456449321092,0.8,HIGH,0.4402510211741428,0.42792142086514257,0.29350068078276187,0.1,0.38333333333333336,0.48333333333333334,0.65,0.08084334778524165,0.5319591911037717,0.01753752234339464,6.0,HIGH,True
P27,arousal,sisyphus,Sisyphus,N/A,127,0.5151557173340736,0.5033871623674935,0.5354330708661418,HIGH,0.5548614084230338,0.508052910793996,0.36990760561535585,0.15748031496062992,0.07086614173228346,0.2283464566929134,0.36220472440944884,0.18438108187225002,0.09775835706264847,-0.18129706805596138,7.0,HIGH,True
P27,arousal,stack,St,FAULTY,70,0.7417095854147153,0.7250827377796625,0.8857142857142857,HIGH,0.44507972852245636,0.4215265348668963,0.2967198190149709,0.07142857142857142,0.44285714285714284,0.5142857142857142,0.7142857142857143,-0.09436603943515462,0.6794813754205365,0.07794037010056964,7.0,HIGH,True
P27,valence,pick_place,PnP,SLOW,41,0.5540537385102987,0.5177395356013866,0.7073170731707317,HIGH,0.2923911407356199,0.2699181746331617,0.19492742715707992,0.21951219512195122,0.4146341463414634,0.6341463414634146,0.7073170731707317,0.9953396265100065,0.48906016998517654,0.5332159980528458,6.0,HIGH,True
P27,valence,shape_sorter_alone,SSAlone,N/A,29,0.4947274450002885,0.4331675703769397,0.41379310344827586,LOW,0.2897533829391333,0.34237064002152906,0.1931689219594222,0.41379310344827586,0.27586206896551724,0.6896551724137931,0.41379310344827586,0.9966157025989447,0.5779855406246209,0.6159367540978666,6.0,HIGH,False
P27,valence,shape_sorter_interaction,SSInt,N/A,95,0.4886275246822109,0.4592071703885315,0.4842105263157895,LOW,0.32327474589630645,0.3229115898318597,0.2155164972642043,0.4631578947368421,0.2736842105263158,0.7368421052631579,0.4842105263157895,0.9954804836798048,0.6126657978068633,0.65350829896561,5.0,HIGH,False
P27,valence,shape_sorter_observation,SSObs,FAST,60,0.5329570307989506,0.512110481706146,0.6166666666666667,HIGH,0.3285211585533488,0.33955865848943634,0.21901410570223262,0.26666666666666666,0.36666666666666664,0.6333333333333333,0.6166666666666667,0.9940398609364037,0.4514164771170371,0.5074874535369012,6.0,HIGH,True
P27,valence,sisyphus,Sisyphus,N/A,127,0.4368846648315124,0.3654870800763437,0.4251968503937008,LOW,0.276847042959654,0.31450645392176646,0.184564695306436,0.5275590551181102,0.2047244094488189,0.7322834645669292,0.4251968503937008,0.9938578367464765,0.5542739745224188,0.5947261886856774,7.0,HIGH,False
P27,valence,stack,St,FAULTY,70,0.463563322444723,0.4440905944421418,0.34285714285714286,LOW,0.3803971047396677,0.41473180711234475,0.2535980698264452,0.5142857142857142,0.1,0.6142857142857143,0.34285714285714286,0.9940321991450292,0.48417023272165227,0.5383405060615614,5.0,HIGH,False
