target,model_rank,classifier,feature_family,task,n_windows,mean_high_probability,median_high_probability,sd_high_probability,fraction_predicted_high
arousal,1,svm,all_eeg,pick_place,32,0.9042387660805091,0.9696982088448087,0.12048231483263186,0.8125
arousal,1,svm,all_eeg,shape_sorter_alone,22,0.9348067073130442,0.9773280600139731,0.08854276455416255,0.8636363636363636
arousal,1,svm,all_eeg,shape_sorter_interaction,78,0.931107982183035,0.9785623018866085,0.1162085856777848,0.8974358974358975
arousal,1,svm,all_eeg,shape_sorter_observation,106,0.8263609408755771,0.865101282522549,0.15579618422903488,0.6698113207547169
arousal,1,svm,all_eeg,sisyphus,129,0.9022311611849358,0.985058526660837,0.1588667280422344,0.7984496124031008
arousal,1,svm,all_eeg,stack,68,0.7924234026350759,0.8350154216662823,0.17665571501445296,0.6029411764705882
arousal,2,svm,paper_compact,pick_place,32,0.8400689648787382,0.8647741043349048,0.09676312380184068,0.875
arousal,2,svm,paper_compact,shape_sorter_alone,22,0.8560070358879563,0.8902461774705294,0.07707310941199266,0.8636363636363636
arousal,2,svm,paper_compact,shape_sorter_interaction,78,0.8450681596644523,0.8975034649490901,0.134043159672622,0.7948717948717948
arousal,2,svm,paper_compact,shape_sorter_observation,106,0.7788364051406291,0.8136561017263012,0.15586576987562592,0.6415094339622641
arousal,2,svm,paper_compact,sisyphus,129,0.7711401634906612,0.8732593410566973,0.19733162413651575,0.6511627906976745
arousal,2,svm,paper_compact,stack,68,0.6422229373607417,0.6498528493809819,0.18438904082902938,0.27941176470588236
arousal,3,logreg,all_eeg,pick_place,32,0.6493136283666451,0.6445050471488458,0.13508146147558994,0.9375
arousal,3,logreg,all_eeg,shape_sorter_alone,22,0.6692241673080743,0.646110441180149,0.13988637519144784,0.8636363636363636
arousal,3,logreg,all_eeg,shape_sorter_interaction,78,0.6496217151208131,0.6317655090607204,0.10597988459378557,0.9487179487179487
arousal,3,logreg,all_eeg,shape_sorter_observation,106,0.5906648376634627,0.5748789064796304,0.08882166101450643,0.9245283018867925
arousal,3,logreg,all_eeg,sisyphus,129,0.6663909063769535,0.6556425722757548,0.12617549872353515,0.9302325581395349
arousal,3,logreg,all_eeg,stack,68,0.5770893991315674,0.5674808718732067,0.09626359664342549,0.8823529411764706
valence,1,svm,time_statistical,pick_place,32,0.5488350976195154,0.5663085979738858,0.08997920420425258,0.53125
valence,1,svm,time_statistical,shape_sorter_alone,22,0.606868963929628,0.6341714147362987,0.11854735475404767,0.6818181818181818
valence,1,svm,time_statistical,shape_sorter_interaction,78,0.5700089311656981,0.5695668092741821,0.08768823833879065,0.5897435897435898
valence,1,svm,time_statistical,shape_sorter_observation,106,0.5894692006624701,0.5995000836018771,0.0685835557482383,0.7075471698113207
valence,1,svm,time_statistical,sisyphus,129,0.599897309951211,0.6245521186987986,0.10705518660307724,0.6976744186046512
valence,1,svm,time_statistical,stack,68,0.5737727098644195,0.5789515660226574,0.07620609846443943,0.6323529411764706
valence,2,svm,hjorth,pick_place,32,0.5585640342434197,0.4832368959237193,0.19537498405680392,0.46875
valence,2,svm,hjorth,shape_sorter_alone,22,0.5817217981828267,0.6269706482180106,0.15191696733886087,0.5909090909090909
valence,2,svm,hjorth,shape_sorter_interaction,78,0.6493625650944161,0.677312678366345,0.19927323118034268,0.6410256410256411
valence,2,svm,hjorth,shape_sorter_observation,106,0.7435272711124007,0.8008230309930874,0.14570461432224371,0.8490566037735849
valence,2,svm,hjorth,sisyphus,129,0.7072954764115842,0.7608935667816903,0.16058611901390707,0.8217054263565892
valence,2,svm,hjorth,stack,68,0.5918894977087025,0.5675674678257605,0.14722997923206163,0.6323529411764706
valence,3,svm,hjorth,pick_place,32,0.5465620619560287,0.5037680944499344,0.18954086739280074,0.46875
valence,3,svm,hjorth,shape_sorter_alone,22,0.5689244465927248,0.6081220705682082,0.14089669371493113,0.5909090909090909
valence,3,svm,hjorth,shape_sorter_interaction,78,0.6317055008735319,0.6585418746564476,0.18860330214433882,0.6538461538461539
valence,3,svm,hjorth,shape_sorter_observation,106,0.7127396014462486,0.7598834035216935,0.13269571265247349,0.839622641509434
valence,3,svm,hjorth,sisyphus,129,0.6861489338752295,0.7319519795110363,0.14779452402872445,0.8217054263565892
valence,3,svm,hjorth,stack,68,0.5808598589924321,0.5620508373780363,0.13818223390503562,0.6029411764705882
