held_out_participant,train_rows,validation_rows,test_rows,best_epoch,best_validation_mse,validation_rmse,validation_mae,test_rmse,test_mae,dummy_validation_rmse,dummy_validation_mae,dummy_test_rmse,dummy_test_mae,validation_rmse_delta,test_rmse_delta,validation_ba,test_ba,test_accuracy
P01,4065,991,114,49,3.4597601890563965,1.8600430488586426,1.583838939666748,1.4874807596206665,1.2620030641555786,1.8501526568366586,1.5466177144112507,1.4683211412518886,1.246455622450961,0.00989039202198394,0.019159618368777886,0.5074488404967857,0.5505583126550868,0.5701754385964912
P02,4095,991,84,66,3.4639763832092285,1.8611761331558228,1.578728437423706,1.6818373203277588,1.4529845714569092,1.8514470943059869,1.5489604240361052,1.7387427627727245,1.4615733472876329,0.009729038849835892,-0.05690544244496576,0.5007509844838612,0.5061016949152543,0.6785714285714286
P03,4113,1004,53,37,3.3452813625335693,1.8290109634399414,1.520721197128296,2.1492762565612793,1.9361114501953125,1.8046420004109633,1.4808466111241878,2.16897363634741,1.9454146768873657,0.024368963028978063,-0.019697379786130842,0.5069812861322075,0.5,0.6037735849056604
P04,4043,1025,102,44,3.386590003967285,1.8402690887451172,1.5716485977172852,1.931496262550354,1.6203359365463257,1.869626864189889,1.5847823700101953,1.9389756533197653,1.6080492548243634,-0.029357775444771805,-0.007479390769411287,0.5419831021457719,0.45238095238095233,0.4803921568627451
P05,4049,1004,117,35,3.357304096221924,1.8322947025299072,1.5259989500045776,1.8820587396621704,1.6792935132980347,1.8043188641742227,1.480113381986994,1.8582313419230354,1.6577798042357192,0.027975838355684512,0.023827397739135003,0.5022115270204289,0.5008797653958944,0.47863247863247865
P06,4026,1025,119,53,3.364187002182007,1.834172010421753,1.5667933225631714,1.834426760673523,1.463897943496704,1.8677709049247258,1.5821969394060558,1.807470052744874,1.4349897932347304,-0.03359889450297282,0.026956707928649015,0.5396632407784512,0.48271276595744683,0.5126050420168067
P07,4087,967,116,45,3.4600918292999268,1.8601322174072266,1.5655182600021362,0.8184404969215393,0.5600801706314087,1.8479177925958197,1.5407060346461363,0.8159536961458831,0.49998523493330427,0.012214424811406888,0.002486800775656217,0.5120950121730445,0.5226449275362319,0.5603448275862069
P08,4054,1006,110,44,3.4890146255493164,1.8678903579711914,1.5835349559783936,1.5052863359451294,1.3162356615066528,1.8584643718649065,1.549833706198919,1.3979289223450984,1.2177243575368883,0.009425986106284867,0.10735741360003104,0.5146843634714866,0.44146825396825395,0.43636363636363634
P09,4019,1034,117,48,3.444563627243042,1.855953574180603,1.5980151891708374,2.063474655151367,1.8579093217849731,1.9051456623035983,1.623196249151155,2.093802258084512,1.8675160508950015,-0.04919208812299525,-0.03032760293314496,0.5472401476131273,0.4819148936170213,0.5641025641025641
P10,4016,1034,120,47,3.450761079788208,1.8576223850250244,1.59342360496521,1.9643983840942383,1.679693341255188,1.905842168434815,1.624003020798816,2.002760055650818,1.6697875166002656,-0.048219783409790606,-0.03836167155657977,0.5463619679119057,0.49,0.525
P11,4047,1003,120,36,2.9895968437194824,1.729045033454895,1.4324766397476196,2.156651735305786,1.8962215185165405,1.7091823698322044,1.4018601472577574,2.1488999326389404,1.8870933201548472,0.019862663622690624,0.00775180266684572,0.48080784582608904,0.5011123470522802,0.5
P12,4026,1024,120,42,3.389193534851074,1.8409762382507324,1.5438326597213745,1.9612765312194824,1.5980886220932007,1.8298091272592851,1.5146169041852957,1.8975107386641097,1.5350140751780097,0.011167110991447293,0.06376579255537274,0.4829680123797771,0.45634920634920634,0.2833333333333333
P13,4063,1012,95,55,3.0558390617370605,1.7480958700180054,1.47451913356781,1.2796932458877563,0.995083212852478,1.74962043703368,1.4605394872652948,1.2813819477083817,0.9265075067683977,-0.001524567015674716,-0.0016887018206253046,0.5377427184466019,0.5420866935483871,0.6631578947368421
P14,4031,1027,112,51,3.4021553993225098,1.8444932699203491,1.5567089319229126,2.5053980350494385,2.356112241744995,1.8178189334753512,1.5230923343117133,2.485942049256849,2.3397995889003087,0.026674336444997948,0.01945598579258956,0.4691990544989313,0.4496322353693636,0.44642857142857145
P15,3988,1070,112,68,3.034822463989258,1.7420742511749268,1.424538016319275,1.739945650100708,1.3718055486679077,1.7333578657435598,1.4026598487049937,1.774066414276276,1.3651355853274107,0.00871638543136699,-0.034120764175568086,0.5056989247311828,0.5704125177809388,0.6607142857142857
P16,4027,1027,116,30,3.6641242504119873,1.9141902923583984,1.6275928020477295,1.736280083656311,1.5401722192764282,1.8982238544954877,1.5931094614758363,1.693713865451383,1.475525119238245,0.015966437862910743,0.04256621820492801,0.49745828988529717,0.4519115890083632,0.47413793103448276
P17,4020,1031,119,39,3.4395434856414795,1.8546005487442017,1.554039716720581,1.8506228923797607,1.6040587425231934,1.8554744676580246,1.5513028938720557,1.8136893044699538,1.5884422425686688,-0.0008739189138229353,0.03693358790980694,0.5153509442617937,0.5071756601607348,0.4789915966386555
