held_out_participant,architecture,train_rows,validation_rows,test_rows,best_epoch,best_validation_mse,validation_rmse,validation_mae,test_rmse,test_mae,dummy_validation_rmse,dummy_validation_mae,dummy_test_rmse,dummy_test_mae,validation_rmse_delta,test_rmse_delta,validation_ba,test_ba,test_accuracy
P01,baseline,3443,823,114,2,3.8058764934539795,1.950865626335144,1.6440205574035645,1.528076410293579,1.321173906326294,1.8971915208991483,1.6322935330423713,1.4712383265060378,1.2505057299071087,0.05367410543599571,0.056838083787541294,0.5106663116160719,0.46370967741935487,0.43859649122807015
P02,baseline,3358,938,84,3,3.485304594039917,1.8668971061706543,1.5600943565368652,1.7467859983444214,1.4710773229599,1.812336996235225,1.518426543365873,1.730170917463622,1.4522249638390199,0.05456010993542937,0.016615080880799438,0.5233935853631654,0.5796610169491525,0.5714285714285714
P04,baseline,3450,828,102,7,3.8740413188934326,1.9682585000991821,1.6764096021652222,2.0699732303619385,1.710325837135315,1.9571898805490027,1.6700021003990757,1.9319832272774746,1.598550724637681,0.01106861955017946,0.13799000308446385,0.540224834411697,0.46703296703296704,0.4019607843137255
P05,baseline,3437,826,117,40,3.1244454383850098,1.7676100730895996,1.4462730884552002,1.8681552410125732,1.6593507528305054,1.735136058475367,1.4058497436739201,1.8583720993146624,1.6603353650196828,0.032474014614232605,0.009783141697910835,0.5012932104934794,0.507624633431085,0.5042735042735043
P06,baseline,3448,813,119,10,3.985931634902954,1.996479868888855,1.6932536363601685,1.8651936054229736,1.4894587993621826,1.9677077255921054,1.6638156636786783,1.8115559402584522,1.4317884926592443,0.028772143296749597,0.0536376651645214,0.5281053021876159,0.47709810874704495,0.4789915966386555
P07,baseline,3320,944,116,7,3.769477128982544,1.9415141344070435,1.6550155878067017,0.8882083892822266,0.6950696110725403,1.8964702312263098,1.588431692873188,0.8194380833112144,0.5183942667220608,0.0450439031807337,0.06877030597101219,0.5051325121313923,0.5978260869565217,0.5086206896551724
P08,baseline,3448,822,110,47,3.5978617668151855,1.8968030214309692,1.5660964250564575,1.460199236869812,1.2521288394927979,1.8504234165447,1.5217397440457034,1.407076283099449,1.2296561906770724,0.04637960488626924,0.053122953770363024,0.5383522727272727,0.47354497354497355,0.4818181818181818
P09,baseline,3321,942,117,6,3.3746631145477295,1.8370256423950195,1.5098329782485962,2.1282734870910645,1.8661878108978271,1.797606017026595,1.4464991807266503,2.076992530829726,1.8545567317021703,0.03941962536842447,0.05128095626133833,0.5413118564793769,0.43753799392097265,0.42735042735042733
P10,baseline,3318,942,120,8,3.3551788330078125,1.8317147493362427,1.5000200271606445,2.129159927368164,1.7561675310134888,1.797625236209725,1.4462130897670684,1.9817020748069138,1.658634719710669,0.034089513126517756,0.1474578525612502,0.529869667302474,0.44142857142857145,0.4083333333333333
P11,baseline,3433,827,120,31,3.4473745822906494,1.85671067237854,1.5399190187454224,2.2304821014404297,1.9709357023239136,1.844191387859764,1.5145477901201476,2.148840446356554,1.8864307214292648,0.012519284518776042,0.08164165508387589,0.5377630999035151,0.5086206896551724,0.525
P12,baseline,3356,904,120,16,3.2031466960906982,1.7897337675094604,1.478795051574707,1.9715614318847656,1.6125894784927368,1.7400291874228877,1.432759448142015,1.9022870668594083,1.5340484704012713,0.04970458008657275,0.06927436502535733,0.5161033163265306,0.503968253968254,0.4166666666666667
P15,baseline,3364,904,112,18,3.179582357406616,1.783138394355774,1.4674785137176514,1.8274354934692383,1.4699450731277466,1.7399946725316233,1.437402007723633,1.773770783016541,1.3634597418039751,0.043143721824150605,0.05366471045269727,0.5234773596938775,0.48613086770981506,0.6339285714285714
P16,baseline,3448,816,116,18,3.48380970954895,1.8664966821670532,1.5322787761688232,1.7477684020996094,1.5505107641220093,1.8160063651923655,1.491812531277012,1.6951970682502957,1.4785182814625175,0.050490316974687754,0.05257133384931367,0.5336016639772246,0.489247311827957,0.5
P17,baseline,3322,939,119,13,3.3090271949768066,1.81907320022583,1.4895703792572021,1.9575929641723633,1.6289160251617432,1.763093269270412,1.4240773261677562,1.8159723411892035,1.5883086527807992,0.05597993095541809,0.1416206229831598,0.5329936901145127,0.4955510907003444,0.453781512605042
P18,baseline,3481,781,118,14,3.4049019813537598,1.8452377319335938,1.5092673301696777,2.095283031463623,1.7633790969848633,1.8068282721674098,1.4721552264147681,1.814115809679825,1.62838459628297,0.03840945976618393,0.28116722178379794,0.5393645380857657,0.4348576358930112,0.4406779661016949
P19,baseline,3437,823,120,36,4.245367527008057,2.060429096221924,1.7704741954803467,1.6348955631256104,1.2892189025878906,2.0182810392767427,1.7337391569338174,1.61237189649199,1.2241004752206381,0.04214805694518109,0.022523666633620376,0.48111944135547824,0.45816973723950466,0.4166666666666667
P21,baseline,3333,939,108,30,4.33314323425293,2.081620454788208,1.8004077672958374,2.4217770099639893,2.2006680965423584,2.0480797564762843,1.7647831875839342,2.1212591621697743,1.9325432543254324,0.033540698311923745,0.300517847794215,0.49238456555935967,0.4681927710843373,0.26851851851851855
P22,baseline,3327,936,117,12,3.454101085662842,1.8585212230682373,1.5292458534240723,2.3897576332092285,2.118324041366577,1.8048076056606401,1.481917566453184,2.3270672667320715,2.095250206160937,0.05371361740759717,0.06269036647715698,0.503269133772954,0.5682773109243697,0.5213675213675214
