held_out_participant,architecture,train_rows,validation_rows,test_rows,best_epoch,best_validation_mse,validation_rmse,validation_mae,test_rmse,test_mae,dummy_validation_rmse,dummy_validation_mae,dummy_test_rmse,dummy_test_mae,validation_rmse_delta,test_rmse_delta,validation_ba,test_ba,test_accuracy
P01,baseline,3350,931,112,41,2.8870365619659424,1.6991281509399414,1.3735404014587402,1.5540419816970825,1.3584651947021484,1.6730995030928377,1.3815803902079289,1.5247472553799601,1.36295842217484,0.02602864784710368,0.029294726317122377,0.4950007574609908,0.5303482587064676,0.4642857142857143
P02,baseline,3478,815,100,52,3.235003709793091,1.7986116409301758,1.517287254333496,1.4972440004348755,1.1845241785049438,1.7846742237611188,1.51682759642556,1.4345467906008984,1.1621391604370326,0.013937417169056943,0.06269720983397709,0.5208657975751587,0.4556536359815048,0.46
P04,baseline,3496,795,102,41,3.1121394634246826,1.7641257047653198,1.4669967889785767,1.7954597473144531,1.5022598505020142,1.7485629434121226,1.479583135443202,1.8521530398441444,1.5605734284560504,0.01556276135319723,-0.05669329252969124,0.4814706850668057,0.6019536019536019,0.5686274509803921
P05,baseline,3483,795,115,72,3.0782430171966553,1.754492163658142,1.4632707834243774,1.544495701789856,1.2958667278289795,1.7484465379856484,1.4793214842261695,1.5541737854291302,1.3416295297656944,0.006045625672493671,-0.009678083639274249,0.5226720897692667,0.526984126984127,0.5739130434782609
P06,baseline,3456,818,119,44,3.5895304679870605,1.8946056365966797,1.6597819328308105,1.4791686534881592,1.2574530839920044,1.9315757412430126,1.6398793353255456,1.5025487319056285,1.2530491363211953,-0.03697010464633288,-0.023380078417469363,0.49535727370463134,0.53300803673938,0.4789915966386555
P07,baseline,3347,929,117,4,2.790311336517334,1.6704225540161133,1.3583343029022217,2.8644955158233643,2.6674203872680664,1.6073314642227698,1.3360463220280168,2.5018595549266163,2.3756291512491106,0.06309108979334344,0.362635960896748,0.5129010659381863,0.3376470588235294,0.41025641025641024
P08,baseline,3463,820,110,35,3.1475422382354736,1.774131417274475,1.506060004234314,0.9559804201126099,0.7850450873374939,1.7560590887873817,1.4795464950029227,0.9363618503225127,0.7351560654188435,0.018072328487093392,0.01961856979009713,0.4986804052512471,0.513558201058201,0.5181818181818182
P09,baseline,3482,794,117,3,3.4934844970703125,1.869086503982544,1.5888296365737915,1.8702713251113892,1.5832456350326538,1.847328482592118,1.5872323587156403,1.7739377144022772,1.5598953347373794,0.02175802139042604,0.09633361070911195,0.5375796178343949,0.48057432432432434,0.4188034188034188
P10,baseline,3453,820,120,36,3.1172847747802734,1.7655833959579468,1.4932365417480469,1.7219024896621704,1.3204556703567505,1.7567461316869664,1.476319284044274,1.7657961015660482,1.294948836760305,0.008837264270980416,-0.04389361190387775,0.4901092057149552,0.5111607142857143,0.48333333333333334
P11,baseline,3453,820,120,49,3.1077041625976562,1.7628681659698486,1.489367127418518,1.8693119287490845,1.6216509342193604,1.7555823419248258,1.4824652299520389,1.8859260503868411,1.6275943623901918,0.007285824045022871,-0.016614121637756663,0.5190107972448835,0.5254524886877828,0.475
