held_out_participant,architecture,train_rows,validation_rows,test_rows,best_epoch,best_validation_mse,validation_rmse,validation_mae,test_rmse,test_mae,dummy_validation_rmse,dummy_validation_mae,dummy_test_rmse,dummy_test_mae,validation_rmse_delta,test_rmse_delta,validation_ba,test_ba,test_accuracy
P01,baseline,3443,823,114,38,3.6687169075012207,1.9153895378112793,1.6526654958724976,1.492388129234314,1.2613275051116943,1.8971915208991483,1.6322935330423713,1.4712383265060378,1.2505057299071087,0.018198016912130965,0.021149802728276157,0.4955884963607314,0.5179900744416873,0.4824561403508772
P02,baseline,3358,938,84,38,3.3473994731903076,1.8295899629592896,1.5443615913391113,1.7245653867721558,1.4717216491699219,1.812336996235225,1.518426543365873,1.730170917463622,1.4522249638390199,0.017252966724064622,-0.005605530691466187,0.49556835298872115,0.5166101694915254,0.5476190476190477
P04,baseline,3450,828,102,87,3.841282606124878,1.9599189758300781,1.6950756311416626,1.9215949773788452,1.612117886543274,1.9571898805490027,1.6700021003990757,1.9319832272774746,1.598550724637681,0.0027290952810754554,-0.01038824989862941,0.49194618601331785,0.4798534798534798,0.5686274509803921
P05,baseline,3437,826,117,54,3.062610626220703,1.750031590461731,1.4346712827682495,1.8586279153823853,1.6596791744232178,1.735136058475367,1.4058497436739201,1.8583720993146624,1.6603353650196828,0.014895531986363952,0.00025581606772284715,0.490302435596906,0.5187683284457478,0.5128205128205128
P06,baseline,3448,813,119,79,3.8949408531188965,1.9735604524612427,1.6930129528045654,1.8504310846328735,1.4996795654296875,1.9677077255921054,1.6638156636786783,1.8115559402584522,1.4317884926592443,0.0058527268691372925,0.0388751443744213,0.5011308861698183,0.4695626477541371,0.4117647058823529
P07,baseline,3320,944,116,43,3.575079917907715,1.890788197517395,1.6162278652191162,0.833240807056427,0.581692636013031,1.8964702312263098,1.588431692873188,0.8194380833112144,0.5183942667220608,-0.0056820337089147355,0.01380272374521263,0.48854983202687574,0.5878623188405797,0.6637931034482759
P08,baseline,3448,822,110,52,3.4616940021514893,1.860562801361084,1.5425225496292114,1.4499231576919556,1.261522889137268,1.8504234165447,1.5217397440457034,1.407076283099449,1.2296561906770724,0.01013938481638399,0.04284687459250658,0.5028771760154739,0.4269179894179894,0.42727272727272725
P09,baseline,3321,942,117,56,3.28529953956604,1.8125395774841309,1.4851139783859253,2.0618085861206055,1.8396412134170532,1.797606017026595,1.4464991807266503,2.076992530829726,1.8545567317021703,0.0149335604575358,-0.015183944709120656,0.4913673919869527,0.4633738601823708,0.5042735042735043
P10,baseline,3318,942,120,45,3.2960777282714844,1.8155103921890259,1.4865304231643677,1.9816906452178955,1.6806613206863403,1.797625236209725,1.4462130897670684,1.9817020748069138,1.658634719710669,0.01788515597930096,-1.1429589018341346e-05,0.4861536154318413,0.53,0.5416666666666666
P11,baseline,3433,827,120,57,3.4555516242980957,1.858911395072937,1.5439800024032593,2.1732819080352783,1.910581111907959,1.844191387859764,1.5145477901201476,2.148840446356554,1.8864307214292648,0.014720007213173014,0.02444146167872452,0.5046902359709831,0.4852614015572858,0.49166666666666664
