held_out_participant,epoch,train_mse,validation_mse,is_best_validation,epochs_without_improvement,learning_rate
P01,1,9.075011480737615,3.841726064682007,True,0,0.001
P01,2,3.632780506655022,3.818669080734253,True,0,0.001
P01,3,3.609737628036075,3.8154125213623047,True,0,0.001
P01,4,3.5957494532620466,3.7889411449432373,True,0,0.001
P01,5,3.5764703971368297,3.814943552017212,False,1,0.001
P01,6,3.5542342916682914,3.773839235305786,True,0,0.001
P01,7,3.535596073777587,3.7625908851623535,True,0,0.001
P01,8,3.51247446625321,3.777968168258667,False,1,0.001
P01,9,3.4976961546474032,3.790693521499634,False,2,0.001
P01,10,3.4960514108339944,3.7634775638580322,False,3,0.001
P01,11,3.4824395731643394,3.742932081222534,True,0,0.001
P01,12,3.4771211544672647,3.7472474575042725,False,1,0.001
P01,13,3.449878838327196,3.741698980331421,True,0,0.001
P01,14,3.4394048518604703,3.730368137359619,True,0,0.001
P01,15,3.427138696114222,3.7180187702178955,True,0,0.001
P01,16,3.423967668303737,3.7419826984405518,False,1,0.001
P01,17,3.422090945420442,3.7504708766937256,False,2,0.001
P01,18,3.392550062250208,3.743607521057129,False,3,0.001
P01,19,3.3872707309546293,3.7844622135162354,False,4,0.001
P01,20,3.402011701354274,3.8058948516845703,False,5,0.001
P01,21,3.3694717199714095,3.6907787322998047,True,0,0.001
P01,22,3.3394918463848255,3.7376763820648193,False,1,0.001
P01,23,3.3709826359042414,3.7523140907287598,False,2,0.001
P01,24,3.351812214763076,3.7013113498687744,False,3,0.001
P01,25,3.3308965033955045,3.7136070728302,False,4,0.001
P01,26,3.3093735299728535,3.6882541179656982,True,0,0.001
P01,27,3.3155292162188776,3.7330822944641113,False,1,0.001
P01,28,3.3091320947364524,3.6767795085906982,True,0,0.001
P01,29,3.321471635942106,3.7722527980804443,False,1,0.001
P01,30,3.3505047405207597,3.7320778369903564,False,2,0.001
P01,31,3.298399172447346,3.7048449516296387,False,3,0.001
P01,32,3.3090482497656786,3.7151095867156982,False,4,0.001
P01,33,3.282869120438894,3.750059127807617,False,5,0.001
P01,34,3.30782910739934,3.6852831840515137,False,6,0.001
P01,35,3.2873041298654346,3.86621356010437,False,7,0.001
