mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy,representation,source_run
individual,P19,P19,valence,eeg,knn,all,all,1,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5047258297258298,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,all,all,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.624062049062049,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,all,all,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5192640692640692,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,all,all,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5076118326118326,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,all,all,5,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5490981240981241,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,5,5,1,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5102453102453102,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,5,5,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5289321789321789,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,5,5,3,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5803391053391053,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,5,5,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.6077561327561327,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,5,5,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.5732323232323232,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,10,10,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5259740259740259,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,10,10,2,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5482683982683982,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,10,10,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5993145743145742,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,10,10,4,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5803751803751804,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,10,10,5,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5324314574314575,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,20,20,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5239177489177489,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,20,20,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.6261183261183261,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,20,20,3,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.6120851370851371,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,20,20,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5814935064935065,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,20,20,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5262626262626263,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,all,all,1,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,all,all,2,"{""classifier__C"": 10, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5984487734487735,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,all,all,3,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.592929292929293,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,all,all,4,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.5774891774891774,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,all,all,5,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,5,5,1,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,5,5,2,"{""classifier__C"": 10, ""classifier__kernel"": ""linear""}",0.57012987012987,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,5,5,3,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.561940836940837,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,5,5,4,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.6062409812409811,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,5,5,5,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,10,10,1,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5262626262626262,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,10,10,2,"{""classifier__C"": 10, ""classifier__kernel"": ""linear""}",0.6067821067821068,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,10,10,3,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.601911976911977,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,10,10,4,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5962481962481964,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,10,10,5,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5443362193362193,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,20,20,1,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.5436868686868687,with_ICA,p19_final
