target,modality,classifier,feature_count_request,feature_count_resolved,no_ICA,with_ICA,delta_BA_no_ICA_minus_with_ICA
arousal,eeg,gnb,10,10,0.6538461538461539,0.6307692307692309,0.023076923076922995
arousal,eeg,gnb,20,20,0.6244755244755245,0.6398601398601398,-0.01538461538461533
arousal,eeg,gnb,5,5,0.6447552447552447,0.6615384615384616,-0.016783216783216925
arousal,eeg,gnb,all,all,0.6055944055944056,0.6146853146853146,-0.009090909090909038
arousal,eeg,knn,10,10,0.6573426573426573,0.6832167832167833,-0.025874125874125964
arousal,eeg,knn,20,20,0.5818181818181818,0.6034965034965035,-0.021678321678321733
arousal,eeg,knn,5,5,0.6104895104895105,0.6314685314685315,-0.020979020979021046
arousal,eeg,knn,all,all,0.5622377622377622,0.5895104895104895,-0.027272727272727226
arousal,eeg,svm,10,10,0.6314685314685315,0.6524475524475525,-0.020979020979020935
arousal,eeg,svm,20,20,0.555944055944056,0.6328671328671328,-0.07692307692307676
arousal,eeg,svm,5,5,0.641958041958042,0.6832167832167833,-0.041258741258741294
arousal,eeg,svm,all,all,0.5293706293706294,0.5461538461538462,-0.016783216783216814
valence,eeg,gnb,10,10,0.6015277777777778,0.6001388888888889,0.001388888888888884
valence,eeg,gnb,20,20,0.5583333333333333,0.5538888888888889,0.004444444444444473
valence,eeg,gnb,5,5,0.6009722222222222,0.6001388888888889,0.0008333333333333526
valence,eeg,gnb,all,all,0.5356944444444445,0.5463888888888888,-0.01069444444444434
valence,eeg,knn,10,10,0.5520833333333334,0.5690277777777778,-0.01694444444444443
valence,eeg,knn,20,20,0.5390277777777778,0.5795833333333333,-0.04055555555555557
valence,eeg,knn,5,5,0.5902777777777778,0.5448611111111111,0.04541666666666666
valence,eeg,knn,all,all,0.5,0.5120833333333333,-0.012083333333333335
valence,eeg,svm,10,10,0.5645833333333333,0.5452777777777778,0.019305555555555576
valence,eeg,svm,20,20,0.4773611111111111,0.5480555555555556,-0.0706944444444445
valence,eeg,svm,5,5,0.5365277777777778,0.5177777777777778,0.018750000000000044
valence,eeg,svm,all,all,0.4425,0.44430555555555556,-0.0018055555555555602
