representation,source_run,target,modality,classifier,feature_count_request,feature_count_resolved,outer_folds,mean_nested_cv_balanced_accuracy,sd_nested_cv_balanced_accuracy,mean_low_recall,mean_high_recall
no_ICA,p19_no_ica,arousal,eeg,gnb,10,10,5,0.6538461538461539,0.0704959620757201,0.7076923076923076,0.6
no_ICA,p19_no_ica,arousal,eeg,gnb,20,20,5,0.6244755244755245,0.09548719951727262,0.6307692307692307,0.6181818181818182
no_ICA,p19_no_ica,arousal,eeg,gnb,5,5,5,0.6447552447552447,0.06306319916445093,0.7076923076923076,0.5818181818181818
no_ICA,p19_no_ica,arousal,eeg,gnb,all,all,5,0.6055944055944056,0.12201244215604486,0.5384615384615385,0.6727272727272727
no_ICA,p19_no_ica,arousal,eeg,knn,10,10,5,0.6573426573426573,0.05588939637463567,0.7692307692307693,0.5454545454545454
no_ICA,p19_no_ica,arousal,eeg,knn,20,20,5,0.5818181818181818,0.12141479380264812,0.6,0.5636363636363637
no_ICA,p19_no_ica,arousal,eeg,knn,5,5,5,0.6104895104895105,0.1091950820529247,0.7846153846153847,0.43636363636363634
no_ICA,p19_no_ica,arousal,eeg,knn,all,all,5,0.5622377622377622,0.11526270313090518,0.6153846153846154,0.509090909090909
no_ICA,p19_no_ica,arousal,eeg,svm,10,10,5,0.6314685314685315,0.07315968813304626,0.7538461538461538,0.509090909090909
no_ICA,p19_no_ica,arousal,eeg,svm,20,20,5,0.555944055944056,0.047750000992124654,0.5846153846153846,0.5272727272727272
no_ICA,p19_no_ica,arousal,eeg,svm,5,5,5,0.641958041958042,0.050584630388410524,0.7384615384615385,0.5454545454545454
no_ICA,p19_no_ica,arousal,eeg,svm,all,all,5,0.5293706293706294,0.13972020972019222,0.676923076923077,0.38181818181818183
no_ICA,p19_no_ica,valence,eeg,gnb,10,10,5,0.6015277777777778,0.09013129141068611,0.46388888888888885,0.7391666666666666
no_ICA,p19_no_ica,valence,eeg,gnb,20,20,5,0.5583333333333333,0.06472877887628357,0.5083333333333333,0.6083333333333333
no_ICA,p19_no_ica,valence,eeg,gnb,5,5,5,0.6009722222222222,0.08435656520148618,0.43611111111111106,0.7658333333333334
no_ICA,p19_no_ica,valence,eeg,gnb,all,all,5,0.5356944444444445,0.07117903114898827,0.48888888888888893,0.5825
no_ICA,p19_no_ica,valence,eeg,knn,10,10,5,0.5520833333333334,0.014366778378873058,0.2833333333333333,0.8208333333333334
no_ICA,p19_no_ica,valence,eeg,knn,20,20,5,0.5390277777777778,0.09667055787187359,0.28055555555555556,0.7975
no_ICA,p19_no_ica,valence,eeg,knn,5,5,5,0.5902777777777778,0.10320855668421833,0.32222222222222224,0.8583333333333334
no_ICA,p19_no_ica,valence,eeg,knn,all,all,5,0.5,0.04708159206875222,0.2583333333333333,0.7416666666666667
no_ICA,p19_no_ica,valence,eeg,svm,10,10,5,0.5645833333333333,0.08103306747674897,0.2583333333333333,0.8708333333333333
no_ICA,p19_no_ica,valence,eeg,svm,20,20,5,0.4773611111111111,0.10599278961616816,0.25555555555555554,0.6991666666666666
no_ICA,p19_no_ica,valence,eeg,svm,5,5,5,0.5365277777777778,0.0609681092006811,0.1638888888888889,0.9091666666666667
no_ICA,p19_no_ica,valence,eeg,svm,all,all,5,0.4425,0.07775049124532196,0.11666666666666665,0.7683333333333333
with_ICA,p19_final,arousal,eeg,gnb,10,10,5,0.6307692307692309,0.11851032259756568,0.6615384615384616,0.6
with_ICA,p19_final,arousal,eeg,gnb,20,20,5,0.6398601398601398,0.11294842870778395,0.6615384615384616,0.6181818181818182
with_ICA,p19_final,arousal,eeg,gnb,5,5,5,0.6615384615384616,0.06227311010040054,0.7230769230769231,0.6
with_ICA,p19_final,arousal,eeg,gnb,all,all,5,0.6146853146853146,0.11462453617193157,0.5384615384615385,0.6909090909090909
with_ICA,p19_final,arousal,eeg,knn,10,10,5,0.6832167832167833,0.0756651758545961,0.7846153846153847,0.5818181818181818
with_ICA,p19_final,arousal,eeg,knn,20,20,5,0.6034965034965035,0.09647435457424873,0.6615384615384616,0.5454545454545454
with_ICA,p19_final,arousal,eeg,knn,5,5,5,0.6314685314685315,0.12540218442505294,0.7538461538461538,0.509090909090909
with_ICA,p19_final,arousal,eeg,knn,all,all,5,0.5895104895104895,0.12476688615759074,0.6153846153846154,0.5636363636363637
with_ICA,p19_final,arousal,eeg,svm,10,10,5,0.6524475524475525,0.07521953459874045,0.7230769230769231,0.5818181818181818
with_ICA,p19_final,arousal,eeg,svm,20,20,5,0.6328671328671328,0.10734322680425697,0.7384615384615385,0.5272727272727272
with_ICA,p19_final,arousal,eeg,svm,5,5,5,0.6832167832167833,0.07282470611626485,0.7846153846153847,0.5818181818181818
with_ICA,p19_final,arousal,eeg,svm,all,all,5,0.5461538461538462,0.1355859120166461,0.6923076923076923,0.4
with_ICA,p19_final,valence,eeg,gnb,10,10,5,0.6001388888888889,0.08376681239025809,0.48611111111111105,0.7141666666666666
with_ICA,p19_final,valence,eeg,gnb,20,20,5,0.5538888888888889,0.05498316240585067,0.48611111111111105,0.6216666666666667
with_ICA,p19_final,valence,eeg,gnb,5,5,5,0.6001388888888889,0.09931089729222899,0.4611111111111111,0.7391666666666666
with_ICA,p19_final,valence,eeg,gnb,all,all,5,0.5463888888888888,0.07223290519280388,0.5361111111111111,0.5566666666666666
with_ICA,p19_final,valence,eeg,knn,10,10,5,0.5690277777777778,0.030860223509587982,0.33055555555555555,0.8074999999999999
with_ICA,p19_final,valence,eeg,knn,20,20,5,0.5795833333333333,0.1011240834169268,0.325,0.8341666666666667
with_ICA,p19_final,valence,eeg,knn,5,5,5,0.5448611111111111,0.08808720514283866,0.2972222222222222,0.7925
with_ICA,p19_final,valence,eeg,knn,all,all,5,0.5120833333333333,0.1107716167628103,0.2583333333333333,0.7658333333333334
with_ICA,p19_final,valence,eeg,svm,10,10,5,0.5452777777777778,0.07088335651957715,0.25555555555555554,0.835
with_ICA,p19_final,valence,eeg,svm,20,20,5,0.5480555555555556,0.09038241798868561,0.2777777777777778,0.8183333333333334
with_ICA,p19_final,valence,eeg,svm,5,5,5,0.5177777777777778,0.028974232912011764,0.08888888888888888,0.9466666666666667
with_ICA,p19_final,valence,eeg,svm,all,all,5,0.44430555555555556,0.06692729725070296,0.09444444444444444,0.7941666666666667
