summary_type,group,count,mean_original_BA,mean_optimized_classifier_BA,mean_feature_family_BA,mean_BA_delta_vs_original,mean_BA_delta_vs_optimized_classifier,improved_vs_original,tied_vs_original,worsened_vs_original,improved_vs_optimized_classifier,tied_vs_optimized_classifier,worsened_vs_optimized_classifier
overall,all,10,0.6599203231409113,0.6698024655083479,0.6502354573531044,-0.009684865787806963,-0.01956700815524348,4,0,6,4,0,6
target,arousal,5,0.6562695507107271,0.6773757157874806,0.6461220413573354,-0.010147509353391659,-0.03125367443014502,2,0,3,2,0,3
target,valence,5,0.6635710955710955,0.6622292152292153,0.6543488733488734,-0.009222222222222265,-0.007880341880341946,2,0,3,2,0,3
feature_family,all_eeg,1,0.6882917082917083,0.6776823176823178,0.6699900099900099,-0.018301698301698366,-0.007692307692307887,0,0,1,0,0,1
feature_family,bandpower_all,1,0.6541269841269841,0.7028571428571428,0.6026984126984127,-0.05142857142857138,-0.10015873015873011,0,0,1,0,0,1
feature_family,bandpower_beta_gamma,1,0.6336507936507937,0.6336507936507937,0.6438095238095238,0.010158730158730145,0.010158730158730145,1,0,0,1,0,0
feature_family,entropy_all_bands,2,0.6484714958244369,0.655621829151241,0.6512971668854022,0.002825671060965318,-0.004324662265838719,1,0,1,1,0,1
feature_family,hjorth,3,0.676934546934547,0.6785808635808636,0.6499469049469049,-0.026987641987641992,-0.02863395863395864,1,0,2,1,0,2
feature_family,paper_compact,1,0.6525000000000001,0.6950000000000001,0.705,0.05249999999999988,0.009999999999999898,1,0,0,1,0,0
feature_family,time_statistical,1,0.642887112887113,0.6418481518481519,0.6284215784215784,-0.014465534465534557,-0.013426573426573496,0,0,1,0,0,1
channel_subset,all_channels,9,0.6607448034899015,0.6670027394537199,0.644150508170116,-0.0165942953197855,-0.022852231283603856,3,0,6,3,0,6
channel_subset,frontal_central,1,0.6525000000000001,0.6950000000000001,0.705,0.05249999999999988,0.009999999999999898,1,0,0,1,0,0
classifier,gnb,2,0.665952380952381,0.6903174603174603,0.6115079365079366,-0.054444444444444406,-0.07880952380952377,0,0,2,0,0,2
classifier,logreg,3,0.6486246868599809,0.653398235751177,0.6621631092219328,0.013538422361951833,0.008764873470755755,2,0,1,2,0,1
classifier,svm,5,0.6642848817848818,0.6714390054390054,0.6585698745698746,-0.005715007215007261,-0.012869130869130907,2,0,3,2,0,3
feature_count,5,2,0.6603324453324454,0.6598129648129649,0.6243695193695193,-0.035962925962925996,-0.035443445443445465,0,0,2,0,0,2
feature_count,10,1,0.6385814185814185,0.6504395604395604,0.6591697191697191,0.020588300588300634,0.0087301587301587,1,0,0,1,0,0
feature_count,15,1,0.6779420579420579,0.6791708291708292,0.6452647352647353,-0.032677322677322596,-0.03390609390609389,0,0,1,0,0,1
feature_count,20,1,0.6541269841269841,0.7028571428571428,0.6026984126984127,-0.05142857142857138,-0.10015873015873011,0,0,1,0,0,1
feature_count,10,1,0.6525000000000001,0.6950000000000001,0.705,0.05249999999999988,0.009999999999999898,1,0,0,1,0,0
feature_count,3,1,0.6882917082917083,0.6776823176823178,0.6699900099900099,-0.018301698301698366,-0.007692307692307887,0,0,1,0,0,1
feature_count,5,1,0.7144444444444444,0.7075252525252524,0.6703535353535353,-0.04409090909090918,-0.03717171717171719,0,0,1,0,0,1
feature_count,8,1,0.619000933706816,0.6320728291316527,0.6573295985060692,0.03832866479925323,0.025256769374416455,1,0,0,1,0,0
feature_count,all,1,0.6336507936507937,0.6336507936507937,0.6438095238095238,0.010158730158730145,0.010158730158730145,1,0,0,1,0,0
