participant,target,previous_balanced_accuracy,previous_accuracy,previous_classifier,previous_modality,previous_feature_count,optimized_classifier_balanced_accuracy,optimized_classifier_accuracy,optimized_classifier_modality,optimized_classifier,optimized_classifier_feature_count,winning_feature_family,winning_channel_subset,winning_classifier,winning_feature_count,feature_family_balanced_accuracy,feature_family_accuracy,winning_hyperparameters,BA_delta_vs_original,accuracy_delta_vs_original,BA_delta_vs_optimized_classifier,accuracy_delta_vs_optimized_classifier
P06,arousal,0.6779420579420579,0.6804347826086957,svm,multimodal,10,0.6791708291708292,0.6963768115942028,multimodal,svm,15,entropy_all_bands,all_channels,svm,15,0.6452647352647353,0.6550724637681159,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5543884220354809, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6753812636165577, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.595034595034595, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.62006512006512, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.6124338624338624, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}}]",-0.032677322677322596,-0.025362318840579823,-0.03390609390609389,-0.04130434782608694
P06,valence,0.6336507936507937,0.6333333333333333,gnb,face,10,0.6336507936507937,0.6333333333333333,face,gnb,10,bandpower_beta_gamma,all_channels,svm,all,0.6438095238095238,0.6898550724637681,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6061515969410706, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.607591093117409, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.7285200179937021, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5513945119208277, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5890238416554207, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}]",0.010158730158730145,0.05652173913043479,0.010158730158730145,0.05652173913043479
P17,arousal,0.619000933706816,0.756159420289855,knn,eeg,10,0.6320728291316527,0.6728260869565217,eeg,logreg,8,entropy_all_bands,all_channels,logreg,8,0.6573295985060692,0.6887681159420289,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5006038647342995, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5380434782608695, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5245571658615137, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5769927536231884, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5744766505636071, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced""}}]",0.03832866479925323,-0.06739130434782614,0.025256769374416455,0.01594202898550723
P17,valence,0.6882917082917083,0.7,svm,face,10,0.6776823176823178,0.6887681159420289,multimodal,logreg,3,all_eeg,all_channels,logreg,3,0.6699900099900099,0.6804347826086957,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5521978021978021, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": null}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6231176231176231, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6798163709928415, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": null}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.6620759414877062, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": null}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.6759259259259259, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}}]",-0.018301698301698366,-0.019565217391304235,-0.007692307692307887,-0.008333333333333193
P22,arousal,0.6777777777777778,0.7,gnb,face,10,0.6777777777777778,0.7000000000000001,face,gnb,10,hjorth,all_channels,gnb,5,0.6203174603174604,0.6768115942028986,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6118421052631579, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6293859649122807, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.46228070175438596, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5894736842105263, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5173976608187134, ""parameters"": {""classifier__var_smoothing"": 1e-11}}]",-0.057460317460317434,-0.023188405797101352,-0.057460317460317434,-0.023188405797101463
P22,valence,0.6385814185814185,0.6583333333333333,svm,face,5,0.6504395604395604,0.6583333333333333,face,svm,8,hjorth,all_channels,logreg,10,0.6591697191697191,0.6764492753623188,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5719373219373219, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6160968660968661, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": null}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6051078551078551, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": ""balanced""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.557804768331084, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": ""balanced""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5983280851701904, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced""}}]",0.020588300588300634,0.018115942028985477,0.0087301587301587,0.018115942028985477
P36,arousal,0.6525000000000001,0.8038095238095238,knn,eeg,10,0.6950000000000001,0.7247619047619047,eeg,knn,all,paper_compact,frontal_central,svm,10,0.705,0.7066666666666667,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6803030303030303, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6576479076479077, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.7160894660894662, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.7518037518037518, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5339105339105338, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}]",0.05249999999999988,-0.09714285714285709,0.009999999999999898,-0.018095238095238053
P36,valence,0.7144444444444444,0.7171428571428571,svm,multimodal,5,0.7075252525252524,0.7066666666666668,multimodal,logreg,5,hjorth,all_channels,svm,5,0.6703535353535353,0.6766666666666666,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6138888888888889, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5824175824175825, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6258547008547009, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5920940170940171, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.6408119658119659, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}]",-0.04409090909090918,-0.04047619047619044,-0.03717171717171719,-0.030000000000000138
P40,arousal,0.6541269841269841,0.6833333333333333,svm,face,10,0.7028571428571428,0.7166666666666667,face,knn,10,bandpower_all,all_channels,gnb,20,0.6026984126984127,0.6,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.46610436347278456, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5373031938821413, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5016306792622581, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5071412505623031, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.4694444444444444, ""parameters"": {""classifier__var_smoothing"": 1e-11}}]",-0.05142857142857138,-0.08333333333333337,-0.10015873015873011,-0.1166666666666667
P40,valence,0.642887112887113,0.65,svm,multimodal,all,0.6418481518481519,0.65,multimodal,svm,30,time_statistical,all_channels,svm,5,0.6284215784215784,0.6333333333333333,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6250700280112045, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5811079987550576, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6332866479925303, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.610192966075319, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.6376128229069405, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}]",-0.014465534465534557,-0.01666666666666672,-0.013426573426573496,-0.01666666666666672
