feature_family,channel_subset,feature_column,parsed_feature_type,parsed_channel,parsed_frequency_band
all_eeg,all_channels,eeg_sd__C3,eeg_sd,C3,
all_eeg,all_channels,eeg_sd__C4,eeg_sd,C4,
all_eeg,all_channels,eeg_sd__Cz,eeg_sd,Cz,
all_eeg,all_channels,eeg_sd__Fz,eeg_sd,Fz,
all_eeg,all_channels,eeg_sd__Oz,eeg_sd,Oz,
all_eeg,all_channels,eeg_sd__PO7,eeg_sd,PO7,
all_eeg,all_channels,eeg_sd__PO8,eeg_sd,PO8,
all_eeg,all_channels,eeg_sd__Pz,eeg_sd,Pz,
all_eeg,all_channels,eeg_se__C3,eeg_se,C3,
all_eeg,all_channels,eeg_se__C4,eeg_se,C4,
all_eeg,all_channels,eeg_se__Cz,eeg_se,Cz,
all_eeg,all_channels,eeg_se__Fz,eeg_se,Fz,
all_eeg,all_channels,eeg_se__Oz,eeg_se,Oz,
all_eeg,all_channels,eeg_se__PO7,eeg_se,PO7,
all_eeg,all_channels,eeg_se__PO8,eeg_se,PO8,
all_eeg,all_channels,eeg_se__Pz,eeg_se,Pz,
all_eeg,all_channels,eeg_hm__C3,eeg_hm,C3,
all_eeg,all_channels,eeg_hm__C4,eeg_hm,C4,
all_eeg,all_channels,eeg_hm__Cz,eeg_hm,Cz,
all_eeg,all_channels,eeg_hm__Fz,eeg_hm,Fz,
all_eeg,all_channels,eeg_hm__Oz,eeg_hm,Oz,
all_eeg,all_channels,eeg_hm__PO7,eeg_hm,PO7,
all_eeg,all_channels,eeg_hm__PO8,eeg_hm,PO8,
all_eeg,all_channels,eeg_hm__Pz,eeg_hm,Pz,
all_eeg,all_channels,eeg_hc__C3,eeg_hc,C3,
all_eeg,all_channels,eeg_hc__C4,eeg_hc,C4,
all_eeg,all_channels,eeg_hc__Cz,eeg_hc,Cz,
all_eeg,all_channels,eeg_hc__Fz,eeg_hc,Fz,
all_eeg,all_channels,eeg_hc__Oz,eeg_hc,Oz,
all_eeg,all_channels,eeg_hc__PO7,eeg_hc,PO7,
all_eeg,all_channels,eeg_hc__PO8,eeg_hc,PO8,
all_eeg,all_channels,eeg_hc__Pz,eeg_hc,Pz,
all_eeg,all_channels,eeg_mf_hz__C3,eeg_mf_hz,C3,
all_eeg,all_channels,eeg_mf_hz__C4,eeg_mf_hz,C4,
all_eeg,all_channels,eeg_mf_hz__Cz,eeg_mf_hz,Cz,
all_eeg,all_channels,eeg_mf_hz__Fz,eeg_mf_hz,Fz,
all_eeg,all_channels,eeg_mf_hz__Oz,eeg_mf_hz,Oz,
all_eeg,all_channels,eeg_mf_hz__PO7,eeg_mf_hz,PO7,
all_eeg,all_channels,eeg_mf_hz__PO8,eeg_mf_hz,PO8,
