participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size,absolute_rank
P01,arousal,logreg,paper_compact,frontal_central,10,secondary,32,10,5,0.5818070818070817,0.08304968341089072,"[0.5119047619047619, 0.6150793650793651, 0.5854700854700855, 0.49572649572649574, 0.7008547008547008]",0.598814229249012,45,67,112,1
P01,arousal,logreg,paper_compact,all_channels,8,secondary,64,8,5,0.5368131868131869,0.07855069632826378,"[0.4920634920634921, 0.5595238095238095, 0.4358974358974359, 0.6452991452991452, 0.5512820512820513]",0.5628458498023716,45,67,112,2
P01,arousal,svm,paper_compact,frontal_central,8,secondary,32,8,5,0.5362637362637364,0.10008263315759088,"[0.42063492063492064, 0.5, 0.49145299145299143, 0.5897435897435898, 0.6794871794871795]",0.5636363636363637,45,67,112,3
P01,valence,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.5632051282051282,0.08927063337532669,"[0.5230769230769231, 0.4346153846153846, 0.6515151515151515, 0.6401515151515151, 0.5666666666666667]",0.5877470355731226,52,62,114,1
P01,valence,gnb,hjorth,all_channels,10,primary,16,10,5,0.5589160839160839,0.08023476703144262,"[0.5846153846153846, 0.6076923076923078, 0.6022727272727273, 0.4166666666666667, 0.5833333333333333]",0.5703557312252965,52,62,114,2
P01,valence,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.5541142191142191,0.07984624687115324,"[0.5230769230769231, 0.4346153846153846, 0.606060606060606, 0.6401515151515151, 0.5666666666666667]",0.5790513833992095,52,62,114,3
P02,arousal,svm,paper_compact,frontal_central,8,secondary,32,8,5,0.4967032967032967,0.06790900477697441,"[0.5208333333333333, 0.5, 0.39583333333333337, 0.5833333333333333, 0.48351648351648346]",0.54,39,61,100,1
P02,arousal,svm,paper_compact,frontal_central,10,secondary,32,10,5,0.4956043956043955,0.03739906447154279,"[0.4375, 0.5208333333333333, 0.5208333333333333, 0.5208333333333333, 0.478021978021978]",0.52,39,61,100,2
P02,arousal,gnb,all_eeg,all_channels,8,primary,120,8,5,0.4593864468864469,0.09348029574487456,"[0.375, 0.5, 0.4166666666666667, 0.6041666666666667, 0.4010989010989011]",0.49000000000000005,39,61,100,3
P02,valence,gnb,paper_compact,all_channels,10,secondary,64,10,5,0.6842424242424243,0.06638931632660525,"[0.8, 0.675, 0.6333333333333333, 0.6583333333333333, 0.6545454545454545]",0.75,25,59,84,1
