participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size,modality
P01,arousal,gnb,all_eeg,all_channels,10,primary,120,10,5,0.4734432234432234,0.0698149557231558,"[0.4007936507936508, 0.4365079365079365, 0.44017094017094016, 0.5170940170940171, 0.5726495726495726]",0.5106719367588932,45,67,112,eeg
P01,arousal,gnb,all_eeg,all_channels,8,primary,120,8,5,0.4726495726495726,0.0451102738916295,"[0.41666666666666663, 0.4722222222222222, 0.44017094017094016, 0.5170940170940171, 0.5170940170940171]",0.5189723320158103,45,67,112,eeg
P01,arousal,gnb,paper_compact,all_channels,10,secondary,64,10,5,0.4794871794871795,0.0773887488155151,"[0.42063492063492064, 0.5238095238095238, 0.4017094017094017, 0.46153846153846156, 0.5897435897435898]",0.5185770750988141,45,67,112,eeg
P01,arousal,gnb,paper_compact,all_channels,8,secondary,64,8,5,0.4678266178266178,0.1076490205905245,"[0.4563492063492064, 0.46825396825396826, 0.32478632478632474, 0.46153846153846156, 0.6282051282051282]",0.5094861660079051,45,67,112,eeg
P01,arousal,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.5344932844932846,0.1171576758310815,"[0.42063492063492064, 0.6150793650793651, 0.4017094017094017, 0.5726495726495726, 0.6623931623931625]",0.5632411067193676,45,67,112,eeg
P01,arousal,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.5271062271062271,0.1280148232905757,"[0.4563492063492064, 0.6150793650793651, 0.34615384615384615, 0.6666666666666666, 0.5512820512820513]",0.5628458498023716,45,67,112,eeg
P01,arousal,logreg,all_eeg,all_channels,10,primary,120,10,5,0.5288156288156288,0.0943140952883342,"[0.41666666666666663, 0.5436507936507937, 0.5128205128205128, 0.6752136752136753, 0.49572649572649574]",0.5454545454545454,45,67,112,eeg
P01,arousal,logreg,all_eeg,all_channels,8,primary,120,8,5,0.4886446886446887,0.1249796669614698,"[0.43253968253968256, 0.4722222222222222, 0.3632478632478633, 0.6965811965811965, 0.4786324786324786]",0.5185770750988142,45,67,112,eeg
P01,arousal,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.5313186813186813,0.1102975420771397,"[0.42063492063492064, 0.43253968253968256, 0.5299145299145299, 0.6837606837606838, 0.5897435897435898]",0.5557312252964427,45,67,112,eeg
P01,arousal,logreg,paper_compact,all_channels,8,secondary,64,8,5,0.5368131868131869,0.0785506963282637,"[0.4920634920634921, 0.5595238095238095, 0.4358974358974359, 0.6452991452991452, 0.5512820512820513]",0.5628458498023716,45,67,112,eeg
P01,arousal,logreg,paper_compact,frontal_central,10,secondary,32,10,5,0.5818070818070817,0.0830496834108907,"[0.5119047619047619, 0.6150793650793651, 0.5854700854700855, 0.49572649572649574, 0.7008547008547008]",0.598814229249012,45,67,112,eeg
P01,arousal,logreg,paper_compact,frontal_central,8,secondary,32,8,5,0.521978021978022,0.0916391717189881,"[0.42063492063492064, 0.5952380952380952, 0.4358974358974359, 0.5341880341880342, 0.6239316239316239]",0.5450592885375494,45,67,112,eeg
P01,arousal,svm,all_eeg,all_channels,10,primary,120,10,5,0.5051892551892552,0.0640254783905959,"[0.3968253968253968, 0.5436507936507937, 0.5299145299145299, 0.5, 0.5555555555555556]",0.5545454545454545,45,67,112,eeg
P01,arousal,svm,all_eeg,all_channels,8,primary,120,8,5,0.4865079365079365,0.1566660428899589,"[0.376984126984127, 0.5, 0.32478632478632474, 0.7307692307692308, 0.5]",0.5359683794466403,45,67,112,eeg
P01,arousal,svm,paper_compact,all_channels,10,secondary,64,10,5,0.5000610500610501,0.0708681825564623,"[0.44047619047619047, 0.5, 0.4188034188034188, 0.5726495726495726, 0.5683760683760684]",0.5363636363636364,45,67,112,eeg
P01,arousal,svm,paper_compact,all_channels,8,secondary,64,8,5,0.5029304029304029,0.0620227758645612,"[0.42063492063492064, 0.5, 0.47435897435897434, 0.5854700854700855, 0.5341880341880342]",0.5363636363636364,45,67,112,eeg
