participant,target,modality,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size,absolute_rank
P01,arousal,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.6090476190476191,0.09733569665485245,"[0.5222222222222223, 0.7071428571428571, 0.6571428571428571, 0.48809523809523814, 0.6706349206349207]",0.6434782608695653,47,71,118,1
P01,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.6033333333333333,0.10010922480423323,"[0.5222222222222223, 0.7285714285714285, 0.6071428571428572, 0.48809523809523814, 0.6706349206349207]",0.6434782608695653,47,71,118,2
P01,arousal,face,svm,face_geometry,all_face,all,primary,10,all,5,0.5922222222222222,0.09364642174352733,"[0.5222222222222223, 0.7285714285714285, 0.6071428571428572, 0.48809523809523814, 0.6150793650793651]",0.6347826086956522,47,71,118,3
P01,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.6086080586080586,0.07180146448346611,"[0.4920634920634921, 0.6150793650793651, 0.6068376068376069, 0.6452991452991452, 0.6837606837606838]",0.6351778656126482,45,67,112,1
P01,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5948717948717949,0.10378182678156184,"[0.4563492063492064, 0.5992063492063493, 0.5512820512820513, 0.6282051282051282, 0.7393162393162394]",0.6177865612648221,45,67,112,2
P01,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5858363858363858,0.08843370553546158,"[0.45238095238095233, 0.5793650793650793, 0.5683760683760684, 0.6452991452991452, 0.6837606837606838]",0.6173913043478261,45,67,112,3
P01,valence,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.576003996003996,0.08879740512372773,"[0.6142857142857143, 0.5174825174825175, 0.6643356643356644, 0.6328671328671329, 0.45104895104895104]",0.5666666666666667,54,66,120,1
P01,valence,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5744555444555445,0.06229597933357094,"[0.5785714285714286, 0.47902097902097907, 0.6258741258741258, 0.6328671328671329, 0.5559440559440559]",0.5583333333333333,54,66,120,2
P01,valence,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.566003996003996,0.08256306295560634,"[0.5642857142857143, 0.5174825174825175, 0.6643356643356644, 0.6258741258741258, 0.458041958041958]",0.5583333333333333,54,66,120,3
P01,valence,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5628205128205128,0.07607124189921635,"[0.5846153846153846, 0.4461538461538461, 0.6098484848484849, 0.6401515151515151, 0.5333333333333333]",0.5786561264822134,52,62,114,1
P01,valence,multimodal,svm,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5604778554778556,0.08164608525145242,"[0.5230769230769231, 0.5346153846153846, 0.696969696969697, 0.5643939393939394, 0.4833333333333333]",0.5782608695652174,52,62,114,2
P01,valence,multimodal,svm,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5473193473193473,0.07709699911552075,"[0.5192307692307692, 0.49615384615384617, 0.5303030303030303, 0.5075757575757576, 0.6833333333333333]",0.5537549407114624,52,62,114,3
P02,arousal,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5078296703296703,0.10191480424922351,"[0.5, 0.5470085470085471, 0.5341880341880342, 0.3418803418803419, 0.6160714285714286]",0.5545454545454545,44,66,110,1
P02,arousal,face,svm,face_geometry,all_face,5,primary,10,5,5,0.49050671550671554,0.06830383989262644,"[0.5, 0.46153846153846156, 0.5, 0.4017094017094017, 0.5892857142857143]",0.5454545454545455,44,66,110,2
P02,arousal,face,svm,face_geometry,all_face,all,primary,10,all,5,0.4641788766788767,0.08496279798725231,"[0.5, 0.45726495726495725, 0.5341880341880342, 0.3205128205128205, 0.5089285714285714]",0.509090909090909,44,66,110,3
P02,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5004120879120879,0.14929464458421898,"[0.3333333333333333, 0.625, 0.4166666666666667, 0.6875, 0.43956043956043955]",0.54,39,61,100,1
P02,arousal,multimodal,svm,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.4789377289377289,0.06250209646418792,"[0.4583333333333333, 0.5833333333333333, 0.4166666666666667, 0.4583333333333333, 0.478021978021978]",0.53,39,61,100,2
P02,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.44848901098901095,0.10993839083603138,"[0.375, 0.4375, 0.3125, 0.5625, 0.554945054945055]",0.49000000000000005,39,61,100,3
P02,valence,face,svm,face_geometry,all_face,all,primary,10,all,5,0.5674358974358975,0.09136628208285405,"[0.5897435897435898, 0.5064102564102564, 0.717948717948718, 0.5230769230769231, 0.5]",0.6549707602339181,29,64,93,1
P02,valence,face,svm,face_geometry,all_face,5,primary,10,5,5,0.5651282051282052,0.10976859887574997,"[0.5512820512820513, 0.5448717948717949, 0.5897435897435898, 0.7230769230769231, 0.41666666666666663]",0.6555555555555556,29,64,93,2
P02,valence,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.5435897435897437,0.06590417006397371,"[0.5448717948717949, 0.6282051282051282, 0.5, 0.46153846153846156, 0.5833333333333334]",0.6877192982456141,29,64,93,3
P02,valence,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.6643939393939393,0.046911620987285546,"[0.6583333333333333, 0.6916666666666667, 0.5916666666666667, 0.7166666666666667, 0.6636363636363636]",0.6904411764705882,25,59,84,1
P02,valence,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.6301515151515151,0.07344852273038856,"[0.7583333333333333, 0.5916666666666667, 0.575, 0.6166666666666667, 0.6090909090909091]",0.6904411764705882,25,59,84,2
P02,valence,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.6142424242424243,0.11830971129607461,"[0.775, 0.575, 0.45, 0.6166666666666667, 0.6545454545454545]",0.6676470588235295,25,59,84,3
P03,arousal,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.575,0.20497289793748072,"[0.7166666666666667, 0.8166666666666667, 0.5166666666666667, 0.2833333333333333, 0.5416666666666667]",0.5927272727272728,30,24,54,1
P03,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.545,0.10165300454651272,"[0.5166666666666667, 0.7166666666666667, 0.5, 0.45, 0.5416666666666667]",0.5745454545454545,30,24,54,2
P03,arousal,face,svm,face_geometry,all_face,all,primary,10,all,5,0.5016666666666667,0.1588150566609546,"[0.6333333333333333, 0.55, 0.25, 0.45, 0.625]",0.5218181818181817,30,24,54,3
P03,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5466666666666666,0.22373098926066448,"[0.5166666666666667, 0.4166666666666667, 0.55, 0.9166666666666667, 0.3333333333333333]",0.5690909090909091,30,23,53,1
P03,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.525,0.181429508808977,"[0.35, 0.7, 0.5333333333333333, 0.7083333333333333, 0.3333333333333333]",0.5472727272727272,30,23,53,2
P03,arousal,multimodal,svm,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5050000000000001,0.14476993242152647,"[0.5166666666666667, 0.35, 0.3666666666666667, 0.6666666666666667, 0.625]",0.5145454545454545,30,23,53,3
P03,valence,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.6097619047619048,0.18209499838099386,"[0.7333333333333334, 0.3333333333333333, 0.8035714285714286, 0.5535714285714286, 0.625]",0.6490909090909092,22,32,54,1
P03,valence,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5954761904761905,0.1902256536845856,"[0.7333333333333334, 0.3333333333333333, 0.8035714285714286, 0.48214285714285715, 0.625]",0.6309090909090909,22,32,54,2
P03,valence,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5585714285714285,0.1566537301070823,"[0.7333333333333334, 0.3333333333333333, 0.6607142857142857, 0.48214285714285715, 0.5833333333333333]",0.5745454545454545,22,32,54,3
P03,valence,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.6054761904761905,0.08910537342773527,"[0.5535714285714286, 0.7321428571428572, 0.5333333333333333, 0.5416666666666667, 0.6666666666666667]",0.6418181818181818,21,32,53,1
P03,valence,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5971428571428572,0.17192100239865882,"[0.6785714285714286, 0.8571428571428572, 0.45, 0.4583333333333333, 0.5416666666666667]",0.62,21,32,53,2
P03,valence,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5578571428571429,0.1003981585958284,"[0.48214285714285715, 0.7321428571428572, 0.5333333333333333, 0.5416666666666667, 0.5]",0.5836363636363636,21,32,53,3
P04,arousal,face,svm,face_geometry,all_face,all,primary,10,all,5,0.6088888888888888,0.0897183521697171,"[0.6111111111111112, 0.6333333333333333, 0.45555555555555555, 0.6666666666666666, 0.6777777777777778]",0.6166666666666667,45,75,120,1
P04,arousal,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.5555555555555556,0.08713548411865626,"[0.5555555555555556, 0.5777777777777777, 0.47777777777777775, 0.47777777777777775, 0.6888888888888889]",0.6,45,75,120,2
P04,arousal,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.5466666666666666,0.06497862896539311,"[0.5555555555555556, 0.5, 0.5, 0.6555555555555556, 0.5222222222222221]",0.5666666666666667,45,75,120,3
