participant,target,modality,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size
P01,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.6033333333333333,0.10010922480423323,"[0.5222222222222223, 0.7285714285714285, 0.6071428571428572, 0.48809523809523814, 0.6706349206349207]",0.6434782608695653,47,71,118
P01,arousal,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.5895238095238096,0.11743001539640108,"[0.48888888888888893, 0.7285714285714285, 0.6071428571428572, 0.45238095238095233, 0.6706349206349207]",0.6264492753623189,47,71,118
P01,arousal,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.6090476190476191,0.09733569665485245,"[0.5222222222222223, 0.7071428571428571, 0.6571428571428571, 0.48809523809523814, 0.6706349206349207]",0.6434782608695653,47,71,118
P01,arousal,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.5785714285714285,0.13616027156084962,"[0.4555555555555556, 0.7285714285714285, 0.6214285714285714, 0.41666666666666663, 0.6706349206349207]",0.6094202898550725,47,71,118
P01,arousal,face,svm,face_geometry,all_face,5,primary,10,5,5,0.5750793650793651,0.06552451319297316,"[0.5222222222222223, 0.6142857142857143, 0.6357142857142857, 0.48809523809523814, 0.6150793650793651]",0.6181159420289856,47,71,118
P01,arousal,face,svm,face_geometry,all_face,all,primary,10,all,5,0.5922222222222222,0.09364642174352733,"[0.5222222222222223, 0.7285714285714285, 0.6071428571428572, 0.48809523809523814, 0.6150793650793651]",0.6347826086956522,47,71,118
P01,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.6086080586080586,0.07180146448346611,"[0.4920634920634921, 0.6150793650793651, 0.6068376068376069, 0.6452991452991452, 0.6837606837606838]",0.6351778656126482,45,67,112
P01,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5948717948717949,0.10378182678156184,"[0.4563492063492064, 0.5992063492063493, 0.5512820512820513, 0.6282051282051282, 0.7393162393162394]",0.6177865612648221,45,67,112
P01,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5858363858363858,0.08843370553546158,"[0.45238095238095233, 0.5793650793650793, 0.5683760683760684, 0.6452991452991452, 0.6837606837606838]",0.6173913043478261,45,67,112
P01,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5823565323565324,0.1283493868311755,"[0.36507936507936506, 0.6706349206349207, 0.6068376068376069, 0.5854700854700855, 0.6837606837606838]",0.5996047430830039,45,67,112
P01,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5270451770451771,0.1399970550197172,"[0.30952380952380953, 0.5436507936507937, 0.5512820512820513, 0.5299145299145299, 0.7008547008547008]",0.5466403162055335,45,67,112
P01,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5550671550671551,0.10751000686781023,"[0.3968253968253968, 0.5793650793650793, 0.5128205128205128, 0.6025641025641025, 0.6837606837606838]",0.5814229249011857,45,67,112
P01,arousal,multimodal,svm,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5275946275946276,0.10331845820845342,"[0.36507936507936506, 0.5634920634920635, 0.6452991452991452, 0.5085470085470085, 0.5555555555555556]",0.5462450592885375,45,67,112
P01,arousal,multimodal,svm,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5347374847374848,0.13202920847834712,"[0.32936507936507936, 0.5238095238095238, 0.6068376068376069, 0.5299145299145299, 0.6837606837606838]",0.5557312252964427,45,67,112
P01,arousal,multimodal,svm,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5437118437118438,0.09228721888581336,"[0.3968253968253968, 0.5952380952380952, 0.5128205128205128, 0.5854700854700855, 0.6282051282051282]",0.5810276679841897,45,67,112
P01,valence,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5744555444555445,0.06229597933357094,"[0.5785714285714286, 0.47902097902097907, 0.6258741258741258, 0.6328671328671329, 0.5559440559440559]",0.5583333333333333,54,66,120
P01,valence,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.5653646353646354,0.09531714011783149,"[0.5785714285714286, 0.43356643356643354, 0.6713286713286714, 0.6328671328671329, 0.5104895104895105]",0.55,54,66,120
P01,valence,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.576003996003996,0.08879740512372773,"[0.6142857142857143, 0.5174825174825175, 0.6643356643356644, 0.6328671328671329, 0.45104895104895104]",0.5666666666666667,54,66,120
P01,valence,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.566003996003996,0.08256306295560634,"[0.5642857142857143, 0.5174825174825175, 0.6643356643356644, 0.6258741258741258, 0.458041958041958]",0.5583333333333333,54,66,120
P01,valence,face,svm,face_geometry,all_face,5,primary,10,5,5,0.5062937062937063,0.10293625531759801,"[0.5, 0.40559440559440557, 0.458041958041958, 0.6783216783216783, 0.48951048951048953]",0.525,54,66,120
P01,valence,face,svm,face_geometry,all_face,all,primary,10,all,5,0.5632667332667333,0.10042864426501828,"[0.5785714285714286, 0.48601398601398604, 0.5559440559440559, 0.7237762237762237, 0.47202797202797203]",0.5416666666666666,54,66,120
P01,valence,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.511993006993007,0.07078720766588381,"[0.47307692307692306, 0.6346153846153846, 0.5113636363636364, 0.46590909090909094, 0.475]",0.5347826086956522,52,62,114
