participant,target,classifier,modality,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy
P01,valence,logreg,face,face_geometry,all_face,5,primary,10,1,5,5,120,96,24,54,66,0.6142857142857143,0.5833333333333334
P01,valence,logreg,face,face_geometry,all_face,5,primary,10,2,5,5,120,96,24,54,66,0.5174825174825175,0.5
P01,valence,logreg,face,face_geometry,all_face,5,primary,10,3,5,5,120,96,24,54,66,0.6643356643356644,0.6666666666666666
P01,valence,logreg,face,face_geometry,all_face,5,primary,10,4,5,5,120,96,24,54,66,0.6328671328671329,0.625
P01,valence,logreg,face,face_geometry,all_face,5,primary,10,5,5,5,120,96,24,54,66,0.45104895104895104,0.4583333333333333
P01,valence,svm,face,face_geometry,all_face,5,primary,10,1,5,5,120,96,24,54,66,0.5,0.5833333333333334
P01,valence,svm,face,face_geometry,all_face,5,primary,10,2,5,5,120,96,24,54,66,0.40559440559440557,0.4166666666666667
P01,valence,svm,face,face_geometry,all_face,5,primary,10,3,5,5,120,96,24,54,66,0.458041958041958,0.4583333333333333
P01,valence,svm,face,face_geometry,all_face,5,primary,10,4,5,5,120,96,24,54,66,0.6783216783216783,0.6666666666666666
P01,valence,svm,face,face_geometry,all_face,5,primary,10,5,5,5,120,96,24,54,66,0.48951048951048953,0.5
P01,valence,gnb,face,face_geometry,all_face,5,primary,10,1,5,5,120,96,24,54,66,0.5785714285714286,0.5416666666666666
P01,valence,gnb,face,face_geometry,all_face,5,primary,10,2,5,5,120,96,24,54,66,0.47902097902097907,0.4583333333333333
P01,valence,gnb,face,face_geometry,all_face,5,primary,10,3,5,5,120,96,24,54,66,0.6258741258741258,0.625
P01,valence,gnb,face,face_geometry,all_face,5,primary,10,4,5,5,120,96,24,54,66,0.6328671328671329,0.625
P01,valence,gnb,face,face_geometry,all_face,5,primary,10,5,5,5,120,96,24,54,66,0.5559440559440559,0.5416666666666666
P01,valence,logreg,face,face_geometry,all_face,all,primary,10,1,all,5,120,96,24,54,66,0.5642857142857143,0.5416666666666666
P01,valence,logreg,face,face_geometry,all_face,all,primary,10,2,all,5,120,96,24,54,66,0.5174825174825175,0.5
P01,valence,logreg,face,face_geometry,all_face,all,primary,10,3,all,5,120,96,24,54,66,0.6643356643356644,0.6666666666666666
P01,valence,logreg,face,face_geometry,all_face,all,primary,10,4,all,5,120,96,24,54,66,0.6258741258741258,0.625
P01,valence,logreg,face,face_geometry,all_face,all,primary,10,5,all,5,120,96,24,54,66,0.458041958041958,0.4583333333333333
P01,valence,svm,face,face_geometry,all_face,all,primary,10,1,all,5,120,96,24,54,66,0.5785714285714286,0.5416666666666666
P01,valence,svm,face,face_geometry,all_face,all,primary,10,2,all,5,120,96,24,54,66,0.48601398601398604,0.4583333333333333
P01,valence,svm,face,face_geometry,all_face,all,primary,10,3,all,5,120,96,24,54,66,0.5559440559440559,0.5416666666666666
P01,valence,svm,face,face_geometry,all_face,all,primary,10,4,all,5,120,96,24,54,66,0.7237762237762237,0.7083333333333334
P01,valence,svm,face,face_geometry,all_face,all,primary,10,5,all,5,120,96,24,54,66,0.47202797202797203,0.4583333333333333
P01,valence,gnb,face,face_geometry,all_face,all,primary,10,1,all,5,120,96,24,54,66,0.5785714285714286,0.5416666666666666
P01,valence,gnb,face,face_geometry,all_face,all,primary,10,2,all,5,120,96,24,54,66,0.43356643356643354,0.4166666666666667
P01,valence,gnb,face,face_geometry,all_face,all,primary,10,3,all,5,120,96,24,54,66,0.6713286713286714,0.6666666666666666
P01,valence,gnb,face,face_geometry,all_face,all,primary,10,4,all,5,120,96,24,54,66,0.6328671328671329,0.625
P01,valence,gnb,face,face_geometry,all_face,all,primary,10,5,all,5,120,96,24,54,66,0.5104895104895105,0.5
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,1,5,5,114,91,23,52,62,0.5846153846153846,0.6086956521739131
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,2,5,5,114,91,23,52,62,0.4461538461538461,0.4782608695652174
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,3,5,5,114,91,23,52,62,0.6098484848484849,0.6086956521739131
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,4,5,5,114,91,23,52,62,0.6401515151515151,0.6521739130434783
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,5,5,5,114,92,22,52,62,0.5333333333333333,0.5454545454545454
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,1,5,5,114,91,23,52,62,0.5076923076923077,0.5217391304347826
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,2,5,5,114,91,23,52,62,0.4461538461538461,0.4782608695652174
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,3,5,5,114,91,23,52,62,0.5909090909090909,0.6086956521739131
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,4,5,5,114,91,23,52,62,0.5037878787878788,0.5217391304347826
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,5,5,5,114,92,22,52,62,0.4833333333333333,0.5
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,1,5,5,114,91,23,52,62,0.47307692307692306,0.5217391304347826
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,2,5,5,114,91,23,52,62,0.4461538461538461,0.4782608695652174
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,3,5,5,114,91,23,52,62,0.5568181818181819,0.5652173913043478
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,4,5,5,114,91,23,52,62,0.5492424242424242,0.5652173913043478
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,5,5,5,114,92,22,52,62,0.475,0.5
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,1,10,5,114,91,23,52,62,0.5461538461538462,0.5652173913043478
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,2,10,5,114,91,23,52,62,0.4307692307692308,0.43478260869565216
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,3,10,5,114,91,23,52,62,0.5303030303030303,0.5217391304347826
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,4,10,5,114,91,23,52,62,0.5643939393939394,0.5652173913043478
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,5,10,5,114,92,22,52,62,0.5416666666666667,0.5454545454545454
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,10,primary,130,1,10,5,114,91,23,52,62,0.5192307692307692,0.5217391304347826
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,10,primary,130,2,10,5,114,91,23,52,62,0.49615384615384617,0.5217391304347826
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,10,primary,130,3,10,5,114,91,23,52,62,0.5303030303030303,0.5217391304347826
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,10,primary,130,4,10,5,114,91,23,52,62,0.5075757575757576,0.5217391304347826
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,10,primary,130,5,10,5,114,92,22,52,62,0.6833333333333333,0.6818181818181818
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,10,primary,130,1,10,5,114,91,23,52,62,0.47307692307692306,0.5217391304347826
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,10,primary,130,2,10,5,114,91,23,52,62,0.6346153846153846,0.6521739130434783
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,10,primary,130,3,10,5,114,91,23,52,62,0.5113636363636364,0.5217391304347826
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,10,primary,130,4,10,5,114,91,23,52,62,0.46590909090909094,0.4782608695652174
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,10,primary,130,5,10,5,114,92,22,52,62,0.475,0.5
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,20,primary,130,1,20,5,114,91,23,52,62,0.5576923076923077,0.5652173913043478
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,20,primary,130,2,20,5,114,91,23,52,62,0.46923076923076923,0.4782608695652174
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,20,primary,130,3,20,5,114,91,23,52,62,0.48484848484848486,0.4782608695652174
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,20,primary,130,4,20,5,114,91,23,52,62,0.5606060606060606,0.5652173913043478
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,20,primary,130,5,20,5,114,92,22,52,62,0.3916666666666667,0.4090909090909091
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,20,primary,130,1,20,5,114,91,23,52,62,0.5230769230769231,0.5652173913043478
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,20,primary,130,2,20,5,114,91,23,52,62,0.5346153846153846,0.5652173913043478
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,20,primary,130,3,20,5,114,91,23,52,62,0.696969696969697,0.6956521739130435
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,20,primary,130,4,20,5,114,91,23,52,62,0.5643939393939394,0.5652173913043478
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,20,primary,130,5,20,5,114,92,22,52,62,0.4833333333333333,0.5
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,20,primary,130,1,20,5,114,91,23,52,62,0.48461538461538467,0.5217391304347826
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,20,primary,130,2,20,5,114,91,23,52,62,0.5961538461538461,0.6086956521739131
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,20,primary,130,3,20,5,114,91,23,52,62,0.6515151515151515,0.6521739130434783
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,20,primary,130,4,20,5,114,91,23,52,62,0.5113636363636364,0.5217391304347826
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,20,primary,130,5,20,5,114,92,22,52,62,0.43333333333333335,0.45454545454545453
P01,arousal,logreg,face,face_geometry,all_face,5,primary,10,1,5,5,118,94,24,47,71,0.5222222222222223,0.625
P01,arousal,logreg,face,face_geometry,all_face,5,primary,10,2,5,5,118,94,24,47,71,0.7071428571428571,0.7083333333333334
P01,arousal,logreg,face,face_geometry,all_face,5,primary,10,3,5,5,118,94,24,47,71,0.6571428571428571,0.6666666666666666
