participant,participant_qc_status
P01,REVIEW
P02,REVIEW
P03,POSSIBLE EXCLUSION
P04,REVIEW
P05,REVIEW
P06,REVIEW
P07,REVIEW
P08,REVIEW
P09,REVIEW
P10,KEEP
P11,KEEP
P12,REVIEW
P13,POSSIBLE EXCLUSION
P14,KEEP
P15,KEEP
P16,KEEP
P17,KEEP
P18,KEEP
P19,KEEP
P20,REVIEW
P21,REVIEW
P22,KEEP
P23,KEEP
P24,KEEP
P25,KEEP
P26,KEEP
P27,REVIEW
P28,POSSIBLE EXCLUSION
P29,REVIEW
P30,KEEP
P31,KEEP
P32,KEEP
P33,KEEP
P34,KEEP
P35,REVIEW
P36,REVIEW
P37,REVIEW
P38,KEEP
P39,REVIEW
P40,KEEP
P41,KEEP
P42,KEEP
P43,KEEP
P44,KEEP
P45,KEEP
P46,KEEP
