participant,target,classifier,modality,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,best_parameters,inner_best_balanced_accuracy,selected_feature_names
P01,valence,logreg,face,face_geometry,all_face,5,primary,10,1,5,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.488608776844071,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,logreg,face,face_geometry,all_face,5,primary,10,2,5,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.5911142234671646,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,logreg,face,face_geometry,all_face,5,primary,10,3,5,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.502489884842826,"[""video_irisdo_norm_mean"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,logreg,face,face_geometry,all_face,5,primary,10,4,5,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.5347961406784937,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,logreg,face,face_geometry,all_face,5,primary,10,5,5,5,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.5789915966386555,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,svm,face,face_geometry,all_face,5,primary,10,1,5,5,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5052910052910052,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,svm,face,face_geometry,all_face,5,primary,10,2,5,5,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.578135698723934,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,svm,face,face_geometry,all_face,5,primary,10,3,5,5,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5254590725178959,"[""video_irisdo_norm_mean"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,svm,face,face_geometry,all_face,5,primary,10,4,5,5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.529474011826953,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,svm,face,face_geometry,all_face,5,primary,10,5,5,5,"{""classifier__C"": 0.1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5598972922502333,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,gnb,face,face_geometry,all_face,5,primary,10,1,5,5,"{""classifier__var_smoothing"": 1e-11}",0.47113289760348587,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,gnb,face,face_geometry,all_face,5,primary,10,2,5,5,"{""classifier__var_smoothing"": 1e-11}",0.6022253345782758,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,gnb,face,face_geometry,all_face,5,primary,10,3,5,5,"{""classifier__var_smoothing"": 1e-11}",0.5064425770308123,"[""video_irisdo_norm_mean"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,gnb,face,face_geometry,all_face,5,primary,10,4,5,5,"{""classifier__var_smoothing"": 1e-11}",0.5096483037659508,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,gnb,face,face_geometry,all_face,5,primary,10,5,5,5,"{""classifier__var_smoothing"": 1e-11}",0.5535325241207594,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,logreg,face,face_geometry,all_face,all,primary,10,1,all,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.47539682539682543,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,logreg,face,face_geometry,all_face,all,primary,10,2,all,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5609554933084345,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,logreg,face,face_geometry,all_face,all,primary,10,3,all,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.49799253034547153,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,logreg,face,face_geometry,all_face,all,primary,10,4,all,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5599284158107688,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,logreg,face,face_geometry,all_face,all,primary,10,5,all,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5903516962340492,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,svm,face,face_geometry,all_face,all,primary,10,1,all,5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.49861500155617805,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
