participant,target,transfer_rank,status,eligible_image_rows,low_count,high_count,calibration_cv_folds,hard_prediction_reproduction,original_model_path,original_model_sha256,image_source,message,calibrated_artifact_path,calibrated_artifact_sha256
P01,arousal,3,calibrated,112,45,67,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P01_arousal_rank3.joblib,f8b5d4fed4d39abc3d3adb2a7b96f031e7e6506fd22233ddb2b6b79fbce102e8,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P01/Image_Experiment/runs/p01_no_ica/merged/p01_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P01_arousal_rank3_calibrated.joblib,87ae3a10435e89b3d6cb53ec6cb4eee73a7fa3ed60bcc9d10ed7955331464e67
P02,arousal,1,calibrated,100,39,61,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P02_arousal_rank1.joblib,d8b5f8b56a2ffa99f88b1329bddc2afe9a2c66fa414b35bd7bb3b52cd631aa91,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P02/Image_Experiment/runs/p02_no_ica/merged/p02_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P02_arousal_rank1_calibrated.joblib,1975a996155af9a8de3e1bdbd040050107c876882494864660de38a9bcd2cc5d
P02,arousal,2,calibrated,100,39,61,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P02_arousal_rank2.joblib,d8137a81308e1ad29dfe26a3b2059f4c67ffa70da5e848c752b04900671f9480,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P02/Image_Experiment/runs/p02_no_ica/merged/p02_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P02_arousal_rank2_calibrated.joblib,3956479f9606b81f64fd210299db72bd434e7bf4e2c3c5502545511a454fdaa1
P04,valence,3,calibrated,102,39,63,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P04_valence_rank3.joblib,06abcc2e5be1b52ba97fb8f86d68045972a2dad2c665ea1f55b87ce4b363e1be,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P04/Image_Experiment/runs/p04_no_ica/merged/p04_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P04_valence_rank3_calibrated.joblib,abd0ea0eed3e1ce6161c0f5e467f2c3556d0cba59b66865d9f54f65aee44a804
P05,arousal,2,calibrated,115,45,70,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P05_arousal_rank2.joblib,c860c97a69c9b14440288347d2e835f82a4c221efd25e60eb091108bc5a8caa3,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P05/Image_Experiment/runs/p05_no_ica/merged/p05_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P05_arousal_rank2_calibrated.joblib,2f4906e4219ac14cb8203c6008c1d4767ff575925838116091a10cf8c751e3a2
P05,arousal,3,calibrated,115,45,70,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P05_arousal_rank3.joblib,e3969c19e0b5116774ca243b07753186fd13c8115992890765ee9c06553d760e,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P05/Image_Experiment/runs/p05_no_ica/merged/p05_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P05_arousal_rank3_calibrated.joblib,8187e072a642e05a368410af02f04b877f56e46f5397968a517ebd29e0fc2161
P05,valence,1,calibrated,117,62,55,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P05_valence_rank1.joblib,c78ef8a6bb71e1af376f4e9b1900f7f822aa8bf5257c02ba7d0bbef743e047f3,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P05/Image_Experiment/runs/p05_no_ica/merged/p05_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P05_valence_rank1_calibrated.joblib,824dbed52951bfecf008589d7bf04226e4e265cbf75ddba63954dc111c722ec3
P05,valence,2,calibrated,117,62,55,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P05_valence_rank2.joblib,cca984f4d78dedbd964c5d8e97b0379741a91209419f3ebd97b2249ff95ec68d,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P05/Image_Experiment/runs/p05_no_ica/merged/p05_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P05_valence_rank2_calibrated.joblib,221adbfbc3c7b1a2fc9a039b6226bd4f076e597d430fb8953b2eb616ac6d57e2
P06,arousal,2,calibrated,119,52,67,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P06_arousal_rank2.joblib,353173b15178bd59ad955cdf4b1612510b539cbbcf7fac1a8f0a02ba55305c92,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P06/Image_Experiment/runs/p06_no_ica/merged/p06_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P06_arousal_rank2_calibrated.joblib,3671cfae8b0c1d9eac8b7c025dd3493bba4bce6187464c3e8c334ca12934871f
P07,valence,2,calibrated,116,24,92,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P07_valence_rank2.joblib,71375d092326d994f2646e822ba726c31279f172b3a0a3c6396418ae602c0c95,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P07/Image_Experiment/runs/p07_no_ica/merged/p07_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P07_valence_rank2_calibrated.joblib,be7cbd499d5792d01c75d424bda73053d3f131579901a48d889551d45ee23b38
P08,arousal,3,calibrated,110,56,54,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P08_arousal_rank3.joblib,9ba4fe142face8ed8d9ae2dd6bcbdeaff501ab5164143bbe614c5d097e795841,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P08/Image_Experiment/runs/p08_no_ica/merged/p08_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P08_arousal_rank3_calibrated.joblib,ad1e1a9221784091352438f8cdf7f380569ade1d80e9c0add4366415f4c090b4
P08,valence,1,calibrated,110,56,54,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P08_valence_rank1.joblib,1c4ab3a9f2cc1e726a29eacc9cf78b1d001ed99d113b890fe43f4418bdfe1140,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P08/Image_Experiment/runs/p08_no_ica/merged/p08_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P08_valence_rank1_calibrated.joblib,64107f79e6766dc60684ed24eea7b22d4d1ca2bf165502dddf5e4cfcd6064fc8
P10,arousal,1,calibrated,120,56,64,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P10_arousal_rank1.joblib,6116530c99c6d955c1c6854790f6db8db0afb99f85630559ff4175748d92ab08,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P10/Image_Experiment/runs/p10_no_ica/merged/p10_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P10_arousal_rank1_calibrated.joblib,7bfc2ade48ff97ede7f06339a8af9c03055e7654ccca9e074b3fd78aeb6896c7
