participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy
P01,valence,logreg,all_eeg,all_channels,8,primary,120,1,8,5,114,91,23,52,62,0.45769230769230773,0.4782608695652174
P01,valence,logreg,all_eeg,all_channels,8,primary,120,2,8,5,114,91,23,52,62,0.49615384615384617,0.5217391304347826
P01,valence,logreg,all_eeg,all_channels,8,primary,120,3,8,5,114,91,23,52,62,0.6098484848484849,0.6086956521739131
P01,valence,logreg,all_eeg,all_channels,8,primary,120,4,8,5,114,91,23,52,62,0.5568181818181819,0.5652173913043478
P01,valence,logreg,all_eeg,all_channels,8,primary,120,5,8,5,114,92,22,52,62,0.44166666666666665,0.45454545454545453
P01,valence,svm,all_eeg,all_channels,8,primary,120,1,8,5,114,91,23,52,62,0.5230769230769231,0.5652173913043478
P01,valence,svm,all_eeg,all_channels,8,primary,120,2,8,5,114,91,23,52,62,0.49615384615384617,0.5217391304347826
P01,valence,svm,all_eeg,all_channels,8,primary,120,3,8,5,114,91,23,52,62,0.5,0.5217391304347826
P01,valence,svm,all_eeg,all_channels,8,primary,120,4,8,5,114,91,23,52,62,0.5,0.5217391304347826
P01,valence,svm,all_eeg,all_channels,8,primary,120,5,8,5,114,92,22,52,62,0.4833333333333333,0.5
P01,valence,gnb,all_eeg,all_channels,8,primary,120,1,8,5,114,91,23,52,62,0.47307692307692306,0.5217391304347826
P01,valence,gnb,all_eeg,all_channels,8,primary,120,2,8,5,114,91,23,52,62,0.5846153846153846,0.6086956521739131
P01,valence,gnb,all_eeg,all_channels,8,primary,120,3,8,5,114,91,23,52,62,0.553030303030303,0.5652173913043478
P01,valence,gnb,all_eeg,all_channels,8,primary,120,4,8,5,114,91,23,52,62,0.5075757575757576,0.5217391304347826
P01,valence,gnb,all_eeg,all_channels,8,primary,120,5,8,5,114,92,22,52,62,0.475,0.5
