participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,modality
P01,valence,logreg,all_eeg,all_channels,8,primary,120,1,8,5,114,91,23,52,62,0.4576923076923077,0.4782608695652174,eeg
P01,valence,logreg,all_eeg,all_channels,8,primary,120,2,8,5,114,91,23,52,62,0.4961538461538461,0.5217391304347826,eeg
P01,valence,logreg,all_eeg,all_channels,8,primary,120,3,8,5,114,91,23,52,62,0.6098484848484849,0.6086956521739131,eeg
P01,valence,logreg,all_eeg,all_channels,8,primary,120,4,8,5,114,91,23,52,62,0.5568181818181819,0.5652173913043478,eeg
P01,valence,logreg,all_eeg,all_channels,8,primary,120,5,8,5,114,92,22,52,62,0.4416666666666666,0.4545454545454545,eeg
P01,valence,svm,all_eeg,all_channels,8,primary,120,1,8,5,114,91,23,52,62,0.5230769230769231,0.5652173913043478,eeg
P01,valence,svm,all_eeg,all_channels,8,primary,120,2,8,5,114,91,23,52,62,0.4961538461538461,0.5217391304347826,eeg
P01,valence,svm,all_eeg,all_channels,8,primary,120,3,8,5,114,91,23,52,62,0.5,0.5217391304347826,eeg
P01,valence,svm,all_eeg,all_channels,8,primary,120,4,8,5,114,91,23,52,62,0.5,0.5217391304347826,eeg
P01,valence,svm,all_eeg,all_channels,8,primary,120,5,8,5,114,92,22,52,62,0.4833333333333333,0.5,eeg
P01,valence,gnb,all_eeg,all_channels,8,primary,120,1,8,5,114,91,23,52,62,0.473076923076923,0.5217391304347826,eeg
P01,valence,gnb,all_eeg,all_channels,8,primary,120,2,8,5,114,91,23,52,62,0.5846153846153846,0.6086956521739131,eeg
P01,valence,gnb,all_eeg,all_channels,8,primary,120,3,8,5,114,91,23,52,62,0.553030303030303,0.5652173913043478,eeg
P01,valence,gnb,all_eeg,all_channels,8,primary,120,4,8,5,114,91,23,52,62,0.5075757575757576,0.5217391304347826,eeg
P01,valence,gnb,all_eeg,all_channels,8,primary,120,5,8,5,114,92,22,52,62,0.475,0.5,eeg
P01,valence,logreg,all_eeg,all_channels,10,primary,120,1,10,5,114,91,23,52,62,0.4192307692307692,0.4347826086956521,eeg
P01,valence,logreg,all_eeg,all_channels,10,primary,120,2,10,5,114,91,23,52,62,0.4307692307692308,0.4347826086956521,eeg
P01,valence,logreg,all_eeg,all_channels,10,primary,120,3,10,5,114,91,23,52,62,0.5681818181818181,0.5652173913043478,eeg
P01,valence,logreg,all_eeg,all_channels,10,primary,120,4,10,5,114,91,23,52,62,0.4772727272727273,0.4782608695652174,eeg
P01,valence,logreg,all_eeg,all_channels,10,primary,120,5,10,5,114,92,22,52,62,0.35,0.3636363636363636,eeg
P01,valence,svm,all_eeg,all_channels,10,primary,120,1,10,5,114,91,23,52,62,0.6,0.6521739130434783,eeg
P01,valence,svm,all_eeg,all_channels,10,primary,120,2,10,5,114,91,23,52,62,0.4807692307692308,0.4782608695652174,eeg
P01,valence,svm,all_eeg,all_channels,10,primary,120,3,10,5,114,91,23,52,62,0.5,0.5217391304347826,eeg
P01,valence,svm,all_eeg,all_channels,10,primary,120,4,10,5,114,91,23,52,62,0.5,0.5217391304347826,eeg
P01,valence,svm,all_eeg,all_channels,10,primary,120,5,10,5,114,92,22,52,62,0.4166666666666667,0.4545454545454545,eeg
P01,valence,gnb,all_eeg,all_channels,10,primary,120,1,10,5,114,91,23,52,62,0.473076923076923,0.5217391304347826,eeg
P01,valence,gnb,all_eeg,all_channels,10,primary,120,2,10,5,114,91,23,52,62,0.5846153846153846,0.6086956521739131,eeg
P01,valence,gnb,all_eeg,all_channels,10,primary,120,3,10,5,114,91,23,52,62,0.6022727272727273,0.6086956521739131,eeg
P01,valence,gnb,all_eeg,all_channels,10,primary,120,4,10,5,114,91,23,52,62,0.4659090909090909,0.4782608695652174,eeg
P01,valence,gnb,all_eeg,all_channels,10,primary,120,5,10,5,114,92,22,52,62,0.5166666666666667,0.5454545454545454,eeg
P01,valence,logreg,hjorth,all_channels,8,primary,16,1,8,5,114,91,23,52,62,0.6730769230769231,0.6956521739130435,eeg
P01,valence,logreg,hjorth,all_channels,8,primary,16,2,8,5,114,91,23,52,62,0.3807692307692307,0.391304347826087,eeg
P01,valence,logreg,hjorth,all_channels,8,primary,16,3,8,5,114,91,23,52,62,0.5606060606060606,0.5652173913043478,eeg
P01,valence,logreg,hjorth,all_channels,8,primary,16,4,8,5,114,91,23,52,62,0.5606060606060606,0.5652173913043478,eeg
P01,valence,logreg,hjorth,all_channels,8,primary,16,5,8,5,114,92,22,52,62,0.55,0.5454545454545454,eeg
P01,valence,svm,hjorth,all_channels,8,primary,16,1,8,5,114,91,23,52,62,0.6615384615384616,0.6956521739130435,eeg
P01,valence,svm,hjorth,all_channels,8,primary,16,2,8,5,114,91,23,52,62,0.5115384615384616,0.5652173913043478,eeg
P01,valence,svm,hjorth,all_channels,8,primary,16,3,8,5,114,91,23,52,62,0.6022727272727273,0.6086956521739131,eeg
P01,valence,svm,hjorth,all_channels,8,primary,16,4,8,5,114,91,23,52,62,0.4659090909090909,0.4782608695652174,eeg
P01,valence,svm,hjorth,all_channels,8,primary,16,5,8,5,114,92,22,52,62,0.4416666666666666,0.4545454545454545,eeg
P01,valence,gnb,hjorth,all_channels,8,primary,16,1,8,5,114,91,23,52,62,0.573076923076923,0.6086956521739131,eeg
P01,valence,gnb,hjorth,all_channels,8,primary,16,2,8,5,114,91,23,52,62,0.4692307692307692,0.4782608695652174,eeg
P01,valence,gnb,hjorth,all_channels,8,primary,16,3,8,5,114,91,23,52,62,0.5568181818181819,0.5652173913043478,eeg
P01,valence,gnb,hjorth,all_channels,8,primary,16,4,8,5,114,91,23,52,62,0.4166666666666667,0.4347826086956521,eeg
P01,valence,gnb,hjorth,all_channels,8,primary,16,5,8,5,114,92,22,52,62,0.575,0.5909090909090909,eeg
P01,valence,logreg,hjorth,all_channels,10,primary,16,1,10,5,114,91,23,52,62,0.6846153846153846,0.6956521739130435,eeg
P01,valence,logreg,hjorth,all_channels,10,primary,16,2,10,5,114,91,23,52,62,0.4576923076923077,0.4782608695652174,eeg
P01,valence,logreg,hjorth,all_channels,10,primary,16,3,10,5,114,91,23,52,62,0.6098484848484849,0.6086956521739131,eeg
P01,valence,logreg,hjorth,all_channels,10,primary,16,4,10,5,114,91,23,52,62,0.4659090909090909,0.4782608695652174,eeg
P01,valence,logreg,hjorth,all_channels,10,primary,16,5,10,5,114,92,22,52,62,0.55,0.5454545454545454,eeg
P01,valence,svm,hjorth,all_channels,10,primary,16,1,10,5,114,91,23,52,62,0.6230769230769231,0.6521739130434783,eeg
P01,valence,svm,hjorth,all_channels,10,primary,16,2,10,5,114,91,23,52,62,0.4615384615384615,0.5217391304347826,eeg
