participant,target,eeg,face,multimodal,eeg_minus_face_ba,eeg_minus_multimodal_ba,face_minus_multimodal_ba
P01,arousal,0.5818070818070817,0.6090476190476191,0.6086080586080586,-0.02724053724053732,-0.026800976800976817,0.0004395604395605046
P01,valence,0.5632051282051282,0.576003996003996,0.5628205128205128,-0.012798867798867741,0.00038461538461542766,0.013183483183483169
P02,arousal,0.4967032967032967,0.5078296703296703,0.5004120879120879,-0.011126373626373587,-0.0037087912087911956,0.007417582417582391
P02,valence,0.6842424242424243,0.5674358974358975,0.6643939393939393,0.11680652680652681,0.019848484848485004,-0.09695804195804181
P03,arousal,0.5833333333333334,0.575,0.5466666666666666,0.008333333333333415,0.036666666666666736,0.02833333333333332
P03,valence,0.5961904761904762,0.6097619047619048,0.6054761904761905,-0.013571428571428679,-0.009285714285714342,0.004285714285714337
P04,arousal,0.5157051282051283,0.6088888888888888,0.5487637362637363,-0.09318376068376055,-0.03305860805860805,0.0601251526251525
P04,valence,0.6718864468864469,0.6022222222222222,0.606456043956044,0.06966422466422473,0.06543040293040292,-0.004233821733821808
P05,arousal,0.6428571428571429,0.5215873015873015,0.6238095238095238,0.12126984126984142,0.01904761904761909,-0.10222222222222233
P05,valence,0.6117132867132867,0.6117132867132866,0.5358391608391608,1.1102230246251565e-16,0.0758741258741259,0.07587412587412579
P06,arousal,0.6549950049950051,0.5706793206793207,0.6821378621378621,0.08431568431568437,-0.027142857142857024,-0.1114585414585414
P06,valence,0.6123809523809524,0.6336507936507937,0.611904761904762,-0.021269841269841328,0.0004761904761904079,0.021746031746031735
P07,arousal,0.5566666666666666,0.5390476190476191,0.5900000000000001,0.017619047619047534,-0.03333333333333344,-0.05095238095238097
P07,valence,0.5411111111111111,0.5335672514619884,0.4870760233918128,0.007543859649122742,0.054035087719298325,0.04649122807017558
P08,arousal,0.5687878787878787,0.5242424242424242,0.5206060606060606,0.044545454545454555,0.048181818181818103,0.0036363636363635488
P08,valence,0.6448484848484848,0.5765151515151515,0.5521212121212121,0.06833333333333325,0.09272727272727266,0.024393939393939412
P09,arousal,0.6473214285714286,0.4944852941176471,0.6178571428571429,0.15283613445378152,0.02946428571428572,-0.1233718487394958
P09,valence,0.5658730158730159,0.5768253968253969,0.5525396825396826,-0.010952380952381047,0.013333333333333308,0.024285714285714355
P10,arousal,0.5016899766899767,0.5629370629370629,0.5365384615384615,-0.06124708624708619,-0.034848484848484795,0.026398601398601396
P10,valence,0.5242857142857142,0.5157142857142858,0.5042857142857142,0.008571428571428452,0.020000000000000018,0.011428571428571566
P11,arousal,0.5851448551448551,0.5953046953046953,0.5405794205794205,-0.010159840159840172,0.0445654345654346,0.054725274725274775
P11,valence,0.525874125874126,0.6155594405594406,0.582983682983683,-0.0896853146853146,-0.05710955710955701,0.03257575757575759
P12,arousal,0.5862068965517242,0.5,0.5,0.0862068965517242,0.0862068965517242,0.0
P12,valence,0.605672268907563,0.5033613445378151,0.519485294117647,0.10231092436974787,0.086186974789916,-0.016123949579831875
P13,arousal,0.6392929292929292,0.5416239316239316,0.6581818181818182,0.09766899766899761,-0.018888888888888955,-0.11655788655788657
P13,valence,0.547985347985348,0.5947023809523809,0.5802197802197802,-0.04671703296703289,-0.03223443223443212,0.01448260073260077
P14,arousal,0.6201282051282051,0.5682717282717282,0.583076923076923,0.051856476856476874,0.03705128205128205,-0.014805194805194821
P14,valence,0.5869696969696969,0.5612470862470862,0.5574242424242424,0.025722610722610728,0.02954545454545454,0.0038228438228438133
P15,arousal,0.5216666666666667,0.587953216374269,0.6190196078431371,-0.06628654970760228,-0.09735294117647042,-0.031066391468868138
P15,valence,0.6254761904761905,0.63125,0.6286904761904761,-0.005773809523809459,-0.003214285714285614,0.002559523809523845
P16,arousal,0.6788888888888889,0.6334722222222222,0.6183333333333334,0.04541666666666666,0.060555555555555474,0.015138888888888813
P16,valence,0.6021328671328672,0.6286713286713287,0.6305361305361306,-0.02653846153846151,-0.02840326340326338,-0.0018648018648018683
P17,arousal,0.626890756302521,0.580532212885154,0.5929038281979458,0.046358543417367004,0.033986928104575154,-0.01237161531279185
P17,valence,0.648951048951049,0.6491708291708292,0.6522077922077922,-0.0002197802197801968,-0.0032567432567431887,-0.003036963036962992
P18,arousal,0.5952797202797203,0.6148601398601399,0.5794871794871795,-0.01958041958041956,0.015792540792540777,0.03537296037296034
P18,valence,0.6289627039627039,0.4796620046620046,0.6342657342657343,0.14930069930069934,-0.005303030303030365,-0.1546037296037297
P19,arousal,0.7041958041958042,0.6013986013986015,0.7041958041958042,0.10279720279720272,0.0,-0.10279720279720272
P19,valence,0.6229166666666667,0.5900000000000001,0.6219444444444444,0.032916666666666594,0.0009722222222222632,-0.03194444444444433
P20,arousal,0.5215384615384615,0.4986869747899159,0.5053846153846153,0.02285148674854559,0.016153846153846185,-0.0066976405946994055
P20,valence,0.5811111111111111,0.5465734265734266,0.5577777777777777,0.034537684537684576,0.023333333333333428,-0.011204351204351148
P21,arousal,0.6003205128205128,0.6177322677322677,0.5673076923076923,-0.01741175491175495,0.03301282051282051,0.05042457542457546
P21,valence,0.5868382352941176,0.5785714285714285,0.6102941176470589,0.00826680672268909,-0.02345588235294127,-0.03172268907563036
P22,arousal,0.594920634920635,0.6777777777777778,0.597936507936508,-0.08285714285714285,-0.0030158730158730274,0.07984126984126982
P22,valence,0.6198046398046398,0.6414085914085914,0.5880708180708181,-0.021603951603951566,0.031733821733821777,0.05333777333777334
P23,arousal,0.5131827731092437,0.5321428571428571,0.4485819327731092,-0.01896008403361349,0.06460084033613445,0.08356092436974794
P23,valence,0.622942612942613,0.5860839160839161,0.5518315018315019,0.036858696858696915,0.07111111111111112,0.03425241425241421
P24,arousal,0.5647086247086247,0.5664335664335665,0.6065034965034964,-0.0017249417249417531,-0.041794871794871735,-0.04006993006992998
P24,valence,0.5273892773892774,0.541083916083916,0.5287878787878788,-0.013694638694638606,-0.0013986013986013734,0.012296037296037232
P25,arousal,0.6008691308691309,0.5528371628371629,0.5577622377622378,0.048031968031967964,0.043106893106893085,-0.004925074925074879
P25,valence,0.5546653346653346,0.4911188811188811,0.5812987012987013,0.06354645354645355,-0.026633366633366684,-0.09017982017982024
P26,arousal,0.6258730158730159,0.5533333333333333,0.608095238095238,0.07253968253968257,0.017777777777777892,-0.05476190476190468
P26,valence,0.5666233766233766,0.5782617382617382,0.5170929070929071,-0.011638361638361627,0.04953046953046947,0.061168831168831095
P27,arousal,0.5831318681318681,0.5754970760233917,0.5556043956043956,0.007634792108476396,0.027527472527472563,0.019892680418996167
P27,valence,0.5766666666666667,0.5209033613445377,0.5983333333333333,0.05576330532212892,-0.021666666666666612,-0.07742997198879553
P28,arousal,0.5294642857142857,0.630812324929972,0.5101785714285715,-0.10134803921568625,0.01928571428571424,0.12063375350140049
P28,valence,0.5761904761904761,0.6181944444444445,0.5961904761904762,-0.04200396825396835,-0.020000000000000018,0.02200396825396833
P29,arousal,0.5428571428571429,0.50625,0.5267857142857142,0.03660714285714295,0.016071428571428736,-0.020535714285714213
P29,valence,0.6713675213675214,0.4800499500499501,0.6198717948717949,0.19131757131757132,0.051495726495726535,-0.1398218448218448
P30,arousal,0.5,0.5852777777777778,0.507638888888889,-0.08527777777777779,-0.007638888888888973,0.07763888888888881
P30,valence,0.5361888111888111,0.5903263403263403,0.3914918414918415,-0.05413752913752923,0.1446969696969696,0.19883449883449883
P31,arousal,0.5,0.550058275058275,0.4796037296037296,-0.05005827505827498,0.0203962703962704,0.07045454545454538
P31,valence,0.4916083916083916,0.5089743589743589,0.4793706293706293,-0.01736596736596735,0.012237762237762295,0.029603729603729645
P32,arousal,0.6264285714285714,0.5330952380952381,0.5976190476190476,0.09333333333333338,0.02880952380952384,-0.06452380952380954
P32,valence,0.5995920745920745,0.5891608391608392,0.6065268065268066,0.010431235431235364,-0.006934731934732041,-0.017365967365967405
P33,arousal,0.515546218487395,0.488702147525677,0.5380952380952381,0.026844070961718036,-0.022549019607843057,-0.04939309056956109
P33,valence,0.521969696969697,0.6583333333333334,0.6053030303030302,-0.13636363636363646,-0.08333333333333326,0.053030303030303205
P34,arousal,0.6445903361344538,0.5267507002801121,0.579796918767507,0.11783963585434176,0.06479341736694677,-0.05304621848739499
P34,valence,0.5205128205128206,0.4982539682539683,0.4978266178266178,0.02225885225885227,0.02268620268620275,0.00042735042735048134
P35,arousal,0.5876785714285714,0.4664915966386554,0.5883333333333334,0.12118697478991597,-0.0006547619047619913,-0.12184173669467796
P35,valence,0.6201748251748251,0.6302397602397602,0.5635547785547785,-0.01006493506493511,0.056620046620046605,0.06668498168498171
P36,arousal,0.70375,0.5932773109243697,0.66625,0.11047268907563024,0.03749999999999998,-0.07297268907563026
P36,valence,0.613989898989899,0.6446253746253746,0.7075252525252524,-0.03063547563547564,-0.09353535353535347,-0.06289987789987783
P37,arousal,0.5598039215686275,0.6288095238095238,0.5372549019607844,-0.06900560224089636,0.022549019607843057,0.09155462184873941
P37,valence,0.5933760683760684,0.5838761238761239,0.514017094017094,0.009499944499944513,0.07935897435897443,0.06985902985902992
P38,arousal,0.5726984126984127,0.6071428571428571,0.5517460317460318,-0.03444444444444439,0.020952380952380945,0.05539682539682533
P38,valence,0.5749206349206349,0.5295238095238095,0.5904761904761905,0.045396825396825435,-0.015555555555555545,-0.06095238095238098
P39,arousal,0.6564285714285714,0.4761904761904761,0.5952380952380952,0.18023809523809525,0.06119047619047613,-0.11904761904761912
