participant,target,modality,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size
P01,arousal,eeg,logreg,paper_compact,frontal_central,10,secondary,32,10,5,0.5818070818070817,0.0830496834108907,"[0.5119047619047619, 0.6150793650793651, 0.5854700854700855, 0.49572649572649574, 0.7008547008547008]",0.598814229249012,45,67,112
P01,arousal,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.6090476190476191,0.0973356966548524,"[0.5222222222222223, 0.7071428571428571, 0.6571428571428571, 0.48809523809523814, 0.6706349206349207]",0.6434782608695653,47,71,118
P01,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.6086080586080586,0.0718014644834661,"[0.4920634920634921, 0.6150793650793651, 0.6068376068376069, 0.6452991452991452, 0.6837606837606838]",0.6351778656126482,45,67,112
P01,valence,eeg,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.5632051282051282,0.0892706333753266,"[0.5230769230769231, 0.4346153846153846, 0.6515151515151515, 0.6401515151515151, 0.5666666666666667]",0.5877470355731226,52,62,114
P01,valence,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.576003996003996,0.0887974051237277,"[0.6142857142857143, 0.5174825174825175, 0.6643356643356644, 0.6328671328671329, 0.45104895104895104]",0.5666666666666667,54,66,120
P01,valence,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5628205128205128,0.0760712418992163,"[0.5846153846153846, 0.4461538461538461, 0.6098484848484849, 0.6401515151515151, 0.5333333333333333]",0.5786561264822134,52,62,114
P02,arousal,eeg,svm,paper_compact,frontal_central,8,secondary,32,8,5,0.4967032967032967,0.0679090047769744,"[0.5208333333333333, 0.5, 0.39583333333333337, 0.5833333333333333, 0.48351648351648346]",0.54,39,61,100
P02,arousal,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5078296703296703,0.1019148042492235,"[0.5, 0.5470085470085471, 0.5341880341880342, 0.3418803418803419, 0.6160714285714286]",0.5545454545454545,44,66,110
P02,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5004120879120879,0.1492946445842189,"[0.3333333333333333, 0.625, 0.4166666666666667, 0.6875, 0.43956043956043955]",0.54,39,61,100
P02,valence,eeg,gnb,paper_compact,all_channels,10,secondary,64,10,5,0.6842424242424243,0.0663893163266052,"[0.8, 0.675, 0.6333333333333333, 0.6583333333333333, 0.6545454545454545]",0.75,25,59,84
P02,valence,face,svm,face_geometry,all_face,all,primary,10,all,5,0.5674358974358975,0.091366282082854,"[0.5897435897435898, 0.5064102564102564, 0.717948717948718, 0.5230769230769231, 0.5]",0.6549707602339181,29,64,93
P02,valence,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.6643939393939393,0.0469116209872855,"[0.6583333333333333, 0.6916666666666667, 0.5916666666666667, 0.7166666666666667, 0.6636363636363636]",0.6904411764705882,25,59,84
P03,arousal,eeg,gnb,all_eeg,all_channels,8,primary,120,8,5,0.5833333333333334,0.213762588973011,"[0.6166666666666667, 0.5, 0.55, 0.9166666666666667, 0.3333333333333333]",0.6054545454545455,30,23,53
P03,arousal,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.575,0.2049728979374807,"[0.7166666666666667, 0.8166666666666667, 0.5166666666666667, 0.2833333333333333, 0.5416666666666667]",0.5927272727272728,30,24,54
P03,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5466666666666666,0.2237309892606644,"[0.5166666666666667, 0.4166666666666667, 0.55, 0.9166666666666667, 0.3333333333333333]",0.5690909090909091,30,23,53
P03,valence,eeg,logreg,time_statistical,all_channels,all,primary,8,all,5,0.5961904761904762,0.1828290063918504,"[0.6785714285714286, 0.5357142857142857, 0.43333333333333335, 0.4583333333333333, 0.875]",0.6254545454545454,21,32,53
P03,valence,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.6097619047619048,0.1820949983809938,"[0.7333333333333334, 0.3333333333333333, 0.8035714285714286, 0.5535714285714286, 0.625]",0.6490909090909092,22,32,54
P03,valence,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.6054761904761905,0.0891053734277352,"[0.5535714285714286, 0.7321428571428572, 0.5333333333333333, 0.5416666666666667, 0.6666666666666667]",0.6418181818181818,21,32,53
P04,arousal,eeg,logreg,all_eeg,all_channels,8,primary,120,8,5,0.5157051282051283,0.1406445170545756,"[0.6057692307692308, 0.5576923076923077, 0.2692307692307692, 0.6041666666666667, 0.5416666666666667]",0.5385714285714286,39,63,102
P04,arousal,face,svm,face_geometry,all_face,all,primary,10,all,5,0.6088888888888888,0.0897183521697171,"[0.6111111111111112, 0.6333333333333333, 0.45555555555555555, 0.6666666666666666, 0.6777777777777778]",0.6166666666666667,45,75,120
P04,arousal,multimodal,svm,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5487637362637363,0.094166209591593,"[0.4951923076923077, 0.5865384615384616, 0.41208791208791207, 0.6458333333333333, 0.6041666666666667]",0.588095238095238,39,63,102
P04,valence,eeg,logreg,paper_compact,frontal_central,8,secondary,32,8,5,0.6718864468864469,0.0861364932722397,"[0.7211538461538461, 0.5336538461538461, 0.7087912087912087, 0.75, 0.6458333333333333]",0.6971428571428572,39,63,102
P04,valence,face,svm,face_geometry,all_face,5,primary,10,5,5,0.6022222222222222,0.062558614490041,"[0.5333333333333333, 0.6, 0.7, 0.6111111111111112, 0.5666666666666667]",0.5916666666666667,45,75,120
P04,valence,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.606456043956044,0.1124456036559372,"[0.7596153846153846, 0.4951923076923077, 0.5274725274725275, 0.6875, 0.5625]",0.6371428571428571,39,63,102
