participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,best_parameters,inner_best_balanced_accuracy,selected_feature_names
P01,valence,logreg,all_eeg,all_channels,8,primary,120,1,8,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.6031162464985994,"[""eeg_sd__C3"", ""eeg_bp_delta__C3"", ""eeg_se_delta__Cz"", ""eeg_bp_theta__C3"", ""eeg_bp_theta__Cz"", ""eeg_bp_beta__C3"", ""eeg_bp_beta__Cz"", ""eeg_se_gamma__Cz""]"
P01,valence,logreg,all_eeg,all_channels,8,primary,120,2,8,5,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.540266106442577,"[""eeg_hc__Oz"", ""eeg_bp_theta__C3"", ""eeg_se_theta__Cz"", ""eeg_bp_alpha__C3"", ""eeg_bp_alpha__Oz"", ""eeg_bp_beta__C3"", ""eeg_bp_beta__Oz"", ""eeg_se_beta__C3""]"
P01,valence,logreg,all_eeg,all_channels,8,primary,120,3,8,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.47538246067657836,"[""eeg_sd__C3"", ""eeg_mf_hz__PO7"", ""eeg_bp_theta__C3"", ""eeg_bp_theta__Pz"", ""eeg_se_theta__C3"", ""eeg_bp_alpha__C3"", ""eeg_se_alpha__Pz"", ""eeg_bp_beta__C3""]"
P01,valence,logreg,all_eeg,all_channels,8,primary,120,4,8,5,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.4920141133376427,"[""eeg_sd__C3"", ""eeg_hm__Oz"", ""eeg_hc__Oz"", ""eeg_mf_hz__PO7"", ""eeg_bp_theta__C3"", ""eeg_se_theta__Cz"", ""eeg_se_alpha__Pz"", ""eeg_bp_beta__C3""]"
P01,valence,logreg,all_eeg,all_channels,8,primary,120,5,8,5,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.5704656862745098,"[""eeg_sd__C3"", ""eeg_mf_hz__Cz"", ""eeg_bp_delta__C3"", ""eeg_se_delta__Cz"", ""eeg_bp_theta__C3"", ""eeg_bp_theta__Cz"", ""eeg_bp_beta__C3"", ""eeg_bp_beta__PO7""]"
P01,valence,svm,all_eeg,all_channels,8,primary,120,1,8,5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5617121848739496,"[""eeg_sd__C3"", ""eeg_bp_delta__C3"", ""eeg_se_delta__Cz"", ""eeg_bp_theta__C3"", ""eeg_bp_theta__Cz"", ""eeg_bp_beta__C3"", ""eeg_bp_beta__Cz"", ""eeg_se_gamma__Cz""]"
P01,valence,svm,all_eeg,all_channels,8,primary,120,2,8,5,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5540091036414566,"[""eeg_hc__Oz"", ""eeg_bp_theta__C3"", ""eeg_se_theta__Cz"", ""eeg_bp_alpha__C3"", ""eeg_bp_alpha__Oz"", ""eeg_bp_beta__C3"", ""eeg_bp_beta__Oz"", ""eeg_se_beta__C3""]"
P01,valence,svm,all_eeg,all_channels,8,primary,120,3,8,5,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,"[""eeg_sd__C3"", ""eeg_mf_hz__PO7"", ""eeg_bp_theta__C3"", ""eeg_bp_theta__Pz"", ""eeg_se_theta__C3"", ""eeg_bp_alpha__C3"", ""eeg_se_alpha__Pz"", ""eeg_bp_beta__C3""]"
P01,valence,svm,all_eeg,all_channels,8,primary,120,4,8,5,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,"[""eeg_sd__C3"", ""eeg_hm__Oz"", ""eeg_hc__Oz"", ""eeg_mf_hz__PO7"", ""eeg_bp_theta__C3"", ""eeg_se_theta__Cz"", ""eeg_se_alpha__Pz"", ""eeg_bp_beta__C3""]"
P01,valence,svm,all_eeg,all_channels,8,primary,120,5,8,5,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5784313725490197,"[""eeg_sd__C3"", ""eeg_mf_hz__Cz"", ""eeg_bp_delta__C3"", ""eeg_se_delta__Cz"", ""eeg_bp_theta__C3"", ""eeg_bp_theta__Cz"", ""eeg_bp_beta__C3"", ""eeg_bp_beta__PO7""]"
