participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,selected_classifier,selected_feature_family,selected_channel_subset,selected_feature_count_request,selected_threshold,source_trial_index,true_label,probability_high,fixed_threshold_prediction,optimized_threshold_prediction
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,1,0,0.55488108317893,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,5,1,0.5214335308519151,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,7,1,0.5287219912742563,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,12,1,0.5314636319963758,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,13,0,0.5200601443251285,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,15,0,0.5319844873211785,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,16,1,0.6171624457642721,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,29,1,0.5727424203709425,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,34,1,0.5550864918565683,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,36,1,0.49728033243661773,0,0
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,42,1,0.5585871806355888,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,45,1,0.4813908795046707,0,0
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,52,0,0.5198645141095867,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,57,1,0.5519269980327597,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,59,1,0.48563895968465176,0,0
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,60,1,0.5706642504144597,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,63,1,0.5809502168985862,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,65,1,0.5281770512724759,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,75,1,0.5573515421581312,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,96,0,0.5948438828413704,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,97,1,0.5225661230206764,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,100,1,0.5779761419560676,1,1
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,10,0.5,109,1,0.5963133640834152,1,1
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,10,0.5,4,1,0.9200144406096451,1,1
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,10,0.5,8,0,0.4431305440129706,0,0
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,10,0.5,10,1,0.7647981997535662,1,1
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,10,0.5,14,1,0.834372361226213,1,1
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,10,0.5,17,1,0.4007786639097786,0,0
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,10,0.5,25,1,0.9709934697589966,1,1
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,10,0.5,26,1,0.9833448127135382,1,1
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,10,0.5,28,1,0.7838901105314278,1,1
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,10,0.5,31,1,0.9820365792417887,1,1
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,10,0.5,41,0,0.9974290785506331,1,1
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,10,0.5,44,1,0.3045216559203135,0,0
